timestamp,ticker,p1_name,p2_name,direction,event,entry_price,exit_price,mc_prob_at_entry,bet_amount,fee,pnl,budget_remaining
2026-07-01T01:57:24.663443+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,yes,entry,0.8,,0.9742,2.176,0.0,,2.824
2026-07-01T02:03:21.051493+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,yes,entry,0.84,,0.9819,2.2176,0.0,,2.7824
2026-07-01T02:17:23.413020+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,yes,entry,0.84,,0.9904,2.352,0.0,,2.648
2026-07-01T02:17:24.365578+00:00,KXATPCHALLENGERMATCH-26JUN30ELLSEK-ELL,Blake Ellis,Philip Sekulic,yes,entry,0.44999999999999996,,0.5897,0.6345,0.0,,4.3655
2026-07-01T02:28:27.025989+00:00,KXATPCHALLENGERMATCH-26JUN30ELLSEK-ELL,,,yes,profit_target,0.44999999999999996,0.72,0.714,0.0,0.0,0.3806999999999999,5.3807
2026-07-01T02:28:48.594614+00:00,KXATPCHALLENGERMATCH-26JUN30ELLSEK-ELL,Blake Ellis,Philip Sekulic,yes,entry,0.6599999999999999,,0.8129,1.2078,0.0,,4.1729
2026-07-01T02:29:48.111198+00:00,KXATPCHALLENGERMATCH-26JUN30ELLSEK-ELL,,,yes,stop_loss,0.6599999999999999,0.48,0.6777,0.0,0.0,-0.3294,5.0513
2026-07-01T03:06:43.740193+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,,,yes,stop_loss,0.84,0.54,0.8793,0.0,0.0,-0.8399999999999999,4.16
2026-07-01T03:08:05.272073+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,yes,entry,0.5700000000000001,,0.7733,0.9861,0.0,,3.1739
2026-07-01T03:13:23.260036+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,no,entry,0.43999999999999995,,0.3833,1.0024,0.0,,3.9976000000000003
2026-07-01T03:13:24.351480+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,yes,entry,0.84,,1.0,2.5032,0.0,,2.4968
