end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-01 23:04:00,0.4200,0.4200,0.4500,0.4200,0.4368,0.3900,977.00,5088.00
2026-02-01 23:05:00,,,,,,0.4200,0.00,5088.00
2026-02-01 23:06:00,,,,,,0.4200,0.00,5088.00
2026-02-01 23:07:00,,,,,,0.4200,0.00,5088.00
2026-02-01 23:08:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4200,133.00,5088.00
2026-02-01 23:09:00,0.4200,0.4200,0.4400,0.4400,0.4286,0.4000,110.00,5198.00
2026-02-01 23:10:00,,,,,,0.4400,0.00,5198.00
2026-02-01 23:11:00,,,,,,0.4400,0.00,5198.00
2026-02-01 23:12:00,0.4300,0.4300,0.4400,0.4400,0.4395,0.4400,22.00,5220.00
2026-02-01 23:13:00,0.4200,0.4200,0.4400,0.4400,0.4300,0.4400,2.00,5222.00
2026-02-01 23:14:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:15:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:16:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:17:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:18:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:19:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:20:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:21:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:22:00,,,,,,0.4400,0.00,5222.00
2026-02-01 23:23:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,2.00,5224.00
2026-02-01 23:24:00,,,,,,0.4200,0.00,5224.00
2026-02-01 23:25:00,,,,,,0.4200,0.00,5224.00
2026-02-01 23:26:00,0.4200,0.4200,0.4300,0.4300,0.4299,0.4200,110.00,5334.00
2026-02-01 23:27:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,35.00,5369.00
2026-02-01 23:28:00,0.4300,0.4300,0.4400,0.4400,0.4336,0.4300,666.00,6035.00
2026-02-01 23:29:00,0.4300,0.4300,0.4400,0.4400,0.4372,0.4400,528.00,6563.00
2026-02-01 23:30:00,0.4300,0.4300,0.4400,0.4400,0.4351,0.4400,238.00,6801.00
2026-02-01 23:31:00,,,,,,0.4400,0.00,6801.00
