end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-06 13:42:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5600,33.00,1326.00
2026-02-06 13:43:00,,,,,,0.5800,0.00,1326.00
2026-02-06 13:46:00,,,,,,0.5800,0.00,1326.00
2026-02-06 13:48:00,,,,,,0.5800,0.00,1326.00
2026-02-06 13:49:00,,,,,,0.5800,0.00,1326.00
2026-02-06 13:50:00,,,,,,0.5800,0.00,1326.00
2026-02-06 13:53:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,43.00,1369.00
2026-02-06 13:54:00,,,,,,0.5800,0.00,1369.00
2026-02-06 13:56:00,,,,,,0.5800,0.00,1369.00
2026-02-06 13:57:00,,,,,,0.5800,0.00,1369.00
2026-02-06 13:58:00,0.5800,0.5800,0.5900,0.5900,0.5891,0.5800,32.00,1401.00
2026-02-06 13:59:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:00:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:01:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:02:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:03:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:04:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:05:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:06:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:08:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:09:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:10:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:11:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:12:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:13:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:14:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:15:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:16:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:17:00,,,,,,0.5900,0.00,1401.00
2026-02-06 14:19:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,2583.00,3984.00
2026-02-06 14:20:00,,,,,,0.5900,0.00,3984.00
2026-02-06 14:21:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,24.00,4008.00
2026-02-06 14:23:00,,,,,,0.5900,0.00,4008.00
2026-02-06 14:24:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,5184.00,9192.00
2026-02-06 14:25:00,,,,,,0.5900,0.00,9192.00
2026-02-06 14:26:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,10.00,9202.00
2026-02-06 14:27:00,,,,,,0.5800,0.00,9202.00
2026-02-06 14:29:00,,,,,,0.5800,0.00,9202.00
2026-02-06 14:30:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,1.00,9203.00
2026-02-06 14:31:00,,,,,,0.5800,0.00,9203.00
2026-02-06 14:32:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,179.00,9382.00
2026-02-06 14:33:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,480.00,9862.00
2026-02-06 14:34:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,119.00,9981.00
2026-02-06 14:35:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,506.00,10487.00
2026-02-06 14:36:00,,,,,,0.5800,0.00,10487.00
