end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-06 11:56:00,,,,,,0.3900,0.00,97.00
2026-02-06 11:59:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:00:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:01:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:03:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:06:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:08:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:09:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:10:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:11:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:13:00,,,,,,0.3900,0.00,97.00
2026-02-06 12:14:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1212.00,1309.00
2026-02-06 12:16:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:17:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:19:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:22:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:23:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:24:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:25:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:26:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:27:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:28:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:29:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:31:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:32:00,,,,,,0.3900,0.00,1309.00
2026-02-06 12:37:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,102.00,1411.00
2026-02-06 12:40:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,12.00,1423.00
2026-02-06 12:43:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,49.00,1472.00
2026-02-06 12:45:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1827.00,3299.00
2026-02-06 12:48:00,,,,,,0.3900,0.00,3299.00
2026-02-06 12:49:00,,,,,,0.3900,0.00,3299.00
2026-02-06 12:50:00,,,,,,0.3900,0.00,3299.00
2026-02-06 12:52:00,,,,,,0.3900,0.00,3299.00
2026-02-06 12:56:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,12.00,3311.00
2026-02-06 12:57:00,,,,,,0.3900,0.00,3311.00
2026-02-06 12:58:00,,,,,,0.3900,0.00,3311.00
2026-02-06 12:59:00,,,,,,0.3900,0.00,3311.00
2026-02-06 13:00:00,,,,,,0.3900,0.00,3311.00
2026-02-06 13:01:00,,,,,,0.3900,0.00,3311.00
2026-02-06 13:02:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,101.00,3412.00
2026-02-06 13:03:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,2.00,3414.00
2026-02-06 13:04:00,,,,,,0.3900,0.00,3414.00
2026-02-06 13:05:00,0.3900,0.3900,0.4000,0.4000,0.3994,0.3900,16.00,3430.00
2026-02-06 13:06:00,0.3900,0.3900,0.4000,0.3900,0.3915,0.4000,93.00,3523.00
2026-02-06 13:07:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,74.00,3597.00
2026-02-06 13:08:00,,,,,,0.3900,0.00,3597.00
2026-02-06 13:09:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,67.00,3664.00
2026-02-06 13:10:00,0.3900,0.3500,0.3900,0.3500,0.3883,0.3900,252.00,3915.00
2026-02-06 13:11:00,0.4200,0.4200,0.4600,0.4500,0.4512,0.3500,565.00,4474.00
2026-02-06 13:12:00,0.4700,0.4100,0.4800,0.4800,0.4785,0.4500,1023.00,5497.00
2026-02-06 13:13:00,0.3700,0.3400,0.3700,0.3400,0.3401,0.4800,413.00,5088.00
2026-02-06 13:14:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3400,595.00,5683.00
2026-02-06 13:15:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.3800,254.00,5937.00
2026-02-06 13:16:00,0.4300,0.4300,0.4400,0.4300,0.4329,0.4200,258.00,6195.00
2026-02-06 13:17:00,0.4100,0.4100,0.4600,0.4600,0.4401,0.4300,3296.00,9491.00
2026-02-06 13:18:00,0.4900,0.4500,0.5000,0.4500,0.4838,0.4600,564.00,10054.00
2026-02-06 13:19:00,0.4100,0.4000,0.4200,0.4000,0.4009,0.4500,242.00,10295.00
2026-02-06 13:20:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,601.00,10896.00
2026-02-06 13:21:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,193.00,10703.00
2026-02-06 13:22:00,0.4300,0.4000,0.4500,0.4100,0.4206,0.4100,403.00,11106.00
2026-02-06 13:23:00,0.4300,0.4300,0.4400,0.4400,0.4313,0.4100,255.00,11361.00
2026-02-06 13:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,4.00,11362.00
2026-02-06 13:25:00,0.4400,0.4100,0.4400,0.4200,0.4265,0.4200,26.00,11388.00
2026-02-06 13:26:00,0.4200,0.4100,0.4200,0.4100,0.4147,0.4200,93.00,11481.00
2026-02-06 13:27:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,11.00,11492.00
2026-02-06 13:28:00,,,,,,0.4100,0.00,11492.00
2026-02-06 13:29:00,0.4000,0.3600,0.4200,0.3600,0.4021,0.4100,168.00,11657.00
2026-02-06 13:30:00,0.3500,0.3500,0.4100,0.4100,0.3732,0.3600,106.00,11633.00
2026-02-06 13:31:00,0.4100,0.4100,0.4300,0.4300,0.4152,0.4100,914.00,12547.00
2026-02-06 13:32:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,228.00,12775.00
2026-02-06 13:33:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4200,201.00,12574.00
2026-02-06 13:34:00,0.4200,0.4000,0.4200,0.4000,0.4056,0.3900,54.00,12628.00
2026-02-06 13:35:00,,,,,,0.4000,0.00,12628.00
2026-02-06 13:36:00,,,,,,0.4000,0.00,12628.00
2026-02-06 13:37:00,0.4400,0.3900,0.4400,0.3900,0.4391,0.4000,337.00,12959.00
2026-02-06 13:38:00,0.3800,0.3800,0.4100,0.4100,0.4071,0.3900,51.00,13010.00
2026-02-06 13:39:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4100,22.00,13032.00
2026-02-06 13:40:00,0.4600,0.4000,0.4700,0.4000,0.4532,0.4300,363.00,13387.00
2026-02-06 13:41:00,0.3900,0.3900,0.4100,0.4100,0.4041,0.4000,49.00,13436.00
2026-02-06 13:42:00,0.3700,0.3600,0.3700,0.3600,0.3689,0.4100,118.00,13554.00
2026-02-06 13:43:00,,,,,,0.3600,0.00,13554.00
2026-02-06 13:44:00,,,,,,0.3600,0.00,13554.00
2026-02-06 13:45:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.3600,43.00,13597.00
2026-02-06 13:46:00,0.4200,0.4200,0.4700,0.4400,0.4253,0.4200,698.00,14291.00
2026-02-06 13:47:00,0.4000,0.4000,0.4100,0.4100,0.4067,0.4400,267.00,14558.00
2026-02-06 13:48:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4100,1000.00,15558.00
2026-02-06 13:49:00,0.4300,0.3900,0.4300,0.3900,0.4143,0.4700,326.00,15874.00
2026-02-06 13:50:00,0.3900,0.3900,0.4000,0.4000,0.3940,0.3900,106.00,15980.00
2026-02-06 13:51:00,0.3700,0.3500,0.3700,0.3500,0.3530,0.4000,209.00,16030.00
2026-02-06 13:52:00,0.3400,0.3300,0.3400,0.3300,0.3341,0.3500,291.00,16268.00
2026-02-06 13:53:00,0.3400,0.3400,0.4000,0.4000,0.3839,0.3300,1673.00,17422.00
2026-02-06 13:54:00,0.4000,0.3800,0.4300,0.3800,0.4150,0.4000,921.00,17741.00
2026-02-06 13:55:00,0.4200,0.3900,0.4700,0.4300,0.4625,0.3800,283.00,17892.00
2026-02-06 13:56:00,0.4300,0.4300,0.5200,0.5200,0.4980,0.4300,1197.00,17947.00
2026-02-06 13:57:00,0.5100,0.4300,0.5100,0.4300,0.4858,0.5200,125.00,17978.00
2026-02-06 13:58:00,0.4100,0.4100,0.6100,0.6100,0.5214,0.4300,1996.00,19255.00
2026-02-06 13:59:00,0.6100,0.5500,0.6100,0.5500,0.5635,0.6100,159.00,19174.00
2026-02-06 14:00:00,0.5500,0.5500,0.6900,0.6800,0.6519,0.5500,2118.00,19732.00
2026-02-06 14:01:00,0.6800,0.6700,0.6900,0.6700,0.6832,0.6800,1156.00,20208.00
2026-02-06 14:02:00,0.6700,0.6700,0.6800,0.6800,0.6725,0.6700,200.00,20058.00
2026-02-06 14:03:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,26.00,20059.00
2026-02-06 14:04:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1267.00,21326.00
2026-02-06 14:05:00,0.6900,0.6400,0.6900,0.6400,0.6781,0.6800,85.00,21354.00
2026-02-06 14:06:00,0.6600,0.5800,0.6600,0.6100,0.6015,0.6400,892.00,21472.00
2026-02-06 14:07:00,0.6500,0.6500,0.6800,0.6800,0.6586,0.6100,14.00,21466.00
2026-02-06 14:08:00,0.7000,0.6700,0.7200,0.7000,0.7089,0.6800,314.00,21780.00
2026-02-06 14:09:00,0.6900,0.6900,0.7100,0.7100,0.7038,0.7000,430.00,21724.00
2026-02-06 14:10:00,0.7000,0.6900,0.7000,0.6900,0.6998,0.7100,271.00,21495.00
2026-02-06 14:11:00,0.7000,0.6800,0.7000,0.6800,0.6808,0.6900,333.00,21828.00
2026-02-06 14:12:00,0.6700,0.6700,0.6900,0.6900,0.6834,0.6800,246.00,22074.00
2026-02-06 14:13:00,0.6900,0.6900,0.7300,0.7300,0.7292,0.6900,1891.00,23651.00
2026-02-06 14:14:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,151.00,23802.00
2026-02-06 14:15:00,0.7300,0.7200,0.7400,0.7400,0.7356,0.7300,1082.00,23670.00
2026-02-06 14:16:00,0.7600,0.7600,0.8300,0.7900,0.7994,0.7400,534.00,23969.00
2026-02-06 14:17:00,0.7900,0.7400,0.7900,0.7500,0.7512,0.7900,290.00,24259.00
2026-02-06 14:18:00,0.7400,0.7000,0.7700,0.7000,0.7372,0.7500,694.00,24949.00
2026-02-06 14:19:00,0.7000,0.7000,0.7200,0.7200,0.7192,0.7000,212.00,25161.00
2026-02-06 14:20:00,0.7000,0.7000,0.7300,0.7300,0.7225,0.7200,379.00,25540.00
2026-02-06 14:21:00,0.7200,0.7200,0.7500,0.7500,0.7368,0.7300,5219.00,30723.00
2026-02-06 14:22:00,0.7300,0.7300,0.7500,0.7400,0.7428,0.7500,705.00,31207.00
