end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-08 19:58:00,,,,,,0.1800,0.00,203.00
2026-02-08 19:59:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,4.00,203.00
2026-02-08 20:00:00,,,,,,0.1900,0.00,203.00
2026-02-08 20:02:00,,,,,,0.1900,0.00,203.00
2026-02-08 20:09:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,203.00
2026-02-08 20:11:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,4.00,203.00
2026-02-08 20:12:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,19.00,203.00
2026-02-08 20:13:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,203.00
2026-02-08 20:14:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,119.00,301.00
2026-02-08 20:16:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:17:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:18:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:19:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:21:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:22:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:23:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:27:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:38:00,,,,,,0.1900,0.00,301.00
2026-02-08 20:44:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,9.00,310.00
2026-02-08 20:45:00,,,,,,0.1900,0.00,310.00
2026-02-08 20:48:00,,,,,,0.1900,0.00,310.00
2026-02-08 20:49:00,,,,,,0.1900,0.00,310.00
2026-02-08 20:51:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,9.00,319.00
2026-02-08 20:52:00,,,,,,0.1900,0.00,319.00
2026-02-08 20:53:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,343.00
2026-02-08 20:54:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,367.00
2026-02-08 20:56:00,,,,,,0.1900,0.00,367.00
2026-02-08 20:57:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,19.00,386.00
2026-02-08 20:58:00,,,,,,0.1900,0.00,386.00
2026-02-08 20:59:00,,,,,,0.1900,0.00,386.00
2026-02-08 21:00:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,12.00,398.00
2026-02-08 21:02:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1900,19.00,398.00
2026-02-08 21:03:00,,,,,,0.1800,0.00,398.00
2026-02-08 21:04:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,98.00,496.00
2026-02-08 21:05:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,6.00,502.00
2026-02-08 21:06:00,,,,,,0.1900,0.00,502.00
2026-02-08 21:08:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,11.00,513.00
2026-02-08 21:09:00,,,,,,0.1900,0.00,513.00
2026-02-08 21:10:00,,,,,,0.1900,0.00,513.00
2026-02-08 21:12:00,,,,,,0.1900,0.00,513.00
2026-02-08 21:15:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,537.00
2026-02-08 21:16:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,814.00,1351.00
2026-02-08 21:17:00,,,,,,0.1900,0.00,1351.00
2026-02-08 21:19:00,,,,,,0.1900,0.00,1351.00
2026-02-08 21:20:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,4.00,1355.00
2026-02-08 21:21:00,,,,,,0.1900,0.00,1355.00
2026-02-08 21:22:00,,,,,,0.1900,0.00,1355.00
2026-02-08 21:23:00,0.1800,0.1800,0.1900,0.1900,0.1809,0.1900,103.00,1364.00
2026-02-08 21:24:00,,,,,,0.1900,0.00,1364.00
2026-02-08 21:26:00,,,,,,0.1900,0.00,1364.00
2026-02-08 21:27:00,,,,,,0.1900,0.00,1364.00
2026-02-08 21:31:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,477.00,1841.00
2026-02-08 21:32:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,18.00,1859.00
2026-02-08 21:33:00,,,,,,0.1900,0.00,1859.00
2026-02-08 21:34:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,18.00,1877.00
