end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-08 22:42:00,,,,,,0.5900,0.00,2542.00
2026-02-08 22:43:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,200.00,2742.00
2026-02-08 22:44:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,2758.00
2026-02-08 22:45:00,,,,,,0.5900,0.00,2758.00
2026-02-08 22:46:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,19.00,2777.00
2026-02-08 22:47:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,20.00,2797.00
2026-02-08 22:48:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,173.00,2970.00
2026-02-08 22:49:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,58.00,3028.00
2026-02-08 22:50:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,36.00,3064.00
2026-02-08 22:51:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,10.00,3074.00
2026-02-08 22:52:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,129.00,3203.00
2026-02-08 22:53:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,312.00,3515.00
2026-02-08 22:54:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,246.00,3761.00
2026-02-08 22:55:00,0.5900,0.5900,0.6000,0.6000,0.5925,0.5900,418.00,4179.00
2026-02-08 22:56:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,124.00,4303.00
2026-02-08 22:57:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,41.00,4344.00
2026-02-08 22:58:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,49.00,4393.00
2026-02-08 22:59:00,,,,,,0.5900,0.00,4393.00
2026-02-08 23:00:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,96.00,4489.00
2026-02-08 23:01:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1.00,4490.00
2026-02-08 23:02:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,69.00,4559.00
2026-02-08 23:03:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,48.00,4607.00
2026-02-08 23:04:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,8.00,4615.00
2026-02-08 23:05:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,211.00,4826.00
2026-02-08 23:06:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,99.00,4925.00
2026-02-08 23:07:00,0.5900,0.5900,0.6000,0.6000,0.5993,0.5900,1803.00,6728.00
2026-02-08 23:08:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,213.00,6941.00
2026-02-08 23:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,4.00,6945.00
2026-02-08 23:10:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,405.00,7350.00
2026-02-08 23:11:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,105.00,7455.00
2026-02-08 23:12:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,7471.00
2026-02-08 23:13:00,0.6000,0.5900,0.6000,0.5900,0.5979,0.6000,114.00,7585.00
2026-02-08 23:14:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,81.00,7666.00
2026-02-08 23:15:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,32.00,7698.00
2026-02-08 23:16:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,51.00,7749.00
2026-02-08 23:17:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,20.00,7769.00
2026-02-08 23:18:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,49.00,7818.00
2026-02-08 23:19:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,460.00,8278.00
2026-02-08 23:20:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,621.00,8899.00
2026-02-08 23:21:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,197.00,9096.00
2026-02-08 23:22:00,0.6000,0.5800,0.6000,0.5900,0.5908,0.6000,306.00,9238.00
2026-02-08 23:23:00,0.5900,0.5900,0.6100,0.6000,0.6029,0.5900,1970.00,11208.00
2026-02-08 23:24:00,0.6000,0.6000,0.6100,0.6100,0.6057,0.6000,232.00,11440.00
2026-02-08 23:25:00,0.5800,0.5500,0.6100,0.6100,0.5745,0.6100,2266.00,9880.00
2026-02-08 23:26:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,396.00,10276.00
2026-02-08 23:27:00,,,,,,0.6100,0.00,10276.00
2026-02-08 23:28:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,96.00,10372.00
2026-02-08 23:29:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,74.00,10446.00
2026-02-08 23:30:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,322.00,10768.00
2026-02-08 23:31:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,45.00,10813.00
2026-02-08 23:32:00,0.6000,0.6000,0.6100,0.6000,0.6001,0.6000,275.00,11088.00
2026-02-08 23:33:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,345.00,11433.00
2026-02-08 23:34:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,282.00,11715.00
2026-02-08 23:35:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,196.00,11911.00
2026-02-08 23:36:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,47.00,11958.00
2026-02-08 23:37:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,444.00,12402.00
2026-02-08 23:38:00,0.6000,0.6000,0.6600,0.6400,0.6348,0.6000,6099.00,18496.00
2026-02-08 23:39:00,0.6100,0.5800,0.6200,0.6100,0.6102,0.6400,592.00,19084.00
2026-02-08 23:40:00,0.6100,0.6100,0.6200,0.6200,0.6145,0.6100,358.00,19442.00
2026-02-08 23:41:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,543.00,19985.00
2026-02-08 23:42:00,0.6200,0.6200,0.6800,0.6600,0.6385,0.6100,4538.00,24523.00
2026-02-08 23:43:00,0.6400,0.6300,0.6500,0.6300,0.6449,0.6600,310.00,24833.00
2026-02-08 23:44:00,0.6400,0.6200,0.6400,0.6200,0.6381,0.6300,1616.00,26449.00
2026-02-08 23:45:00,0.6200,0.6000,0.6200,0.6000,0.6043,0.6200,365.00,26814.00
2026-02-08 23:46:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6000,555.00,27369.00
2026-02-08 23:47:00,0.6200,0.6200,0.6300,0.6200,0.6278,0.6200,3310.00,30679.00
2026-02-08 23:48:00,0.6200,0.6200,0.6300,0.6300,0.6246,0.6200,959.00,31638.00
2026-02-08 23:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1265.00,32903.00
2026-02-08 23:50:00,,,,,,0.6300,0.00,32903.00
2026-02-08 23:51:00,0.6200,0.6200,0.6300,0.6300,0.6299,0.6300,495.00,33398.00
2026-02-08 23:52:00,0.6300,0.6300,0.6400,0.6400,0.6382,0.6300,61.00,33459.00
2026-02-08 23:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,625.00,34084.00
2026-02-08 23:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1404.00,35488.00
2026-02-08 23:55:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,88.00,35575.00
2026-02-08 23:56:00,0.6300,0.6300,0.6400,0.6300,0.6393,0.6500,709.00,36258.00
2026-02-08 23:57:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6300,90.00,36348.00
2026-02-08 23:58:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,165.00,36513.00
2026-02-08 23:59:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,155.00,36668.00
2026-02-09 00:00:00,0.6500,0.5900,0.6500,0.6400,0.6320,0.6500,66.00,36704.00
2026-02-09 00:01:00,0.6100,0.6100,0.6200,0.6200,0.6115,0.6400,512.00,37216.00
2026-02-09 00:02:00,0.6100,0.6100,0.6200,0.6200,0.6198,0.6200,305.00,37521.00
2026-02-09 00:03:00,0.6100,0.6100,0.6200,0.6200,0.6174,0.6200,114.00,37635.00
2026-02-09 00:04:00,0.6100,0.6100,0.6200,0.6200,0.6132,0.6200,519.00,38154.00
2026-02-09 00:05:00,0.6100,0.6100,0.6200,0.6100,0.6129,0.6200,275.00,38429.00
2026-02-09 00:06:00,0.6100,0.6100,0.6300,0.6200,0.6195,0.6100,1277.00,39706.00
2026-02-09 00:07:00,0.6200,0.6200,0.6300,0.6300,0.6248,0.6200,1375.00,41081.00
2026-02-09 00:08:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,510.00,41591.00
2026-02-09 00:09:00,0.6100,0.5500,0.6200,0.5500,0.5777,0.6200,1636.00,42827.00
2026-02-09 00:10:00,0.5600,0.4900,0.5700,0.4900,0.5155,0.5500,3653.00,44357.00
2026-02-09 00:11:00,0.5000,0.4700,0.5500,0.4700,0.5096,0.4900,1710.00,45862.00
2026-02-09 00:12:00,0.4700,0.4400,0.4700,0.4400,0.4665,0.4700,550.00,46303.00
2026-02-09 00:13:00,0.4700,0.4500,0.4900,0.4600,0.4594,0.4400,3556.00,49423.00
2026-02-09 00:14:00,0.4600,0.4200,0.4700,0.4200,0.4489,0.4600,421.00,49835.00
2026-02-09 00:15:00,0.4100,0.3800,0.4300,0.4100,0.4090,0.4200,607.00,50320.00
2026-02-09 00:16:00,0.4100,0.3900,0.4100,0.4000,0.4010,0.4100,1193.00,51509.00
2026-02-09 00:17:00,0.3600,0.3400,0.3900,0.3900,0.3607,0.4000,942.00,52210.00
2026-02-09 00:18:00,0.3900,0.3700,0.4400,0.4200,0.4079,0.3900,685.00,52327.00
2026-02-09 00:19:00,0.4300,0.4300,0.4400,0.4400,0.4396,0.4200,874.00,53201.00
2026-02-09 00:20:00,0.4400,0.4400,0.4700,0.4700,0.4672,0.4400,2118.00,55319.00
2026-02-09 00:21:00,0.4900,0.4800,0.5300,0.4900,0.5147,0.4700,1071.00,56329.00
2026-02-09 00:22:00,0.4900,0.4600,0.5200,0.4600,0.4858,0.4900,2136.00,58458.00
2026-02-09 00:23:00,0.4700,0.4300,0.4800,0.4300,0.4721,0.4600,560.00,58891.00
2026-02-09 00:24:00,0.4300,0.3400,0.4300,0.3800,0.3792,0.4300,3448.00,57297.00
2026-02-09 00:25:00,0.3800,0.3600,0.4500,0.4300,0.3783,0.3800,1332.00,57617.00
2026-02-09 00:26:00,0.4500,0.4500,0.4600,0.4600,0.4592,0.4300,133.00,57750.00
