end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 23:55:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,647.00,3589.00
2026-02-16 23:56:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,12.00,3601.00
2026-02-16 23:57:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,129.00,3658.00
2026-02-16 23:58:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,29.00,3658.00
2026-02-17 00:00:00,,,,,,0.3700,0.00,3658.00
2026-02-17 00:02:00,,,,,,0.3700,0.00,3658.00
2026-02-17 00:04:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3700,12.00,3658.00
2026-02-17 00:06:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3500,12.00,3670.00
2026-02-17 00:07:00,,,,,,0.3700,0.00,3670.00
2026-02-17 00:08:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,14.00,3684.00
2026-02-17 00:11:00,,,,,,0.3700,0.00,3684.00
2026-02-17 00:12:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,12.00,3696.00
2026-02-17 00:14:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,12.00,3708.00
2026-02-17 00:17:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3700,1.00,3709.00
2026-02-17 00:24:00,,,,,,0.3600,0.00,3709.00
2026-02-17 00:25:00,0.3600,0.3500,0.3600,0.3500,0.3596,0.3600,314.00,4011.00
2026-02-17 00:27:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3500,159.00,4170.00
2026-02-17 00:28:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,28.00,4198.00
2026-02-17 00:30:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,132.00,4330.00
2026-02-17 00:33:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,51.00,4381.00
2026-02-17 00:34:00,,,,,,0.3600,0.00,4381.00
2026-02-17 00:35:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,296.00,4677.00
2026-02-17 00:38:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,66.00,4743.00
2026-02-17 00:41:00,,,,,,0.3600,0.00,4743.00
2026-02-17 00:42:00,,,,,,0.3600,0.00,4743.00
2026-02-17 00:43:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2.00,4745.00
2026-02-17 00:44:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,31.00,4776.00
2026-02-17 00:46:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1398.00,5933.00
2026-02-17 00:48:00,0.3400,0.3400,0.3600,0.3600,0.3406,0.3600,68.00,5935.00
2026-02-17 00:49:00,,,,,,0.3600,0.00,5935.00
2026-02-17 00:50:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,34.00,5969.00
2026-02-17 00:51:00,,,,,,0.3600,0.00,5969.00
2026-02-17 00:52:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,148.00,6117.00
2026-02-17 00:53:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,220.00,6337.00
2026-02-17 00:56:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,13.00,6350.00
2026-02-17 00:59:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,13.00,6363.00
2026-02-17 01:00:00,0.3600,0.3600,0.3700,0.3700,0.3643,0.3600,401.00,6597.00
2026-02-17 01:01:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,271.00,6725.00
2026-02-17 01:02:00,0.3700,0.3700,0.3800,0.3700,0.3743,0.3700,58.00,6726.00
2026-02-17 01:03:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,136.00,6746.00
2026-02-17 01:04:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,5.00,6751.00
2026-02-17 01:05:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,5.00,6756.00
2026-02-17 01:06:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,129.00,6885.00
2026-02-17 01:07:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,12.00,6897.00
2026-02-17 01:08:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,40.00,6937.00
2026-02-17 01:09:00,0.3700,0.3400,0.3800,0.3400,0.3427,0.3700,554.00,7305.00
