end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 21:13:00,,,,,,0.7100,0.00,115166.00
2026-02-18 21:14:00,,,,,,0.7100,0.00,115166.00
2026-02-18 21:15:00,,,,,,0.7100,0.00,115166.00
2026-02-18 21:17:00,0.6700,0.6700,0.7100,0.7100,0.6701,0.7100,886.00,114394.00
2026-02-18 21:18:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,114395.00
2026-02-18 21:19:00,,,,,,0.7100,0.00,114395.00
2026-02-18 21:20:00,,,,,,0.7100,0.00,114395.00
2026-02-18 21:21:00,,,,,,0.7100,0.00,114395.00
2026-02-18 21:22:00,,,,,,0.7100,0.00,114395.00
2026-02-18 21:24:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7100,7.00,114395.00
2026-02-18 21:26:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,41.00,114395.00
2026-02-18 21:30:00,,,,,,0.6900,0.00,114395.00
2026-02-18 21:31:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,35.00,114395.00
2026-02-18 21:32:00,,,,,,0.6900,0.00,114395.00
2026-02-18 21:33:00,0.6600,0.6600,0.6900,0.6900,0.6623,0.6900,92.00,114310.00
2026-02-18 21:34:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6900,25.00,114285.00
2026-02-18 21:36:00,,,,,,0.6600,0.00,114285.00
2026-02-18 21:37:00,,,,,,0.6600,0.00,114285.00
2026-02-18 21:38:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6600,11.00,114285.00
2026-02-18 21:39:00,,,,,,0.6900,0.00,114285.00
2026-02-18 21:40:00,,,,,,0.6900,0.00,114285.00
2026-02-18 21:41:00,,,,,,0.6900,0.00,114285.00
2026-02-18 21:42:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2.00,114285.00
2026-02-18 21:43:00,,,,,,0.6900,0.00,114285.00
2026-02-18 21:44:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,14.00,114287.00
2026-02-18 21:45:00,,,,,,0.6900,0.00,114287.00
2026-02-18 21:47:00,,,,,,0.6900,0.00,114287.00
2026-02-18 21:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,14.00,114301.00
2026-02-18 21:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,130.00,114431.00
2026-02-18 21:50:00,,,,,,0.6900,0.00,114431.00
2026-02-18 21:51:00,0.6600,0.6600,0.6900,0.6600,0.6613,0.6900,189.00,114258.00
2026-02-18 21:52:00,,,,,,0.6600,0.00,114258.00
2026-02-18 21:53:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6600,33.00,114291.00
2026-02-18 21:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,50.00,114341.00
2026-02-18 21:55:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,8.00,114349.00
2026-02-18 21:56:00,,,,,,0.6900,0.00,114349.00
2026-02-18 21:57:00,,,,,,0.6900,0.00,114349.00
2026-02-18 21:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,134.00,114483.00
2026-02-18 21:59:00,,,,,,0.6900,0.00,114483.00
2026-02-18 22:00:00,,,,,,0.6900,0.00,114483.00
2026-02-18 22:01:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,107.00,114590.00
2026-02-18 22:02:00,,,,,,0.6900,0.00,114590.00
2026-02-18 22:03:00,0.6900,0.6900,0.7100,0.7000,0.6949,0.6900,2096.00,116682.00
2026-02-18 22:04:00,,,,,,0.7000,0.00,116682.00
2026-02-18 22:05:00,0.7000,0.7000,0.7100,0.7100,0.7069,0.7000,55.00,116737.00
2026-02-18 22:06:00,0.7000,0.7000,0.7100,0.7100,0.7089,0.7100,153.00,116844.00
2026-02-18 22:07:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,116844.00
2026-02-18 22:08:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.7100,277.00,116812.00
2026-02-18 22:09:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.6700,4.00,116812.00
2026-02-18 22:10:00,,,,,,0.7100,0.00,116812.00
2026-02-18 22:11:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,75.00,116812.00
2026-02-18 22:12:00,,,,,,0.7100,0.00,116812.00
2026-02-18 22:13:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,243.00,116812.00
2026-02-18 22:14:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,136.00,116812.00
2026-02-18 22:15:00,0.7100,0.7100,0.7200,0.7200,0.7124,0.7100,135.00,116845.00
2026-02-18 22:16:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7200,28.00,116845.00
2026-02-18 22:17:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,73.00,116845.00
2026-02-18 22:18:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,73.00,116845.00
2026-02-18 22:20:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,34.00,116850.00
2026-02-18 22:21:00,,,,,,0.7100,0.00,116850.00
2026-02-18 22:22:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,14.00,116861.00
2026-02-18 22:23:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7100,1.00,116862.00
2026-02-18 22:24:00,,,,,,0.7200,0.00,116862.00
2026-02-18 22:25:00,0.7200,0.7100,0.7200,0.7100,0.7160,0.7200,5.00,116867.00
2026-02-18 22:26:00,,,,,,0.7100,0.00,116867.00
2026-02-18 22:27:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,41.00,116896.00
2026-02-18 22:28:00,0.7100,0.6800,0.7100,0.7000,0.6844,0.7100,1218.00,117042.00
2026-02-18 22:29:00,0.6900,0.6800,0.6900,0.6800,0.6886,0.7000,51.00,117093.00
2026-02-18 22:30:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,60.00,117153.00
2026-02-18 22:31:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,26.00,117179.00
2026-02-18 22:32:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,23.00,117202.00
2026-02-18 22:33:00,0.6800,0.6500,0.6800,0.6800,0.6776,0.6800,434.00,117578.00
2026-02-18 22:34:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1.00,117579.00
2026-02-18 22:35:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,140.00,117719.00
2026-02-18 22:36:00,,,,,,0.6800,0.00,117719.00
2026-02-18 22:37:00,,,,,,0.6800,0.00,117719.00
2026-02-18 22:38:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,4.00,117723.00
2026-02-18 22:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,286.00,118009.00
2026-02-18 22:40:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,118023.00
2026-02-18 22:41:00,0.6800,0.6800,0.6900,0.6900,0.6803,0.6800,190.00,118213.00
2026-02-18 22:42:00,0.6900,0.6900,0.7000,0.7000,0.6901,0.6900,1525.00,118738.00
2026-02-18 22:43:00,0.7000,0.7000,0.7100,0.7100,0.7066,0.7000,503.00,119129.00
2026-02-18 22:44:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,174.00,119303.00
2026-02-18 22:45:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,127.00,119430.00
2026-02-18 22:46:00,0.7000,0.7000,0.7100,0.7100,0.7065,0.7000,1062.00,120454.00
2026-02-18 22:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7100,349.00,120803.00
2026-02-18 22:50:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,166.00,120969.00
2026-02-18 22:51:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,6.00,120975.00
2026-02-18 22:52:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,210.00,121185.00
2026-02-18 22:53:00,0.6800,0.6800,0.6900,0.6900,0.6812,0.6800,444.00,121629.00
2026-02-18 22:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,142.00,121771.00
2026-02-18 22:55:00,0.6800,0.6800,0.6900,0.6900,0.6863,0.6900,410.00,122181.00
2026-02-18 22:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,218.00,122399.00
2026-02-18 22:57:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,122406.00
2026-02-18 22:58:00,0.6800,0.6800,0.6900,0.6900,0.6849,0.6900,1174.00,123580.00
2026-02-18 22:59:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,285.00,123865.00
2026-02-18 23:00:00,0.6800,0.6600,0.6800,0.6600,0.6657,0.6800,7.00,123867.00
2026-02-18 23:01:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,15.00,123882.00
2026-02-18 23:02:00,0.6800,0.6800,0.6900,0.6900,0.6884,0.6800,597.00,124479.00
2026-02-18 23:03:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6900,300.00,124429.00
2026-02-18 23:04:00,0.6700,0.6600,0.6700,0.6600,0.6626,0.6700,27.00,124429.00
2026-02-18 23:05:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,14.00,124443.00
2026-02-18 23:06:00,0.6800,0.6600,0.6800,0.6800,0.6797,0.6800,418.00,124854.00
2026-02-18 23:07:00,0.6800,0.6800,0.6900,0.6900,0.6809,0.6800,881.00,125710.00
2026-02-18 23:08:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6900,69.00,125710.00
