end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-19 10:22:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.5200,9.00,1779.00
2026-02-19 10:23:00,,,,,,0.4700,0.00,1779.00
2026-02-19 10:24:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,1789.00
2026-02-19 10:25:00,0.5200,0.5200,0.5300,0.5300,0.5222,0.4700,18.00,1793.00
2026-02-19 10:26:00,0.5200,0.5200,0.5400,0.5400,0.5256,0.5300,27.00,1801.00
2026-02-19 10:27:00,,,,,,0.5400,0.00,1801.00
2026-02-19 10:28:00,,,,,,0.5400,0.00,1801.00
2026-02-19 10:29:00,,,,,,0.5400,0.00,1801.00
2026-02-19 10:30:00,,,,,,0.5400,0.00,1801.00
2026-02-19 10:31:00,,,,,,0.5400,0.00,1801.00
2026-02-19 10:32:00,0.5300,0.5300,0.5400,0.5400,0.5332,0.5400,60.00,1861.00
2026-02-19 10:33:00,,,,,,0.5400,0.00,1861.00
2026-02-19 10:34:00,0.5100,0.5100,0.5400,0.5300,0.5245,0.5400,337.00,2198.00
2026-02-19 10:35:00,0.5300,0.5200,0.5300,0.5200,0.5287,0.5300,38.00,2236.00
2026-02-19 10:36:00,,,,,,0.5200,0.00,2236.00
2026-02-19 10:37:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,71.00,2307.00
2026-02-19 10:38:00,0.5200,0.5200,0.5700,0.5700,0.5631,0.5300,246.00,2553.00
2026-02-19 10:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,2556.00
2026-02-19 10:40:00,0.5600,0.5500,0.5800,0.5800,0.5710,0.5700,1623.00,4179.00
2026-02-19 10:41:00,,,,,,0.5800,0.00,4179.00
2026-02-19 10:42:00,0.5200,0.5200,0.5600,0.5300,0.5294,0.5800,179.00,4354.00
2026-02-19 10:43:00,0.5200,0.5200,0.5300,0.5200,0.5226,0.5300,1026.00,5380.00
2026-02-19 10:45:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,229.00,5608.00
2026-02-19 10:46:00,0.5200,0.5200,0.5500,0.5500,0.5210,0.5200,518.00,6126.00
2026-02-19 10:47:00,0.5700,0.5700,0.5800,0.5800,0.5798,0.5500,274.00,6400.00
2026-02-19 10:48:00,0.5800,0.4800,0.5900,0.4800,0.5731,0.5800,601.00,6884.00
2026-02-19 10:49:00,0.5700,0.5500,0.5900,0.5500,0.5808,0.4800,795.00,7676.00
2026-02-19 10:50:00,0.5500,0.5500,0.5900,0.5900,0.5785,0.5500,380.00,8056.00
