end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-19 10:21:00,,,,,,0.5100,0.00,2288.00
2026-02-19 10:23:00,,,,,,0.5100,0.00,2288.00
2026-02-19 10:24:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5100,51.00,2339.00
2026-02-19 10:25:00,,,,,,0.5600,0.00,2339.00
2026-02-19 10:26:00,0.5500,0.5500,0.5600,0.5600,0.5566,0.5600,174.00,2513.00
2026-02-19 10:27:00,,,,,,0.5600,0.00,2513.00
2026-02-19 10:28:00,,,,,,0.5600,0.00,2513.00
2026-02-19 10:29:00,,,,,,0.5600,0.00,2513.00
2026-02-19 10:30:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5600,99.00,2612.00
2026-02-19 10:31:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,38.00,2650.00
2026-02-19 10:32:00,0.5300,0.5300,0.5400,0.5300,0.5395,0.5400,156.00,2806.00
2026-02-19 10:33:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5300,2.00,2804.00
2026-02-19 10:34:00,,,,,,0.5100,0.00,2804.00
2026-02-19 10:35:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,100.00,2904.00
2026-02-19 10:36:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5200,10.00,2914.00
2026-02-19 10:37:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.5000,49.00,2963.00
2026-02-19 10:38:00,0.4900,0.4900,0.5000,0.5000,0.4988,0.4900,162.00,3123.00
2026-02-19 10:39:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,55.00,3178.00
2026-02-19 10:40:00,0.5000,0.5000,0.5100,0.5100,0.5004,0.5000,156.00,3334.00
2026-02-19 10:41:00,0.5100,0.5100,0.5200,0.5100,0.5170,0.5100,494.00,3828.00
2026-02-19 10:42:00,0.5100,0.5000,0.5200,0.5000,0.5151,0.5100,397.00,4225.00
2026-02-19 10:43:00,0.5000,0.5000,0.5100,0.5100,0.5066,0.5000,148.00,4373.00
2026-02-19 10:45:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,142.00,4515.00
2026-02-19 10:46:00,0.5300,0.4800,0.5400,0.4800,0.5283,0.5100,6.00,4520.00
2026-02-19 10:47:00,0.4700,0.4700,0.5400,0.5400,0.5369,0.4800,112.00,4632.00
2026-02-19 10:48:00,0.5300,0.5100,0.5400,0.5100,0.5254,0.5400,196.00,4828.00
