end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 12:21:00,,,,,,0.3500,0.00,598.00
2026-02-20 12:22:00,,,,,,0.3500,0.00,598.00
2026-02-20 12:23:00,,,,,,0.3500,0.00,598.00
2026-02-20 12:26:00,,,,,,0.3500,0.00,598.00
2026-02-20 12:27:00,,,,,,0.3500,0.00,598.00
2026-02-20 12:28:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,40.00,628.00
2026-02-20 12:48:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,3.00,631.00
2026-02-20 12:52:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,16.00,647.00
2026-02-20 12:54:00,,,,,,0.3500,0.00,647.00
2026-02-20 12:55:00,,,,,,0.3500,0.00,647.00
2026-02-20 12:56:00,,,,,,0.3500,0.00,647.00
2026-02-20 12:57:00,,,,,,0.3500,0.00,647.00
2026-02-20 12:58:00,,,,,,0.3500,0.00,647.00
2026-02-20 12:59:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,40.00,687.00
2026-02-20 13:01:00,,,,,,0.3500,0.00,687.00
2026-02-20 13:02:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,54.00,741.00
2026-02-20 13:04:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,27.00,768.00
2026-02-20 13:06:00,,,,,,0.3500,0.00,768.00
2026-02-20 13:07:00,,,,,,0.3500,0.00,768.00
2026-02-20 13:08:00,,,,,,0.3500,0.00,768.00
2026-02-20 13:09:00,,,,,,0.3500,0.00,768.00
2026-02-20 13:11:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,5.00,773.00
2026-02-20 13:15:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:16:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:18:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:19:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:20:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:21:00,,,,,,0.3500,0.00,773.00
2026-02-20 13:29:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3500,6.00,779.00
2026-02-20 13:33:00,,,,,,0.3300,0.00,779.00
2026-02-20 13:37:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,793.00
2026-02-20 13:38:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:45:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:46:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:47:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:49:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:52:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:55:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:57:00,,,,,,0.3300,0.00,793.00
2026-02-20 13:58:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,119.00,912.00
2026-02-20 14:00:00,,,,,,0.3300,0.00,912.00
2026-02-20 14:03:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,914.00
2026-02-20 14:04:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:06:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:08:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:09:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:11:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:13:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:14:00,,,,,,0.3300,0.00,914.00
2026-02-20 14:18:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,100.00,1014.00
2026-02-20 14:20:00,,,,,,0.3300,0.00,1014.00
2026-02-20 14:22:00,,,,,,0.3300,0.00,1014.00
2026-02-20 14:23:00,,,,,,0.3300,0.00,1014.00
2026-02-20 14:24:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,5.00,1019.00
2026-02-20 14:25:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,1033.00
2026-02-20 14:26:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,101.00,1134.00
2026-02-20 14:27:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,50.00,1184.00
2026-02-20 14:28:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,71.00,1255.00
2026-02-20 14:29:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1111.00,2366.00
2026-02-20 14:30:00,0.3300,0.3300,0.3400,0.3400,0.3350,0.3300,28.00,2394.00
2026-02-20 14:31:00,0.3100,0.3100,0.3200,0.3200,0.3130,0.3400,776.00,3170.00
2026-02-20 14:32:00,0.2900,0.2900,0.3000,0.3000,0.2902,0.3200,56.00,3225.00
2026-02-20 14:33:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3000,69.00,3294.00
2026-02-20 14:34:00,0.3500,0.3400,0.3700,0.3500,0.3504,0.3400,411.00,3702.00
2026-02-20 14:35:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3500,1930.00,5632.00
2026-02-20 14:36:00,0.3200,0.3200,0.3600,0.3600,0.3478,0.3300,3561.00,8666.00
2026-02-20 14:37:00,0.3700,0.3700,0.3800,0.3700,0.3720,0.3600,1061.00,9727.00
2026-02-20 14:38:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3700,13.00,9740.00
2026-02-20 14:39:00,0.3700,0.3500,0.3800,0.3500,0.3714,0.3500,236.00,9976.00
2026-02-20 14:40:00,0.3400,0.3400,0.3500,0.3500,0.3499,0.3500,1738.00,11714.00
2026-02-20 14:41:00,0.3500,0.3000,0.3500,0.3400,0.3186,0.3500,5782.00,17496.00
2026-02-20 14:42:00,0.3300,0.2800,0.3300,0.3300,0.3121,0.3400,1213.00,18343.00
2026-02-20 14:43:00,0.3300,0.2700,0.3300,0.2900,0.2880,0.3300,5193.00,19887.00
2026-02-20 14:44:00,0.3200,0.3200,0.3400,0.3400,0.3277,0.2900,1062.00,20465.00
2026-02-20 14:45:00,0.3400,0.3100,0.3400,0.3300,0.3234,0.3400,7360.00,27659.00
2026-02-20 14:46:00,0.3300,0.3300,0.3600,0.3600,0.3518,0.3300,5422.00,31813.00
2026-02-20 14:47:00,0.3400,0.3400,0.3700,0.3700,0.3446,0.3600,2928.00,33718.00
2026-02-20 14:48:00,0.3500,0.3000,0.3500,0.3200,0.3374,0.3700,336.00,33961.00
2026-02-20 14:49:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,552.00,34513.00
2026-02-20 14:50:00,0.3200,0.3200,0.3700,0.3700,0.3260,0.3200,327.00,34838.00
2026-02-20 14:51:00,0.3400,0.3100,0.3400,0.3100,0.3279,0.3700,418.00,35256.00
2026-02-20 14:52:00,0.3400,0.3300,0.3700,0.3700,0.3474,0.3100,304.00,35560.00
2026-02-20 14:53:00,0.3400,0.3000,0.3400,0.3000,0.3248,0.3700,863.00,36345.00
2026-02-20 14:54:00,0.3200,0.3200,0.3300,0.3300,0.3275,0.3000,974.00,37319.00
2026-02-20 14:55:00,0.3000,0.3000,0.3100,0.3100,0.3013,0.3300,6707.00,32376.00
2026-02-20 14:56:00,0.3100,0.2800,0.3300,0.2800,0.2916,0.3100,495.00,32871.00
2026-02-20 14:57:00,0.2800,0.2600,0.3100,0.2600,0.2849,0.2800,328.00,33199.00
2026-02-20 14:58:00,0.2700,0.2500,0.3000,0.2500,0.2799,0.2600,479.00,33628.00
2026-02-20 14:59:00,0.2300,0.1400,0.2300,0.1400,0.1866,0.2500,1149.00,34777.00
2026-02-20 15:00:00,0.1200,0.1200,0.1500,0.1300,0.1257,0.1400,1566.00,34703.00
2026-02-20 15:01:00,0.1100,0.1100,0.1400,0.1200,0.1184,0.1300,1235.00,35300.00
2026-02-20 15:02:00,0.1100,0.1100,0.1200,0.1100,0.1189,0.1200,5047.00,39193.00
2026-02-20 15:03:00,0.1200,0.1000,0.1200,0.1100,0.1057,0.1100,6644.00,45488.00
2026-02-20 15:04:00,0.1300,0.0800,0.1300,0.0800,0.1019,0.1100,9595.00,51240.00
2026-02-20 15:05:00,0.1100,0.0900,0.1400,0.1400,0.1058,0.0800,4028.00,52530.00
2026-02-20 15:06:00,0.1400,0.1200,0.1400,0.1400,0.1364,0.1400,3170.00,54572.00
2026-02-20 15:07:00,0.1300,0.1000,0.1400,0.1000,0.1181,0.1400,1096.00,55057.00
2026-02-20 15:08:00,0.1200,0.1000,0.1200,0.1000,0.1111,0.1000,1181.00,56088.00
2026-02-20 15:09:00,0.1100,0.1100,0.1200,0.1200,0.1117,0.1000,1407.00,57495.00
2026-02-20 15:10:00,0.1200,0.1100,0.1200,0.1200,0.1200,0.1200,1065.00,58226.00
2026-02-20 15:11:00,0.1200,0.1200,0.1300,0.1300,0.1280,0.1200,6178.00,64383.00
2026-02-20 15:12:00,0.1200,0.1200,0.1300,0.1300,0.1255,0.1300,322.00,64705.00
2026-02-20 15:13:00,0.1200,0.1100,0.1300,0.1300,0.1213,0.1300,1237.00,65942.00
2026-02-20 15:14:00,0.1300,0.1100,0.1300,0.1300,0.1280,0.1300,137.00,66051.00
2026-02-20 15:15:00,0.1300,0.1000,0.1300,0.1000,0.1030,0.1300,2682.00,68733.00
2026-02-20 15:16:00,0.1000,0.0400,0.1000,0.0900,0.0771,0.1000,6014.00,71426.00
2026-02-20 15:17:00,0.0900,0.0600,0.0900,0.0600,0.0789,0.0900,1732.00,72262.00
2026-02-20 15:18:00,0.0700,0.0700,0.1100,0.0800,0.0826,0.0600,2708.00,72738.00
2026-02-20 15:19:00,0.0800,0.0800,0.1200,0.1200,0.0985,0.0800,2444.00,72085.00
2026-02-20 15:20:00,0.1200,0.1200,0.1400,0.1400,0.1306,0.1200,4800.00,71143.00
2026-02-20 15:21:00,0.1400,0.1200,0.1400,0.1200,0.1382,0.1400,3801.00,74274.00
2026-02-20 15:22:00,0.1400,0.1100,0.1400,0.1200,0.1233,0.1200,1591.00,74029.00
2026-02-20 15:23:00,0.1300,0.1200,0.1300,0.1300,0.1248,0.1200,1745.00,74818.00
2026-02-20 15:24:00,0.1400,0.1200,0.1400,0.1200,0.1206,0.1300,1060.00,75860.00
2026-02-20 15:25:00,0.1400,0.1100,0.1400,0.1300,0.1223,0.1200,1156.00,76991.00
2026-02-20 15:26:00,0.1300,0.1300,0.1400,0.1400,0.1394,0.1300,2404.00,79395.00
2026-02-20 15:27:00,0.1400,0.1300,0.1500,0.1500,0.1441,0.1400,5584.00,84761.00
2026-02-20 15:28:00,0.1500,0.1200,0.1500,0.1200,0.1428,0.1500,2039.00,86738.00
2026-02-20 15:29:00,0.1200,0.1100,0.1400,0.1400,0.1231,0.1200,3140.00,89696.00
2026-02-20 15:30:00,0.1300,0.1100,0.2000,0.1700,0.1559,0.1400,22361.00,111677.00
2026-02-20 15:31:00,0.1700,0.1600,0.2100,0.1700,0.1734,0.1700,3898.00,115571.00
2026-02-20 15:32:00,0.1700,0.1500,0.1700,0.1600,0.1684,0.1700,7780.00,123260.00
2026-02-20 15:33:00,0.1600,0.1300,0.1600,0.1500,0.1512,0.1600,459.00,123637.00
2026-02-20 15:34:00,0.1600,0.1500,0.1900,0.1800,0.1731,0.1500,3788.00,127261.00
2026-02-20 15:35:00,0.1800,0.1600,0.2200,0.1900,0.1798,0.1800,2271.00,129480.00
2026-02-20 15:36:00,0.1600,0.1400,0.2000,0.2000,0.1853,0.1900,1779.00,130959.00
2026-02-20 15:37:00,0.2000,0.2000,0.3900,0.3900,0.3007,0.2000,4344.00,132486.00
2026-02-20 15:38:00,0.3700,0.3600,0.5300,0.3700,0.4057,0.3900,9017.00,133131.00
2026-02-20 15:39:00,0.3900,0.3700,0.4200,0.4200,0.3858,0.3700,4450.00,133325.00
2026-02-20 15:40:00,0.4100,0.3600,0.4700,0.4700,0.4120,0.4200,7041.00,131783.00
2026-02-20 15:41:00,0.4800,0.4400,0.4900,0.4800,0.4708,0.4700,4709.00,131453.00
2026-02-20 15:42:00,0.4800,0.4600,0.4900,0.4600,0.4712,0.4800,3748.00,133882.00
2026-02-20 15:43:00,0.4600,0.4400,0.5500,0.5300,0.4818,0.4600,7970.00,140984.00
2026-02-20 15:44:00,0.5200,0.4700,0.5400,0.4900,0.5000,0.5300,6802.00,147674.00
2026-02-20 15:45:00,0.4800,0.4100,0.5400,0.4500,0.4667,0.4900,4778.00,147931.00
2026-02-20 15:46:00,0.4400,0.4400,0.5100,0.5100,0.4786,0.4500,5858.00,152631.00
2026-02-20 15:47:00,0.5100,0.4900,0.6100,0.5700,0.5511,0.5100,7768.00,159697.00
2026-02-20 15:48:00,0.5700,0.4800,0.8300,0.5500,0.6001,0.5700,19160.00,172441.00
2026-02-20 15:49:00,0.5700,0.4500,0.5700,0.4500,0.5207,0.5500,11586.00,180023.00
2026-02-20 15:50:00,0.4900,0.4700,0.5100,0.5100,0.4802,0.4500,3705.00,180043.00
2026-02-20 15:51:00,0.5100,0.4400,0.5100,0.4500,0.4691,0.5100,4656.00,184354.00
2026-02-20 15:52:00,0.5000,0.4300,0.5000,0.4700,0.4763,0.4500,15553.00,197965.00
2026-02-20 15:53:00,0.4600,0.4500,0.5300,0.5300,0.4854,0.4700,6236.00,203969.00
2026-02-20 15:54:00,0.5200,0.4700,0.5200,0.4900,0.5051,0.5300,16618.00,206981.00
2026-02-20 15:55:00,0.4900,0.4500,0.5400,0.4500,0.4914,0.4900,3464.00,209116.00
2026-02-20 15:56:00,0.5000,0.4800,0.5500,0.4800,0.5034,0.4500,4835.00,211191.00
2026-02-20 15:57:00,0.5100,0.4500,0.6000,0.4900,0.5164,0.4800,1780.00,211773.00
2026-02-20 15:58:00,0.5100,0.5000,0.6500,0.5000,0.5532,0.4900,8538.00,219372.00
2026-02-20 15:59:00,0.5000,0.4500,0.5000,0.4500,0.4783,0.5000,2947.00,220561.00
2026-02-20 16:00:00,0.4700,0.3000,0.4800,0.3200,0.3828,0.4500,8122.00,225964.00
2026-02-20 16:01:00,0.3200,0.1500,0.3500,0.2100,0.2232,0.3200,23891.00,225271.00
2026-02-20 16:02:00,0.2200,0.0600,0.2400,0.1000,0.1645,0.2100,23711.00,220100.00
2026-02-20 16:03:00,0.1000,0.0800,0.1300,0.1100,0.1070,0.1000,14771.00,232633.00
2026-02-20 16:04:00,0.1000,0.0900,0.2300,0.2300,0.1368,0.1100,13730.00,243449.00
2026-02-20 16:05:00,0.2200,0.1000,0.3000,0.1200,0.1414,0.2300,6847.00,248479.00
2026-02-20 16:06:00,0.1200,0.0700,0.1200,0.0900,0.0848,0.1200,14182.00,256424.00
2026-02-20 16:07:00,0.1000,0.0800,0.1900,0.0800,0.1048,0.0900,14675.00,262936.00
2026-02-20 16:08:00,0.0700,0.0300,0.1000,0.0500,0.0558,0.0800,20595.00,273176.00
2026-02-20 16:09:00,0.0500,0.0300,0.0700,0.0600,0.0553,0.0500,9725.00,279249.00
2026-02-20 16:10:00,0.0600,0.0500,0.0800,0.0700,0.0698,0.0600,9166.00,285035.00
2026-02-20 16:11:00,0.0700,0.0600,0.0700,0.0700,0.0668,0.0700,5733.00,287082.00
2026-02-20 16:12:00,0.0700,0.0100,0.0700,0.0200,0.0318,0.0700,15849.00,293572.00
2026-02-20 16:13:00,0.0200,0.0100,0.0200,0.0100,0.0131,0.0200,8447.00,298845.00
2026-02-20 16:14:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,374.00,299219.00
2026-02-20 16:15:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,14.00,299233.00
