end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-21 12:54:00,,,,,,0.5100,0.00,12982.00
2026-02-21 12:55:00,0.5000,0.5000,0.5200,0.5200,0.5060,0.5100,909.00,13891.00
2026-02-21 12:57:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5200,310.00,14201.00
2026-02-21 12:59:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,135.00,14336.00
2026-02-21 13:00:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,23.00,14359.00
2026-02-21 13:03:00,0.5000,0.4900,0.5000,0.4900,0.4906,0.5000,86.00,14383.00
2026-02-21 13:05:00,,,,,,0.4900,0.00,14383.00
2026-02-21 13:06:00,0.5000,0.5000,0.5100,0.5100,0.5072,0.4900,152.00,14535.00
2026-02-21 13:07:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,18.00,14553.00
2026-02-21 13:10:00,,,,,,0.5100,0.00,14553.00
2026-02-21 13:16:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,37.00,14590.00
2026-02-21 13:18:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.5100,57.00,14647.00
2026-02-21 13:19:00,,,,,,0.4800,0.00,14647.00
2026-02-21 13:20:00,,,,,,0.4800,0.00,14647.00
2026-02-21 13:25:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.4800,30.00,14677.00
2026-02-21 13:26:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,140.00,14817.00
2026-02-21 13:27:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,38.00,14855.00
2026-02-21 13:28:00,,,,,,0.5100,0.00,14855.00
2026-02-21 13:37:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,163.00,15018.00
2026-02-21 13:39:00,,,,,,0.5100,0.00,15018.00
2026-02-21 13:40:00,,,,,,0.5100,0.00,15018.00
2026-02-21 13:42:00,,,,,,0.5100,0.00,15018.00
2026-02-21 13:44:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5100,96.00,15114.00
2026-02-21 13:45:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,9.00,15123.00
2026-02-21 13:48:00,,,,,,0.5000,0.00,15123.00
2026-02-21 13:51:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1000.00,16123.00
2026-02-21 13:53:00,,,,,,0.5000,0.00,16123.00
2026-02-21 13:57:00,,,,,,0.5000,0.00,16123.00
2026-02-21 14:00:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,70.00,16193.00
2026-02-21 14:01:00,,,,,,0.5100,0.00,16193.00
2026-02-21 14:02:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,30.00,16223.00
2026-02-21 14:03:00,,,,,,0.5100,0.00,16223.00
2026-02-21 14:04:00,0.5100,0.5000,0.5100,0.5000,0.5056,0.5100,68.00,16261.00
2026-02-21 14:05:00,0.5100,0.5100,0.5200,0.5200,0.5142,0.5000,281.00,16542.00
2026-02-21 14:06:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,139.00,16681.00
2026-02-21 14:07:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,216.00,16897.00
2026-02-21 14:08:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,94.00,16991.00
2026-02-21 14:09:00,0.5100,0.5000,0.5100,0.5000,0.5047,0.5100,38.00,17029.00
2026-02-21 14:10:00,0.5200,0.5200,0.5300,0.5300,0.5209,0.5000,915.00,17944.00
2026-02-21 14:11:00,0.5000,0.4800,0.5000,0.4800,0.4960,0.5300,2404.00,20348.00
2026-02-21 14:12:00,0.5000,0.4800,0.5200,0.4800,0.5043,0.4800,1393.00,21741.00
2026-02-21 14:13:00,0.5200,0.5000,0.5300,0.5300,0.5194,0.4800,259.00,22000.00
2026-02-21 14:14:00,0.5200,0.5200,0.5800,0.5800,0.5558,0.5300,1861.00,23861.00
2026-02-21 14:15:00,0.5800,0.5000,0.5900,0.5000,0.5340,0.5800,3788.00,27644.00
2026-02-21 14:16:00,0.5000,0.4800,0.5400,0.4800,0.5006,0.5000,4715.00,32014.00
2026-02-21 14:17:00,0.4900,0.4800,0.4900,0.4900,0.4872,0.4800,69.00,32063.00
2026-02-21 14:18:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,39.00,32102.00
2026-02-21 14:19:00,0.5000,0.5000,0.5300,0.5100,0.5125,0.4900,1044.00,33146.00
2026-02-21 14:20:00,0.5200,0.5200,0.5600,0.5500,0.5483,0.5100,7490.00,40636.00
2026-02-21 14:21:00,0.5500,0.5200,0.5500,0.5200,0.5256,0.5500,197.00,40833.00
2026-02-21 14:22:00,0.5200,0.5200,0.5600,0.5600,0.5300,0.5200,20.00,40853.00
2026-02-21 14:23:00,0.5900,0.5700,0.6100,0.5700,0.5904,0.5600,1356.00,42209.00
2026-02-21 14:24:00,0.5200,0.5200,0.5400,0.5200,0.5254,0.5700,1698.00,43882.00
2026-02-21 14:25:00,0.5400,0.4900,0.5500,0.5100,0.5210,0.5200,3996.00,47758.00
2026-02-21 14:26:00,0.5100,0.4800,0.5100,0.5100,0.4988,0.5100,2797.00,50515.00
2026-02-21 14:27:00,0.4800,0.4800,0.5100,0.4800,0.4913,0.5100,898.00,51413.00
2026-02-21 14:28:00,0.4800,0.4100,0.5300,0.5000,0.4624,0.4800,9886.00,59473.00
2026-02-21 14:29:00,0.4700,0.4700,0.4800,0.4700,0.4732,0.5000,497.00,59970.00
2026-02-21 14:30:00,0.4800,0.4500,0.4800,0.4600,0.4590,0.4700,573.00,60493.00
2026-02-21 14:31:00,0.4500,0.4400,0.4800,0.4700,0.4603,0.4600,881.00,61283.00
2026-02-21 14:32:00,0.4800,0.3300,0.4800,0.4300,0.4125,0.4700,12070.00,57315.00
2026-02-21 14:33:00,0.4100,0.4100,0.4500,0.4500,0.4360,0.4300,1374.00,57528.00
2026-02-21 14:34:00,0.4500,0.4200,0.5400,0.5300,0.4826,0.4500,10642.00,62194.00
2026-02-21 14:35:00,0.5200,0.4800,0.5800,0.5600,0.5326,0.5300,9617.00,63175.00
2026-02-21 14:36:00,0.5900,0.5200,0.5900,0.5200,0.5509,0.5600,720.00,63167.00
2026-02-21 14:37:00,0.4800,0.4500,0.4800,0.4500,0.4731,0.5200,3026.00,61761.00
2026-02-21 14:38:00,0.4500,0.4400,0.4600,0.4500,0.4499,0.4500,308.00,62019.00
