end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 02:53:00,,,,,,0.4600,0.00,43711.00
2026-02-22 02:55:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1286.00,44997.00
2026-02-22 02:56:00,,,,,,0.4600,0.00,44997.00
2026-02-22 02:57:00,,,,,,0.4600,0.00,44997.00
2026-02-22 02:58:00,,,,,,0.4600,0.00,44997.00
2026-02-22 02:59:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,31.00,45028.00
2026-02-22 03:00:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,718.00,45746.00
2026-02-22 03:01:00,,,,,,0.4600,0.00,45746.00
2026-02-22 03:02:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,200.00,45946.00
2026-02-22 03:03:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1000.00,46946.00
2026-02-22 03:04:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,302.00,47248.00
2026-02-22 03:05:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,94.00,47342.00
2026-02-22 03:06:00,0.4700,0.4700,0.4800,0.4800,0.4733,0.4600,1020.00,48358.00
2026-02-22 03:07:00,,,,,,0.4800,0.00,48358.00
2026-02-22 03:08:00,,,,,,0.4800,0.00,48358.00
2026-02-22 03:09:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,948.00,49306.00
2026-02-22 03:10:00,,,,,,0.4700,0.00,49306.00
2026-02-22 03:11:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,281.00,49587.00
2026-02-22 03:15:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,1025.00,50612.00
2026-02-22 03:16:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,982.00,51594.00
2026-02-22 03:17:00,0.4800,0.4800,0.4900,0.4900,0.4800,0.4700,836.00,52430.00
2026-02-22 03:18:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,59.00,52489.00
2026-02-22 03:19:00,,,,,,0.4900,0.00,52489.00
2026-02-22 03:20:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,851.00,53340.00
2026-02-22 03:21:00,,,,,,0.4800,0.00,53340.00
2026-02-22 03:22:00,0.4800,0.4800,0.4900,0.4900,0.4801,0.4800,822.00,54162.00
2026-02-22 03:23:00,,,,,,0.4900,0.00,54162.00
2026-02-22 03:24:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,847.00,55009.00
2026-02-22 03:25:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,1618.00,56627.00
2026-02-22 03:26:00,0.4900,0.4800,0.4900,0.4800,0.4859,0.4900,2017.00,58644.00
2026-02-22 03:28:00,,,,,,0.4800,0.00,58644.00
2026-02-22 03:29:00,,,,,,0.4800,0.00,58644.00
2026-02-22 03:30:00,,,,,,0.4800,0.00,58644.00
2026-02-22 03:31:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,101.00,58745.00
2026-02-22 03:32:00,,,,,,0.4900,0.00,58745.00
2026-02-22 03:33:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4900,8.00,58745.00
2026-02-22 03:35:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4600,774.00,59519.00
2026-02-22 03:36:00,0.4900,0.4900,0.5100,0.5000,0.5025,0.4800,1596.00,61115.00
2026-02-22 03:37:00,0.5000,0.5000,0.5100,0.5100,0.5003,0.5000,518.00,61633.00
2026-02-22 03:38:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5100,10.00,61643.00
2026-02-22 03:39:00,0.4900,0.4900,0.5000,0.5000,0.4924,0.5000,1057.00,62700.00
2026-02-22 03:40:00,0.4600,0.4600,0.5600,0.4900,0.4979,0.5000,1361.00,63993.00
2026-02-22 03:41:00,0.5000,0.4400,0.5600,0.4400,0.4722,0.4900,4598.00,68174.00
2026-02-22 03:42:00,0.4500,0.4500,0.4900,0.4900,0.4664,0.4400,235.00,68400.00
2026-02-22 03:43:00,0.4800,0.4800,0.5600,0.5000,0.5180,0.4900,116.00,68516.00
2026-02-22 03:44:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,38.00,68554.00
2026-02-22 03:45:00,0.5300,0.5000,0.5300,0.5000,0.5169,0.5000,357.00,68911.00
2026-02-22 03:46:00,0.4800,0.4800,0.4900,0.4900,0.4883,0.5000,647.00,69558.00
2026-02-22 03:47:00,0.4700,0.4700,0.5100,0.4900,0.4773,0.4900,522.00,70080.00
2026-02-22 03:48:00,0.5200,0.5200,0.5300,0.5200,0.5288,0.4900,1694.00,71774.00
2026-02-22 03:49:00,0.5300,0.4900,0.5400,0.4900,0.4914,0.5200,825.00,72599.00
2026-02-22 03:50:00,0.4900,0.4800,0.5200,0.4800,0.4972,0.4900,1183.00,73676.00
2026-02-22 03:51:00,0.4800,0.4800,0.5100,0.5100,0.4890,0.4800,1063.00,74710.00
2026-02-22 03:52:00,0.5100,0.5000,0.5300,0.5000,0.5113,0.5100,891.00,75601.00
2026-02-22 03:53:00,0.4700,0.4700,0.4800,0.4800,0.4797,0.5000,124.00,75725.00
2026-02-22 03:54:00,0.4800,0.4300,0.4800,0.4300,0.4360,0.4800,937.00,76660.00
2026-02-22 03:55:00,0.3900,0.3900,0.4300,0.4300,0.4085,0.4300,1075.00,77735.00
2026-02-22 03:56:00,0.4700,0.4700,0.4900,0.4700,0.4869,0.4300,2849.00,80573.00
2026-02-22 03:57:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,42.00,80615.00
2026-02-22 03:58:00,0.4700,0.4700,0.5700,0.5700,0.5042,0.4700,1260.00,80430.00
2026-02-22 03:59:00,0.5600,0.5300,0.5900,0.5300,0.5672,0.5700,2567.00,82198.00
2026-02-22 04:00:00,0.5300,0.5100,0.5600,0.5100,0.5296,0.5300,247.00,82422.00
2026-02-22 04:01:00,0.5100,0.4800,0.5100,0.4800,0.4845,0.5100,302.00,82708.00
2026-02-22 04:02:00,0.5000,0.4600,0.5200,0.4700,0.4817,0.4800,2858.00,84776.00
2026-02-22 04:03:00,0.4600,0.4600,0.5000,0.5000,0.4704,0.4700,267.00,85043.00
2026-02-22 04:04:00,0.5200,0.5000,0.5300,0.5300,0.5194,0.5000,889.00,85932.00
2026-02-22 04:05:00,0.5200,0.4900,0.5200,0.5100,0.5134,0.5300,2624.00,88125.00
2026-02-22 04:06:00,0.5100,0.5000,0.5300,0.5000,0.5114,0.5100,1624.00,89749.00
2026-02-22 04:07:00,0.4900,0.4900,0.5300,0.5200,0.5211,0.5000,1169.00,90708.00
2026-02-22 04:08:00,0.5300,0.5300,0.6200,0.6200,0.5741,0.5200,2111.00,92792.00
2026-02-22 04:09:00,0.5500,0.5000,0.5500,0.5000,0.5208,0.6200,180.00,92819.00
2026-02-22 04:10:00,0.5500,0.5400,0.5900,0.5900,0.5572,0.5000,3675.00,94274.00
2026-02-22 04:11:00,0.6000,0.6000,0.7000,0.6900,0.6813,0.5900,536.00,94227.00
2026-02-22 04:12:00,0.7000,0.6400,0.7200,0.6400,0.6604,0.6900,1003.00,94396.00
2026-02-22 04:13:00,0.6300,0.6200,0.6400,0.6300,0.6278,0.6400,457.00,94232.00
2026-02-22 04:14:00,0.6000,0.5800,0.6000,0.6000,0.5890,0.6300,287.00,94510.00
2026-02-22 04:15:00,0.6200,0.5100,0.6500,0.5200,0.5304,0.6000,3339.00,95605.00
2026-02-22 04:16:00,0.5200,0.5000,0.5400,0.5200,0.5279,0.5200,16485.00,112012.00
2026-02-22 04:17:00,0.5200,0.4800,0.5200,0.4900,0.5125,0.5200,4966.00,116963.00
2026-02-22 04:18:00,0.5000,0.4700,0.5000,0.4700,0.4734,0.4900,6959.00,123922.00
2026-02-22 04:19:00,0.4800,0.4300,0.5000,0.4300,0.4680,0.4700,3197.00,127119.00
2026-02-22 04:20:00,0.4300,0.3000,0.4900,0.3000,0.3954,0.4300,1778.00,128886.00
2026-02-22 04:21:00,0.3000,0.2100,0.3400,0.2300,0.2847,0.3000,2865.00,131145.00
2026-02-22 04:22:00,0.2300,0.2100,0.2400,0.2400,0.2348,0.2300,3694.00,134658.00
2026-02-22 04:23:00,0.2300,0.2300,0.3000,0.3000,0.2548,0.2400,3853.00,138511.00
2026-02-22 04:24:00,0.3000,0.2600,0.3600,0.2900,0.3021,0.3000,9375.00,147810.00
2026-02-22 04:25:00,0.3100,0.2400,0.3100,0.2600,0.2737,0.2900,867.00,148627.00
2026-02-22 04:26:00,0.3000,0.3000,0.3900,0.3900,0.3256,0.2600,3638.00,152158.00
2026-02-22 04:27:00,0.3900,0.3900,0.4800,0.4800,0.4404,0.3900,2308.00,153678.00
2026-02-22 04:28:00,0.4700,0.4300,0.5000,0.4300,0.4631,0.4800,2560.00,156114.00
2026-02-22 04:29:00,0.4500,0.4300,0.4800,0.4300,0.4605,0.4300,2141.00,155537.00
2026-02-22 04:30:00,0.4800,0.4100,0.4900,0.4900,0.4489,0.4300,3269.00,154940.00
2026-02-22 04:31:00,0.4700,0.4100,0.4900,0.4500,0.4693,0.4900,2045.00,156504.00
2026-02-22 04:32:00,0.4200,0.3400,0.4400,0.3600,0.3505,0.4500,2334.00,155059.00
2026-02-22 04:33:00,0.3800,0.2200,0.4000,0.2400,0.2454,0.3600,5180.00,157452.00
2026-02-22 04:34:00,0.2200,0.2200,0.2900,0.2900,0.2400,0.2400,12854.00,170163.00
2026-02-22 04:35:00,0.2400,0.2000,0.2700,0.2600,0.2466,0.2900,2344.00,172381.00
2026-02-22 04:36:00,0.2300,0.1900,0.2500,0.1900,0.1962,0.2600,2311.00,170917.00
2026-02-22 04:37:00,0.1900,0.1800,0.2000,0.1900,0.1909,0.1900,4868.00,173552.00
2026-02-22 04:38:00,0.1900,0.1800,0.1900,0.1900,0.1895,0.1900,6932.00,179758.00
2026-02-22 04:39:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,2692.00,182450.00
2026-02-22 04:40:00,0.1900,0.1800,0.1900,0.1900,0.1899,0.1900,1307.00,183739.00
2026-02-22 04:41:00,0.1900,0.1700,0.2000,0.2000,0.1902,0.1900,1647.00,185332.00
2026-02-22 04:42:00,0.2000,0.1900,0.2000,0.2000,0.1997,0.2000,3688.00,189020.00
2026-02-22 04:43:00,0.1900,0.1800,0.2000,0.2000,0.1988,0.2000,1100.00,190106.00
2026-02-22 04:44:00,0.2000,0.1800,0.2200,0.2000,0.2047,0.2000,4602.00,194689.00
2026-02-22 04:45:00,0.2000,0.1900,0.2000,0.2000,0.1997,0.2000,1984.00,196607.00
2026-02-22 04:46:00,0.2000,0.1900,0.2000,0.1900,0.2000,0.2000,13744.00,210294.00
