end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 21:34:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,2.00,482.00
2026-02-22 21:39:00,,,,,,0.2600,0.00,482.00
2026-02-22 21:40:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2600,4.00,486.00
2026-02-22 21:43:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,21.00,507.00
2026-02-22 21:45:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,43.00,550.00
2026-02-22 21:46:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,8.00,558.00
2026-02-22 21:48:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,5.00,563.00
2026-02-22 21:52:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,84.00,647.00
2026-02-22 21:54:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,86.00,733.00
2026-02-22 21:55:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,8.00,741.00
2026-02-22 21:57:00,0.2200,0.2200,0.2300,0.2300,0.2213,0.2200,650.00,1391.00
2026-02-22 21:58:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2300,30.00,1412.00
2026-02-22 21:59:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2000,150.00,1555.00
2026-02-22 22:00:00,0.2200,0.2200,0.2300,0.2300,0.2277,0.2200,26.00,1575.00
2026-02-22 22:02:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2300,271.00,1845.00
2026-02-22 22:03:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,71.00,1916.00
2026-02-22 22:05:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,10.00,1926.00
2026-02-22 22:06:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,137.00,2063.00
2026-02-22 22:07:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,9.00,2072.00
2026-02-22 22:08:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,2.00,2074.00
2026-02-22 22:12:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,94.00,2168.00
2026-02-22 22:14:00,0.2000,0.2000,0.2400,0.2400,0.2055,0.2000,728.00,2896.00
2026-02-22 22:17:00,0.2200,0.2200,0.2300,0.2300,0.2292,0.2400,272.00,3168.00
2026-02-22 22:18:00,,,,,,0.2300,0.00,3168.00
2026-02-22 22:19:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2300,60.00,3178.00
2026-02-22 22:20:00,,,,,,0.1900,0.00,3178.00
2026-02-22 22:21:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,5.00,3183.00
2026-02-22 22:23:00,0.1900,0.1900,0.2000,0.2000,0.1998,0.2000,52.00,3235.00
2026-02-22 22:25:00,,,,,,0.2000,0.00,3235.00
2026-02-22 22:26:00,0.2000,0.1700,0.2000,0.1700,0.1947,0.2000,114.00,3349.00
2026-02-22 22:29:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1700,47.00,3396.00
2026-02-22 22:30:00,0.2000,0.2000,0.2200,0.2200,0.2034,0.2000,1000.00,4396.00
2026-02-22 22:31:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2200,8.00,4404.00
2026-02-22 22:32:00,0.2000,0.2000,0.2200,0.2200,0.2069,0.2000,94.00,4498.00
2026-02-22 22:33:00,0.2300,0.2200,0.2300,0.2300,0.2268,0.2200,31.00,4519.00
2026-02-22 22:34:00,0.2200,0.2200,0.2300,0.2300,0.2226,0.2300,38.00,4539.00
2026-02-22 22:35:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2300,6.00,4540.00
2026-02-22 22:36:00,0.2500,0.2400,0.2700,0.2600,0.2600,0.2600,54.00,4590.00
2026-02-22 22:39:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2600,1.00,4591.00
2026-02-22 22:40:00,0.2500,0.2500,0.2700,0.2700,0.2651,0.2400,131.00,4717.00
2026-02-22 22:41:00,,,,,,0.2700,0.00,4717.00
2026-02-22 22:42:00,0.2300,0.2200,0.2500,0.2200,0.2412,0.2700,136.00,4848.00
2026-02-22 22:43:00,0.2500,0.2100,0.2800,0.2100,0.2687,0.2200,1004.00,5789.00
2026-02-22 22:44:00,0.2500,0.2100,0.2700,0.2500,0.2191,0.2100,121.00,5804.00
2026-02-22 22:45:00,,,,,,0.2500,0.00,5804.00
2026-02-22 22:46:00,0.2500,0.2400,0.2500,0.2400,0.2432,0.2500,22.00,5820.00
2026-02-22 22:47:00,0.2500,0.2100,0.2700,0.2100,0.2528,0.2400,317.00,6087.00
2026-02-22 22:48:00,0.2400,0.2200,0.2500,0.2200,0.2451,0.2100,126.00,6206.00
2026-02-22 22:49:00,,,,,,0.2200,0.00,6206.00
2026-02-22 22:51:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2200,26.00,6225.00
2026-02-22 22:52:00,0.2300,0.2300,0.2400,0.2300,0.2325,0.2400,84.00,6297.00
2026-02-22 22:56:00,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,29.00,6326.00
2026-02-22 22:59:00,,,,,,0.2300,0.00,6326.00
2026-02-22 23:00:00,0.2000,0.2000,0.2300,0.2300,0.2022,0.2300,55.00,6330.00
2026-02-22 23:01:00,,,,,,0.2300,0.00,6330.00
2026-02-22 23:02:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2300,43.00,6373.00
2026-02-22 23:03:00,,,,,,0.2200,0.00,6373.00
2026-02-22 23:04:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,257.00,6630.00
2026-02-22 23:05:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,141.00,6771.00
2026-02-22 23:06:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2200,100.00,6871.00
2026-02-22 23:07:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,44.00,6915.00
2026-02-22 23:08:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,330.00,7245.00
2026-02-22 23:10:00,,,,,,0.2100,0.00,7245.00
2026-02-22 23:11:00,0.2000,0.2000,0.2100,0.2100,0.2040,0.2100,928.00,8173.00
2026-02-22 23:12:00,0.2000,0.1500,0.2000,0.2000,0.1666,0.2100,1069.00,7626.00
2026-02-22 23:13:00,0.1900,0.1800,0.1900,0.1800,0.1850,0.2000,20.00,7646.00
2026-02-22 23:14:00,0.1800,0.1800,0.1900,0.1900,0.1815,0.1800,104.00,7750.00
2026-02-22 23:15:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,118.00,7868.00
2026-02-22 23:16:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,3.00,7871.00
2026-02-22 23:18:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,7895.00
2026-02-22 23:19:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,7919.00
2026-02-22 23:20:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,24.00,7943.00
2026-02-22 23:21:00,0.1900,0.1900,0.2000,0.2000,0.1989,0.1900,2599.00,10442.00
2026-02-22 23:22:00,0.2000,0.2000,0.2100,0.2100,0.2092,0.2000,604.00,11046.00
2026-02-22 23:23:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,1349.00,12395.00
2026-02-22 23:24:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,45.00,12440.00
2026-02-22 23:25:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,67.00,12507.00
2026-02-22 23:26:00,0.2000,0.2000,0.2100,0.2100,0.2068,0.2100,62.00,12569.00
2026-02-22 23:27:00,0.2000,0.2000,0.2300,0.2300,0.2203,0.2100,942.00,13511.00
2026-02-22 23:28:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2300,141.00,13652.00
2026-02-22 23:30:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,27.00,13679.00
2026-02-22 23:31:00,,,,,,0.2200,0.00,13679.00
2026-02-22 23:32:00,0.2200,0.1800,0.2200,0.2100,0.2076,0.2200,254.00,13829.00
