end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 12:17:00,,,,,,0.5700,0.00,2077.00
2026-02-23 12:23:00,,,,,,0.5700,0.00,2077.00
2026-02-23 12:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,34.00,2111.00
2026-02-23 12:26:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,2.00,2113.00
2026-02-23 12:28:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,2130.00
2026-02-23 12:34:00,,,,,,0.5700,0.00,2130.00
2026-02-23 12:35:00,,,,,,0.5700,0.00,2130.00
2026-02-23 12:42:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,1.00,2131.00
2026-02-23 12:56:00,,,,,,0.5600,0.00,2131.00
2026-02-23 12:57:00,,,,,,0.5600,0.00,2131.00
2026-02-23 12:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,2181.00
2026-02-23 12:59:00,,,,,,0.5600,0.00,2181.00
2026-02-23 13:01:00,,,,,,0.5600,0.00,2181.00
2026-02-23 13:02:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,152.00,2333.00
2026-02-23 13:03:00,,,,,,0.5700,0.00,2333.00
2026-02-23 13:04:00,0.5700,0.5700,0.5800,0.5800,0.5723,0.5700,220.00,2553.00
2026-02-23 13:05:00,,,,,,0.5800,0.00,2553.00
2026-02-23 13:06:00,,,,,,0.5800,0.00,2553.00
2026-02-23 13:07:00,,,,,,0.5800,0.00,2553.00
2026-02-23 13:08:00,,,,,,0.5800,0.00,2553.00
2026-02-23 13:09:00,0.5700,0.5700,0.5800,0.5800,0.5706,0.5800,16.00,2569.00
2026-02-23 13:10:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:11:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:12:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:13:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:14:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:15:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:16:00,,,,,,0.5800,0.00,2569.00
2026-02-23 13:17:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,167.00,2736.00
2026-02-23 13:18:00,,,,,,0.5800,0.00,2736.00
2026-02-23 13:19:00,,,,,,0.5800,0.00,2736.00
2026-02-23 13:20:00,,,,,,0.5800,0.00,2736.00
2026-02-23 13:21:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,16.00,2752.00
2026-02-23 13:22:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,16.00,2768.00
2026-02-23 13:23:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:24:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:25:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:26:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:27:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:28:00,,,,,,0.5800,0.00,2768.00
2026-02-23 13:29:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,100.00,2868.00
2026-02-23 13:30:00,,,,,,0.5800,0.00,2868.00
2026-02-23 13:31:00,,,,,,0.5800,0.00,2868.00
2026-02-23 13:32:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,92.00,2960.00
2026-02-23 13:33:00,,,,,,0.5800,0.00,2960.00
2026-02-23 13:34:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,146.00,3106.00
2026-02-23 13:35:00,0.5800,0.5800,0.6000,0.6000,0.5835,0.5800,1321.00,4427.00
