end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 23:14:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5.00,2346.00
2026-02-22 23:26:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,2354.00
2026-02-22 23:28:00,,,,,,0.5600,0.00,2354.00
2026-02-22 23:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,2404.00
2026-02-22 23:30:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,2412.00
2026-02-22 23:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,21.00,2433.00
2026-02-22 23:33:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,7.00,2440.00
2026-02-22 23:34:00,,,,,,0.5600,0.00,2440.00
2026-02-22 23:36:00,,,,,,0.5600,0.00,2440.00
2026-02-22 23:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,86.00,2526.00
2026-02-22 23:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,6.00,2532.00
2026-02-22 23:39:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,2556.00,5088.00
2026-02-22 23:40:00,0.5600,0.5600,0.5700,0.5700,0.5693,0.5600,854.00,5942.00
2026-02-22 23:41:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,5959.00
2026-02-22 23:42:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,98.00,6057.00
2026-02-22 23:44:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,6074.00
2026-02-22 23:45:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,85.00,6159.00
2026-02-22 23:46:00,,,,,,0.5700,0.00,6159.00
2026-02-22 23:49:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,34.00,6193.00
2026-02-22 23:50:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,95.00,6288.00
2026-02-22 23:51:00,,,,,,0.5700,0.00,6288.00
2026-02-22 23:53:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,15.00,6303.00
2026-02-22 23:54:00,0.5500,0.5500,0.5700,0.5700,0.5579,0.5700,355.00,6444.00
2026-02-22 23:55:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,744.00,7188.00
2026-02-22 23:56:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,135.00,7323.00
2026-02-22 23:57:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,371.00,7694.00
2026-02-22 23:58:00,,,,,,0.5700,0.00,7694.00
2026-02-22 23:59:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,42.00,7736.00
2026-02-23 00:00:00,0.5800,0.5800,0.6000,0.5800,0.5908,0.5700,3304.00,11040.00
