end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 22:33:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3300,1.00,137.00
2026-02-23 22:38:00,,,,,,0.3600,0.00,137.00
2026-02-23 22:41:00,,,,,,0.3600,0.00,137.00
2026-02-23 22:44:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2.00,139.00
2026-02-23 22:55:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,26.00,165.00
2026-02-23 23:24:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,10.00,175.00
2026-02-23 23:28:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,79.00,254.00
2026-02-23 23:31:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1.00,255.00
2026-02-23 23:35:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,53.00,308.00
2026-02-23 23:36:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3600,132.00,176.00
2026-02-23 23:40:00,,,,,,0.3300,0.00,176.00
2026-02-23 23:41:00,,,,,,0.3300,0.00,176.00
2026-02-23 23:42:00,,,,,,0.3300,0.00,176.00
2026-02-23 23:48:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3300,5.00,181.00
2026-02-23 23:50:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2.00,183.00
2026-02-23 23:54:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,18.00,201.00
2026-02-23 23:55:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,20.00,221.00
2026-02-23 23:59:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,81.00,302.00
2026-02-24 00:01:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3600,2.00,304.00
2026-02-24 00:02:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3700,43.00,347.00
2026-02-24 00:03:00,,,,,,0.3500,0.00,347.00
2026-02-24 00:04:00,,,,,,0.3500,0.00,347.00
2026-02-24 00:05:00,,,,,,0.3500,0.00,347.00
2026-02-24 00:06:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,15.00,362.00
2026-02-24 00:07:00,,,,,,0.3500,0.00,362.00
2026-02-24 00:08:00,,,,,,0.3500,0.00,362.00
2026-02-24 00:09:00,0.3200,0.3200,0.3500,0.3500,0.3350,0.3500,4.00,364.00
2026-02-24 00:10:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,54.00,418.00
2026-02-24 00:12:00,,,,,,0.3500,0.00,418.00
2026-02-24 00:13:00,,,,,,0.3500,0.00,418.00
2026-02-24 00:14:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,43.00,461.00
