end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 06:12:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:13:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,392.00
2026-02-24 06:14:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:15:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:17:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:18:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,392.00
2026-02-24 06:20:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:21:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:23:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:25:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:27:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1.00,392.00
2026-02-24 06:29:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:30:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:32:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:34:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:37:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:38:00,,,,,,0.5700,0.00,392.00
2026-02-24 06:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,193.00,425.00
2026-02-24 06:40:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:41:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:43:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:44:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:45:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:46:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:47:00,,,,,,0.5700,0.00,425.00
2026-02-24 06:48:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,474.00,899.00
2026-02-24 06:49:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,1.00,900.00
2026-02-24 06:50:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,167.00,1067.00
2026-02-24 06:51:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,3.00,1070.00
2026-02-24 06:52:00,,,,,,0.5800,0.00,1070.00
2026-02-24 06:53:00,0.5900,0.5700,0.5900,0.5700,0.5847,0.5800,213.00,1186.00
2026-02-24 06:54:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,7.00,1193.00
2026-02-24 06:55:00,0.5500,0.5300,0.5500,0.5300,0.5365,0.5700,101.00,1196.00
2026-02-24 06:56:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,138.00,1334.00
2026-02-24 06:57:00,0.5500,0.5400,0.5500,0.5500,0.5468,0.5200,536.00,1796.00
2026-02-24 06:58:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,1813.00
2026-02-24 06:59:00,0.5700,0.5700,0.6100,0.5900,0.5933,0.5500,2950.00,4585.00
