end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 07:21:00,,,,,,0.5400,0.00,3893.00
2026-02-25 07:22:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,91.00,3984.00
2026-02-25 07:23:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,7.00,3991.00
2026-02-25 07:24:00,,,,,,0.5400,0.00,3991.00
2026-02-25 07:25:00,,,,,,0.5400,0.00,3991.00
2026-02-25 07:26:00,,,,,,0.5400,0.00,3991.00
2026-02-25 07:27:00,,,,,,0.5400,0.00,3991.00
2026-02-25 07:28:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,4.00,3995.00
2026-02-25 07:29:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,7.00,4002.00
2026-02-25 07:30:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,7.00,4009.00
2026-02-25 07:31:00,,,,,,0.5400,0.00,4009.00
2026-02-25 07:32:00,,,,,,0.5400,0.00,4009.00
2026-02-25 07:33:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5400,34.00,4043.00
2026-02-25 07:35:00,,,,,,0.5700,0.00,4043.00
2026-02-25 07:37:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,85.00,4128.00
2026-02-25 07:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,74.00,4202.00
2026-02-25 07:41:00,,,,,,0.5700,0.00,4202.00
2026-02-25 07:43:00,,,,,,0.5700,0.00,4202.00
2026-02-25 07:44:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,4210.00
2026-02-25 07:46:00,,,,,,0.5700,0.00,4210.00
2026-02-25 07:47:00,0.5700,0.5700,0.5800,0.5800,0.5770,0.5700,1188.00,5398.00
2026-02-25 07:48:00,,,,,,0.5800,0.00,5398.00
2026-02-25 07:49:00,,,,,,0.5800,0.00,5398.00
2026-02-25 07:50:00,,,,,,0.5800,0.00,5398.00
2026-02-25 07:51:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,486.00,5884.00
2026-02-25 07:52:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,70.00,5954.00
2026-02-25 07:53:00,0.5700,0.5700,0.5800,0.5800,0.5788,0.5800,8.00,5962.00
2026-02-25 07:54:00,0.5700,0.5700,0.5800,0.5800,0.5796,0.5800,25.00,5987.00
2026-02-25 07:55:00,,,,,,0.5800,0.00,5987.00
2026-02-25 07:56:00,,,,,,0.5800,0.00,5987.00
2026-02-25 07:58:00,0.5700,0.5700,0.5800,0.5800,0.5799,0.5800,167.00,6154.00
2026-02-25 08:00:00,0.5700,0.5700,0.5800,0.5800,0.5788,0.5800,8.00,6162.00
2026-02-25 08:01:00,0.5700,0.5700,0.6000,0.6000,0.5850,0.5800,3422.00,9584.00
