end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 12:18:00,,,,,,0.7300,0.00,349.00
2026-02-25 12:19:00,,,,,,0.7300,0.00,349.00
2026-02-25 12:21:00,,,,,,0.7300,0.00,349.00
2026-02-25 12:30:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7300,12.00,361.00
2026-02-25 12:43:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,5.00,366.00
2026-02-25 12:46:00,,,,,,0.7200,0.00,366.00
2026-02-25 12:50:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,664.00,1030.00
2026-02-25 12:53:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,6.00,1036.00
2026-02-25 12:56:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,40.00,1076.00
2026-02-25 12:57:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,35.00,1111.00
2026-02-25 13:00:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,2.00,1113.00
2026-02-25 13:01:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,108.00,1221.00
2026-02-25 13:02:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,30.00,1251.00
2026-02-25 13:14:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,1.00,1252.00
2026-02-25 13:28:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,20.00,1272.00
2026-02-25 13:30:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:31:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:33:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:36:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:39:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:40:00,,,,,,0.7200,0.00,1272.00
2026-02-25 13:41:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,22.00,1294.00
2026-02-25 13:42:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,681.00,1975.00
2026-02-25 13:44:00,0.7100,0.7000,0.7100,0.7000,0.7090,0.7200,991.00,2425.00
2026-02-25 13:45:00,,,,,,0.7000,0.00,2425.00
2026-02-25 13:46:00,0.6800,0.6800,0.6900,0.6900,0.6859,0.7000,631.00,2545.00
2026-02-25 13:47:00,0.7200,0.7200,0.7400,0.7400,0.7201,0.6900,860.00,3228.00
2026-02-25 13:48:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7400,39.00,3267.00
2026-02-25 13:49:00,0.7500,0.7400,0.7500,0.7400,0.7415,0.7500,455.00,3722.00
2026-02-25 13:50:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,39.00,3761.00
2026-02-25 13:51:00,,,,,,0.7400,0.00,3761.00
2026-02-25 13:52:00,0.8000,0.7900,0.8100,0.8100,0.8088,0.7400,349.00,4110.00
2026-02-25 13:53:00,0.8100,0.7800,0.8100,0.8100,0.8005,0.8100,2064.00,4367.00
2026-02-25 13:54:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8100,68.00,4435.00
2026-02-25 13:55:00,0.8500,0.8200,0.8500,0.8200,0.8202,0.8600,1274.00,4895.00
2026-02-25 13:56:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8200,600.00,5495.00
2026-02-25 13:57:00,0.8500,0.8500,0.8600,0.8600,0.8512,0.8400,1094.00,6589.00
2026-02-25 13:58:00,0.8600,0.8600,0.8700,0.8700,0.8680,0.8600,2404.00,7807.00
2026-02-25 13:59:00,0.8500,0.8400,0.8500,0.8400,0.8466,0.8700,59.00,7826.00
2026-02-25 14:00:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8400,8.00,7834.00
2026-02-25 14:01:00,,,,,,0.8500,0.00,7834.00
2026-02-25 14:02:00,0.8600,0.8400,0.8600,0.8400,0.8543,0.8500,441.00,8235.00
2026-02-25 14:03:00,0.8600,0.8500,0.8600,0.8500,0.8501,0.8400,1009.00,9244.00
2026-02-25 14:04:00,0.8500,0.8500,0.8600,0.8600,0.8544,0.8500,154.00,9274.00
2026-02-25 14:05:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,143.00,9417.00
2026-02-25 14:06:00,0.8800,0.8800,0.9100,0.9100,0.8965,0.8600,2754.00,11675.00
2026-02-25 14:07:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9100,44.00,11719.00
2026-02-25 14:08:00,0.9200,0.9200,0.9300,0.9300,0.9262,0.9200,1576.00,13295.00
2026-02-25 14:09:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9300,6496.00,19791.00
2026-02-25 14:10:00,0.9200,0.9100,0.9300,0.9100,0.9202,0.9300,2290.00,20361.00
2026-02-25 14:11:00,0.9100,0.9100,0.9200,0.9200,0.9180,0.9100,136.00,20470.00
2026-02-25 14:12:00,0.9200,0.9100,0.9200,0.9200,0.9185,0.9200,353.00,20813.00
2026-02-25 14:13:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9200,481.00,21294.00
2026-02-25 14:14:00,0.9200,0.9200,0.9300,0.9300,0.9235,0.9200,379.00,21673.00
2026-02-25 14:15:00,0.9300,0.9200,0.9300,0.9200,0.9265,0.9300,2819.00,24492.00
2026-02-25 14:16:00,0.9100,0.9000,0.9100,0.9000,0.9007,0.9200,625.00,25117.00
2026-02-25 14:17:00,0.9000,0.9000,0.9200,0.9200,0.9188,0.9000,2000.00,25226.00
2026-02-25 14:18:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9200,18.00,25244.00
2026-02-25 14:19:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9200,2231.00,25569.00
2026-02-25 14:20:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9300,50.00,25619.00
2026-02-25 14:21:00,0.9300,0.9100,0.9300,0.9100,0.9203,0.9300,319.00,25888.00
2026-02-25 14:22:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9100,19.00,25907.00
2026-02-25 14:23:00,0.9100,0.9100,0.9300,0.9300,0.9212,0.9100,381.00,26288.00
2026-02-25 14:24:00,0.9200,0.9200,0.9300,0.9300,0.9289,0.9300,535.00,26823.00
2026-02-25 14:25:00,0.9400,0.9400,0.9400,0.9400,0.9400,0.9300,18170.00,43416.00
2026-02-25 14:26:00,0.9400,0.9400,0.9600,0.9500,0.9492,0.9400,4285.00,46173.00
2026-02-25 14:27:00,0.9500,0.9500,0.9600,0.9600,0.9559,0.9500,1456.00,47629.00
2026-02-25 14:28:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9600,51.00,47680.00
2026-02-25 14:29:00,0.9700,0.9300,0.9700,0.9300,0.9435,0.9700,356.00,48013.00
2026-02-25 14:30:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9300,2259.00,49928.00
2026-02-25 14:31:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,1215.00,48713.00
2026-02-25 14:32:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9600,6264.00,42513.00
2026-02-25 14:33:00,0.9000,0.8900,0.9000,0.8900,0.8968,0.9200,3776.00,39893.00
2026-02-25 14:34:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,847.00,40738.00
2026-02-25 14:35:00,0.8900,0.8900,0.9000,0.9000,0.8999,0.8900,106.00,40844.00
2026-02-25 14:36:00,0.9000,0.9000,0.9300,0.9000,0.9053,0.9000,1087.00,40989.00
2026-02-25 14:37:00,0.9000,0.8800,0.9000,0.8800,0.8924,0.9000,38.00,41014.00
2026-02-25 14:38:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,289.00,41303.00
2026-02-25 14:39:00,0.8700,0.8500,0.8700,0.8500,0.8524,0.8800,25.00,41325.00
2026-02-25 14:40:00,0.8500,0.8300,0.8500,0.8300,0.8400,0.8500,2.00,41327.00
2026-02-25 14:41:00,0.8300,0.8200,0.8300,0.8200,0.8250,0.8300,2.00,41328.00
2026-02-25 14:42:00,0.8100,0.8100,0.8200,0.8200,0.8100,0.8200,631.00,41959.00
2026-02-25 14:43:00,0.8200,0.8200,0.8500,0.8500,0.8281,0.8200,2567.00,44059.00
2026-02-25 14:44:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8500,600.00,44659.00
2026-02-25 14:45:00,0.8400,0.8400,0.8600,0.8600,0.8470,0.8300,1576.00,46235.00
2026-02-25 14:46:00,0.8900,0.8800,0.8900,0.8800,0.8875,0.8600,555.00,46650.00
2026-02-25 14:47:00,0.9000,0.8700,0.9000,0.8700,0.8753,0.8800,932.00,46650.00
2026-02-25 14:48:00,0.8800,0.8800,0.8900,0.8900,0.8804,0.8700,214.00,46864.00
2026-02-25 14:49:00,0.9000,0.9000,0.9200,0.9200,0.9095,0.8900,441.00,47199.00
2026-02-25 14:50:00,0.9100,0.8900,0.9100,0.8900,0.9007,0.9200,130.00,47267.00
2026-02-25 14:51:00,0.8800,0.8700,0.8900,0.8900,0.8825,0.8900,68.00,47306.00
2026-02-25 14:52:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8900,1200.00,46106.00
2026-02-25 14:53:00,,,,,,0.8600,0.00,46106.00
2026-02-25 14:54:00,0.8500,0.8300,0.8500,0.8500,0.8477,0.8600,6247.00,45353.00
2026-02-25 14:55:00,0.8400,0.8400,0.9000,0.8900,0.8754,0.8500,5952.00,51305.00
2026-02-25 14:56:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,79.00,51384.00
2026-02-25 14:57:00,0.8900,0.8800,0.8900,0.8800,0.8889,0.8900,1818.00,50368.00
2026-02-25 14:58:00,0.9000,0.8800,0.9000,0.9000,0.8953,0.8800,1191.00,51559.00
2026-02-25 14:59:00,0.9000,0.8700,0.9000,0.8900,0.8787,0.9000,3856.00,52430.00
2026-02-25 15:00:00,0.8900,0.8600,0.8900,0.8600,0.8742,0.8900,5346.00,55173.00
2026-02-25 15:01:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,2383.00,57556.00
2026-02-25 15:02:00,0.8600,0.8400,0.8600,0.8500,0.8433,0.8600,1927.00,58267.00
2026-02-25 15:03:00,,,,,,0.8500,0.00,58267.00
2026-02-25 15:04:00,0.8400,0.8400,0.9500,0.8500,0.8868,0.8500,16778.00,73835.00
2026-02-25 15:05:00,0.8500,0.8500,0.8600,0.8600,0.8550,0.8500,2.00,73837.00
