end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 10:31:00,,,,,,0.2000,0.00,3170.00
2026-02-26 10:32:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,25.00,3195.00
2026-02-26 10:34:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,94.00,3289.00
2026-02-26 10:36:00,,,,,,0.2000,0.00,3289.00
2026-02-26 10:37:00,,,,,,0.2000,0.00,3289.00
2026-02-26 10:38:00,,,,,,0.2000,0.00,3289.00
2026-02-26 10:39:00,0.2000,0.2000,0.2100,0.2100,0.2095,0.2000,22.00,3311.00
2026-02-26 10:40:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,19.00,3330.00
2026-02-26 10:41:00,,,,,,0.2100,0.00,3330.00
2026-02-26 10:42:00,,,,,,0.2100,0.00,3330.00
2026-02-26 10:43:00,,,,,,0.2100,0.00,3330.00
2026-02-26 10:44:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,8.00,3338.00
2026-02-26 10:45:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,112.00,3450.00
2026-02-26 10:46:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,10.00,3460.00
2026-02-26 10:47:00,,,,,,0.2100,0.00,3460.00
2026-02-26 10:48:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,112.00,3572.00
2026-02-26 10:49:00,,,,,,0.2100,0.00,3572.00
2026-02-26 10:50:00,,,,,,0.2100,0.00,3572.00
2026-02-26 10:51:00,,,,,,0.2100,0.00,3572.00
2026-02-26 10:52:00,,,,,,0.2100,0.00,3572.00
2026-02-26 10:53:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,18.00,3590.00
2026-02-26 10:54:00,,,,,,0.2100,0.00,3590.00
2026-02-26 10:55:00,,,,,,0.2100,0.00,3590.00
2026-02-26 10:56:00,,,,,,0.2100,0.00,3590.00
2026-02-26 10:57:00,,,,,,0.2100,0.00,3590.00
2026-02-26 10:58:00,,,,,,0.2100,0.00,3590.00
2026-02-26 10:59:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,1.00,3591.00
2026-02-26 11:00:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,40.00,3631.00
2026-02-26 11:01:00,,,,,,0.2100,0.00,3631.00
2026-02-26 11:02:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,24.00,3655.00
2026-02-26 11:03:00,,,,,,0.2100,0.00,3655.00
2026-02-26 11:04:00,,,,,,0.2100,0.00,3655.00
2026-02-26 11:05:00,,,,,,0.2100,0.00,3655.00
2026-02-26 11:06:00,,,,,,0.2100,0.00,3655.00
2026-02-26 11:07:00,,,,,,0.2100,0.00,3655.00
2026-02-26 11:08:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.2100,94.00,3561.00
2026-02-26 11:09:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:11:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:12:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:13:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:14:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:15:00,,,,,,0.1800,0.00,3561.00
2026-02-26 11:16:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.1800,112.00,3673.00
2026-02-26 11:17:00,,,,,,0.2100,0.00,3673.00
2026-02-26 11:18:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,225.00,3898.00
2026-02-26 11:19:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,4.00,3902.00
2026-02-26 11:20:00,,,,,,0.2100,0.00,3902.00
2026-02-26 11:21:00,,,,,,0.2100,0.00,3902.00
2026-02-26 11:22:00,,,,,,0.2100,0.00,3902.00
2026-02-26 11:23:00,,,,,,0.2100,0.00,3902.00
2026-02-26 11:24:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,22.00,3924.00
2026-02-26 11:25:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,9.00,3933.00
2026-02-26 11:26:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:27:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:28:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:29:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:30:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:31:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:32:00,,,,,,0.2100,0.00,3933.00
2026-02-26 11:33:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2100,1.00,3934.00
2026-02-26 11:34:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2000,45.00,3979.00
2026-02-26 11:35:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:36:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:37:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:38:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:39:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:40:00,,,,,,0.2100,0.00,3979.00
2026-02-26 11:41:00,0.2000,0.2000,0.2100,0.2100,0.2095,0.2100,41.00,4020.00
2026-02-26 11:42:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2100,94.00,4114.00
2026-02-26 11:43:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,5.00,4119.00
2026-02-26 11:44:00,,,,,,0.2000,0.00,4119.00
2026-02-26 11:45:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1.00,4119.00
2026-02-26 11:46:00,,,,,,0.2000,0.00,4119.00
2026-02-26 11:47:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,283.00,4402.00
2026-02-26 11:48:00,,,,,,0.2000,0.00,4402.00
2026-02-26 11:49:00,,,,,,0.2000,0.00,4402.00
2026-02-26 11:50:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,454.00,4856.00
2026-02-26 11:51:00,,,,,,0.2000,0.00,4856.00
2026-02-26 11:52:00,,,,,,0.2000,0.00,4856.00
2026-02-26 11:53:00,,,,,,0.2000,0.00,4856.00
2026-02-26 11:54:00,,,,,,0.2000,0.00,4856.00
2026-02-26 11:55:00,,,,,,0.2000,0.00,4856.00
2026-02-26 11:56:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,51.00,4907.00
2026-02-26 11:57:00,,,,,,0.2000,0.00,4907.00
