end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 23:13:00,,,,,,0.7800,0.00,1069.00
2026-02-26 23:14:00,,,,,,0.7800,0.00,1069.00
2026-02-26 23:15:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,5.00,1074.00
2026-02-26 23:18:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,237.00,1311.00
2026-02-26 23:20:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,12.00,1323.00
2026-02-26 23:24:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,50.00,1373.00
2026-02-26 23:40:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,25.00,1398.00
2026-02-26 23:44:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,625.00,2023.00
2026-02-26 23:49:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1.00,2024.00
2026-02-26 23:59:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,126.00,2150.00
2026-02-27 00:00:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1.00,2151.00
2026-02-27 00:01:00,,,,,,0.7800,0.00,2151.00
2026-02-27 00:06:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,31.00,2182.00
2026-02-27 00:13:00,,,,,,0.7800,0.00,2182.00
2026-02-27 00:18:00,,,,,,0.7800,0.00,2182.00
2026-02-27 00:19:00,,,,,,0.7800,0.00,2182.00
2026-02-27 00:20:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,6.00,2188.00
2026-02-27 00:21:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,412.00,2577.00
2026-02-27 00:34:00,,,,,,0.7700,0.00,2577.00
2026-02-27 00:36:00,,,,,,0.7700,0.00,2577.00
2026-02-27 00:38:00,,,,,,0.7700,0.00,2577.00
2026-02-27 00:39:00,,,,,,0.7700,0.00,2577.00
2026-02-27 00:40:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7700,7.00,2584.00
2026-02-27 00:42:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7600,366.00,2584.00
2026-02-27 00:43:00,,,,,,0.7800,0.00,2584.00
2026-02-27 00:46:00,,,,,,0.7800,0.00,2584.00
2026-02-27 00:47:00,,,,,,0.7800,0.00,2584.00
2026-02-27 00:50:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,20.00,2604.00
2026-02-27 00:52:00,0.7700,0.7700,0.7800,0.7800,0.7707,0.7700,431.00,3004.00
2026-02-27 00:53:00,,,,,,0.7800,0.00,3004.00
2026-02-27 00:54:00,0.7700,0.7600,0.7700,0.7600,0.7621,0.7800,1017.00,4021.00
2026-02-27 00:55:00,0.7700,0.7600,0.7800,0.7800,0.7649,0.7600,578.00,4463.00
2026-02-27 00:56:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7800,39.00,4502.00
2026-02-27 00:57:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7600,32.00,4502.00
2026-02-27 00:58:00,,,,,,0.7800,0.00,4502.00
2026-02-27 01:00:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,31.00,4502.00
2026-02-27 01:01:00,,,,,,0.7800,0.00,4502.00
2026-02-27 01:02:00,,,,,,0.7800,0.00,4502.00
2026-02-27 01:03:00,,,,,,0.7800,0.00,4502.00
2026-02-27 01:04:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,265.00,4767.00
2026-02-27 01:06:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,213.00,4980.00
2026-02-27 01:07:00,,,,,,0.7700,0.00,4980.00
2026-02-27 01:08:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,170.00,5150.00
2026-02-27 01:10:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,228.00,5378.00
