end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 01:31:00,,,,,,0.6600,0.00,1898.00
2026-02-27 01:32:00,,,,,,0.6600,0.00,1898.00
2026-02-27 01:36:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,8.00,1906.00
2026-02-27 01:37:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,100.00,2006.00
2026-02-27 01:39:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,5.00,2011.00
2026-02-27 01:40:00,,,,,,0.6600,0.00,2011.00
2026-02-27 01:43:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,20.00,2031.00
2026-02-27 01:44:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,63.00,2094.00
2026-02-27 01:45:00,,,,,,0.6600,0.00,2094.00
2026-02-27 01:46:00,,,,,,0.6600,0.00,2094.00
2026-02-27 01:47:00,,,,,,0.6600,0.00,2094.00
2026-02-27 01:48:00,,,,,,0.6600,0.00,2094.00
2026-02-27 01:49:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6600,57.00,2151.00
2026-02-27 01:50:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,81.00,2232.00
2026-02-27 01:52:00,0.6400,0.6200,0.6400,0.6400,0.6313,0.6400,46.00,2258.00
2026-02-27 01:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,179.00,2437.00
2026-02-27 01:54:00,0.6400,0.6400,0.6500,0.6500,0.6439,0.6400,547.00,2984.00
2026-02-27 01:55:00,0.6500,0.6500,0.6600,0.6600,0.6522,0.6500,1644.00,4628.00
2026-02-27 01:56:00,0.6500,0.6500,0.6600,0.6600,0.6570,0.6600,1385.00,6013.00
2026-02-27 01:57:00,0.6600,0.6500,0.6700,0.6500,0.6673,0.6600,3429.00,9391.00
2026-02-27 01:58:00,0.6300,0.6200,0.6400,0.6400,0.6246,0.6500,1827.00,9421.00
2026-02-27 01:59:00,0.6300,0.6300,0.6400,0.6300,0.6315,0.6400,502.00,9923.00
2026-02-27 02:00:00,0.6300,0.6300,0.6400,0.6400,0.6340,0.6300,1158.00,11081.00
2026-02-27 02:01:00,0.6300,0.6300,0.6400,0.6400,0.6325,0.6400,110.00,11191.00
2026-02-27 02:02:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,30.00,11221.00
2026-02-27 02:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,68.00,11289.00
2026-02-27 02:04:00,0.6300,0.6300,0.6400,0.6400,0.6354,0.6300,2396.00,13685.00
2026-02-27 02:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,62.00,13747.00
2026-02-27 02:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,398.00,14145.00
2026-02-27 02:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,678.00,14823.00
2026-02-27 02:08:00,0.6400,0.6400,0.6500,0.6500,0.6443,0.6400,1260.00,16083.00
2026-02-27 02:09:00,,,,,,0.6500,0.00,16083.00
2026-02-27 02:10:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6500,711.00,16794.00
2026-02-27 02:11:00,0.6300,0.6200,0.6300,0.6300,0.6289,0.6300,592.00,17386.00
2026-02-27 02:12:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,25.00,17411.00
2026-02-27 02:13:00,0.6300,0.6300,0.6400,0.6300,0.6315,0.6300,465.00,17876.00
2026-02-27 02:14:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,209.00,18085.00
2026-02-27 02:15:00,,,,,,0.6300,0.00,18085.00
2026-02-27 02:16:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,192.00,18277.00
2026-02-27 02:17:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,511.00,18788.00
2026-02-27 02:18:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,219.00,19007.00
2026-02-27 02:19:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,6.00,19013.00
2026-02-27 02:20:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,92.00,19105.00
2026-02-27 02:21:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1365.00,20470.00
2026-02-27 02:22:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,144.00,20614.00
2026-02-27 02:23:00,0.6300,0.6300,0.6400,0.6400,0.6351,0.6300,782.00,21396.00
2026-02-27 02:24:00,0.6300,0.6300,0.6400,0.6400,0.6318,0.6400,317.00,21713.00
2026-02-27 02:25:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,749.00,22462.00
2026-02-27 02:26:00,0.6400,0.6400,0.6500,0.6500,0.6483,0.6400,1138.00,23600.00
2026-02-27 02:27:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,315.00,23915.00
2026-02-27 02:28:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,38.00,23953.00
2026-02-27 02:29:00,0.6400,0.6300,0.6400,0.6400,0.6331,0.6500,139.00,24092.00
2026-02-27 02:30:00,0.6400,0.6400,0.6500,0.6500,0.6464,0.6400,1959.00,26051.00
2026-02-27 02:31:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,64.00,26115.00
2026-02-27 02:32:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,525.00,26640.00
2026-02-27 02:33:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,150.00,26790.00
2026-02-27 02:34:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,29.00,26819.00
2026-02-27 02:35:00,,,,,,0.6500,0.00,26819.00
2026-02-27 02:36:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,192.00,27011.00
2026-02-27 02:37:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,595.00,27606.00
2026-02-27 02:38:00,0.6300,0.6200,0.6500,0.6200,0.6255,0.6500,1577.00,28552.00
2026-02-27 02:39:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,12.00,28540.00
2026-02-27 02:40:00,0.6200,0.6100,0.6200,0.6100,0.6179,0.6200,1766.00,29283.00
2026-02-27 02:41:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6100,257.00,29540.00
2026-02-27 02:42:00,0.6400,0.6400,0.6500,0.6500,0.6415,0.6400,525.00,30065.00
2026-02-27 02:43:00,,,,,,0.6500,0.00,30065.00
2026-02-27 02:44:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,659.00,30724.00
2026-02-27 02:45:00,,,,,,0.6400,0.00,30724.00
2026-02-27 02:46:00,,,,,,0.6400,0.00,30724.00
2026-02-27 02:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1242.00,31966.00
2026-02-27 02:48:00,,,,,,0.6400,0.00,31966.00
2026-02-27 02:49:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,6.00,31972.00
2026-02-27 02:50:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,596.00,32568.00
2026-02-27 02:51:00,,,,,,0.6400,0.00,32568.00
