end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 01:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,6.00,1679.00
2026-02-28 01:08:00,,,,,,0.6900,0.00,1679.00
2026-02-28 01:09:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,14.00,1693.00
2026-02-28 01:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,28.00,1721.00
2026-02-28 01:13:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,40.00,1761.00
2026-02-28 01:15:00,,,,,,0.6900,0.00,1761.00
2026-02-28 01:16:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,69.00,1830.00
2026-02-28 01:22:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,153.00,1983.00
2026-02-28 01:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,1.00,1984.00
2026-02-28 01:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,49.00,2033.00
2026-02-28 01:27:00,,,,,,0.6800,0.00,2033.00
2026-02-28 01:28:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,2054.00
2026-02-28 01:29:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,140.00,2194.00
2026-02-28 01:30:00,,,,,,0.6800,0.00,2194.00
2026-02-28 01:31:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,13.00,2207.00
2026-02-28 01:34:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,2214.00
2026-02-28 01:35:00,,,,,,0.6800,0.00,2214.00
2026-02-28 01:36:00,,,,,,0.6800,0.00,2214.00
2026-02-28 01:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,107.00,2321.00
2026-02-28 01:38:00,,,,,,0.6800,0.00,2321.00
2026-02-28 01:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,2331.00
2026-02-28 01:40:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6800,5.00,2331.00
