end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-21 07:31:00,,,,,,0.6600,0.00,3687.00
2026-01-21 07:32:00,,,,,,0.6600,0.00,3687.00
2026-01-21 07:33:00,,,,,,0.6600,0.00,3687.00
2026-01-21 07:34:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,71.00,3758.00
2026-01-21 07:35:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:36:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:39:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:40:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:41:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:42:00,,,,,,0.6800,0.00,3758.00
2026-01-21 07:43:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,3768.00
2026-01-21 07:44:00,,,,,,0.6800,0.00,3768.00
2026-01-21 07:45:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,8.00,3776.00
2026-01-21 07:46:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:47:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:49:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:50:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:51:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:52:00,,,,,,0.6900,0.00,3776.00
2026-01-21 07:53:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,138.00,3914.00
2026-01-21 07:54:00,,,,,,0.6900,0.00,3914.00
2026-01-21 07:55:00,,,,,,0.6900,0.00,3914.00
2026-01-21 07:56:00,0.6900,0.6900,0.7000,0.7000,0.6958,0.6900,654.00,4568.00
2026-01-21 07:57:00,,,,,,0.7000,0.00,4568.00
2026-01-21 07:58:00,,,,,,0.7000,0.00,4568.00
2026-01-21 07:59:00,,,,,,0.7000,0.00,4568.00
2026-01-21 08:00:00,,,,,,0.7000,0.00,4568.00
2026-01-21 08:01:00,,,,,,0.7000,0.00,4568.00
2026-01-21 08:02:00,0.6900,0.6900,0.7000,0.6900,0.6905,0.7000,497.00,5065.00
2026-01-21 08:03:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,5072.00
2026-01-21 08:04:00,,,,,,0.6900,0.00,5072.00
2026-01-21 08:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,6.00,5078.00
2026-01-21 08:06:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,119.00,5197.00
2026-01-21 08:07:00,0.6700,0.6600,0.6700,0.6600,0.6606,0.6900,422.00,5222.00
2026-01-21 08:08:00,,,,,,0.6600,0.00,5222.00
2026-01-21 08:09:00,0.7000,0.7000,0.7300,0.7000,0.7100,0.6600,2967.00,8174.00
2026-01-21 08:10:00,0.7000,0.7000,0.7100,0.7000,0.7021,0.7000,675.00,8849.00
2026-01-21 08:11:00,0.7000,0.7000,0.7100,0.7000,0.7054,0.7000,1486.00,10335.00
2026-01-21 08:12:00,0.7000,0.7000,0.7100,0.7100,0.7070,0.7000,630.00,10965.00
2026-01-21 08:13:00,0.7100,0.6900,0.7100,0.6900,0.7006,0.7100,2886.00,13840.00
2026-01-21 08:14:00,0.6500,0.6300,0.7300,0.6500,0.6658,0.6900,979.00,14819.00
2026-01-21 08:15:00,0.6400,0.6100,0.7800,0.6700,0.6590,0.6500,1226.00,15904.00
2026-01-21 08:16:00,0.6600,0.6400,0.7100,0.6400,0.6587,0.6700,2132.00,17997.00
2026-01-21 08:17:00,0.6600,0.6600,0.7000,0.6600,0.6709,0.6400,690.00,18679.00
2026-01-21 08:18:00,0.6600,0.6600,0.8800,0.7600,0.7453,0.6600,4323.00,22861.00
2026-01-21 08:19:00,0.7500,0.7000,0.8300,0.7100,0.7176,0.7600,2315.00,25136.00
2026-01-21 08:20:00,0.6900,0.6500,0.8300,0.6500,0.7165,0.7100,1036.00,26150.00
2026-01-21 08:21:00,0.6500,0.6200,0.7500,0.6600,0.6510,0.6500,1414.00,26738.00
2026-01-21 08:22:00,0.6500,0.6400,0.6900,0.6700,0.6642,0.6600,3586.00,30297.00
2026-01-21 08:23:00,0.6600,0.6100,0.6900,0.6300,0.6507,0.6700,742.00,30525.00
2026-01-21 08:24:00,0.6600,0.6600,0.6900,0.6900,0.6738,0.6300,74.00,30599.00
2026-01-21 08:25:00,0.6600,0.6600,0.7200,0.6600,0.6886,0.6900,897.00,31458.00
2026-01-21 08:26:00,0.6600,0.6400,0.6900,0.6600,0.6774,0.6600,2798.00,34221.00
2026-01-21 08:27:00,0.6400,0.6000,0.6600,0.6300,0.6427,0.6600,1015.00,35199.00
2026-01-21 08:28:00,0.6200,0.5800,0.6900,0.5800,0.6270,0.6300,874.00,35933.00
2026-01-21 08:29:00,0.6000,0.6000,0.6600,0.6600,0.6502,0.5800,2503.00,38229.00
2026-01-21 08:30:00,0.6600,0.6400,0.6700,0.6400,0.6605,0.6600,853.00,39069.00
2026-01-21 08:31:00,0.6300,0.6200,0.6900,0.6800,0.6835,0.6400,2306.00,41327.00
2026-01-21 08:32:00,0.6200,0.6000,0.6700,0.6000,0.6230,0.6800,1425.00,42680.00
2026-01-21 08:33:00,0.5900,0.5900,0.6400,0.6100,0.6188,0.6000,1693.00,44280.00
2026-01-21 08:34:00,0.6100,0.5700,0.6600,0.5700,0.6387,0.6100,2297.00,46504.00
2026-01-21 08:35:00,0.5800,0.5800,0.6100,0.5800,0.6015,0.5700,147.00,46642.00
2026-01-21 08:36:00,0.5800,0.5700,0.6100,0.5900,0.5973,0.5800,1610.00,48225.00
2026-01-21 08:37:00,0.5900,0.5300,0.6600,0.5300,0.6248,0.5900,1437.00,49637.00
2026-01-21 08:38:00,0.5300,0.4400,0.5900,0.4500,0.5016,0.5300,743.00,49780.00
2026-01-21 08:39:00,0.4700,0.4000,0.5100,0.5100,0.4943,0.4500,1872.00,51464.00
2026-01-21 08:40:00,0.4300,0.3500,0.4900,0.4800,0.4056,0.5100,3557.00,51724.00
2026-01-21 08:41:00,0.4700,0.4700,0.4800,0.4800,0.4797,0.4800,895.00,52619.00
2026-01-21 08:42:00,0.4200,0.4200,0.5400,0.5300,0.4799,0.4800,2284.00,53790.00
2026-01-21 08:43:00,0.4600,0.4500,0.5100,0.5100,0.5054,0.5300,2103.00,55877.00
2026-01-21 08:44:00,0.5400,0.5000,0.5800,0.5700,0.5509,0.5100,1117.00,56344.00
2026-01-21 08:45:00,0.5700,0.5600,0.6500,0.6000,0.6239,0.5700,2458.00,58764.00
2026-01-21 08:46:00,0.5800,0.5300,0.6600,0.5300,0.6103,0.6000,1353.00,60114.00
2026-01-21 08:47:00,0.5400,0.5400,0.6200,0.5400,0.6164,0.5300,2945.00,63039.00
2026-01-21 08:48:00,0.5800,0.4900,0.6200,0.5700,0.5383,0.5400,58.00,63081.00
2026-01-21 08:49:00,0.5700,0.5500,0.6700,0.6500,0.6022,0.5700,2409.00,65178.00
2026-01-21 08:50:00,0.6100,0.6100,0.6900,0.6500,0.6575,0.6500,1407.00,66506.00
2026-01-21 08:51:00,0.6500,0.5800,0.6500,0.6000,0.5863,0.6500,709.00,66590.00
2026-01-21 08:52:00,0.5800,0.5600,0.6400,0.6400,0.5995,0.6000,455.00,66487.00
2026-01-21 08:53:00,0.5400,0.5100,0.5800,0.5400,0.5323,0.6400,1790.00,68202.00
2026-01-21 08:54:00,0.5300,0.5300,0.5600,0.5500,0.5372,0.5400,2102.00,70270.00
2026-01-21 08:55:00,0.5600,0.5600,0.6400,0.5900,0.6074,0.5500,4178.00,74278.00
2026-01-21 08:56:00,0.6000,0.5800,0.6500,0.6500,0.6157,0.5900,1860.00,75831.00
2026-01-21 08:57:00,0.5900,0.5900,0.6400,0.6300,0.6194,0.6500,1357.00,77165.00
2026-01-21 08:58:00,0.6300,0.6200,0.6500,0.6300,0.6306,0.6300,843.00,77990.00
2026-01-21 08:59:00,0.6300,0.5800,0.6300,0.5900,0.6176,0.6300,523.00,78499.00
2026-01-21 09:00:00,0.5800,0.5600,0.6500,0.6500,0.6355,0.5900,165.00,78632.00
2026-01-21 09:01:00,0.6500,0.6300,0.6500,0.6500,0.6430,0.6500,728.00,78368.00
2026-01-21 09:02:00,0.6500,0.6200,0.6800,0.6400,0.6543,0.6500,526.00,78742.00
2026-01-21 09:03:00,0.6400,0.5900,0.7100,0.5900,0.6195,0.6400,364.00,79050.00
2026-01-21 09:04:00,0.5900,0.5500,0.6100,0.5700,0.5678,0.5900,645.00,79677.00
2026-01-21 09:05:00,0.5700,0.5600,0.6000,0.6000,0.5839,0.5700,2088.00,81621.00
2026-01-21 09:06:00,0.5800,0.5700,0.5900,0.5900,0.5832,0.6000,799.00,82196.00
2026-01-21 09:07:00,0.5800,0.5800,0.6800,0.5800,0.6089,0.5900,1452.00,83617.00
2026-01-21 09:08:00,0.6400,0.5400,0.6400,0.6100,0.5564,0.5800,987.00,84569.00
2026-01-21 09:09:00,0.5300,0.4400,0.6200,0.5100,0.4965,0.6100,4452.00,88132.00
2026-01-21 09:10:00,0.5500,0.5100,0.6100,0.5100,0.5715,0.5100,1781.00,89779.00
2026-01-21 09:11:00,0.5500,0.5500,0.5900,0.5900,0.5656,0.5100,703.00,89186.00
2026-01-21 09:12:00,0.5800,0.5200,0.5900,0.5300,0.5401,0.5900,1684.00,90842.00
2026-01-21 09:13:00,0.5200,0.5200,0.5600,0.5600,0.5383,0.5300,790.00,91601.00
2026-01-21 09:14:00,0.5800,0.5500,0.6000,0.5900,0.5957,0.5600,501.00,92090.00
2026-01-21 09:15:00,0.5400,0.4500,0.5400,0.5300,0.4909,0.5900,128.00,92190.00
2026-01-21 09:16:00,0.5300,0.4900,0.5800,0.5300,0.5500,0.5300,1246.00,93403.00
2026-01-21 09:17:00,0.5800,0.5700,0.6100,0.6100,0.5775,0.5300,734.00,94137.00
2026-01-21 09:18:00,0.6100,0.5800,0.6200,0.5900,0.6022,0.6100,938.00,94641.00
2026-01-21 09:19:00,0.6100,0.5600,0.7500,0.5700,0.6555,0.5900,6201.00,98127.00
2026-01-21 09:20:00,0.5800,0.5500,0.6200,0.5800,0.5768,0.5700,1345.00,99397.00
2026-01-21 09:21:00,0.5800,0.5800,0.6800,0.6400,0.6278,0.5800,2568.00,101220.00
2026-01-21 09:22:00,0.6200,0.6200,0.8000,0.7500,0.7215,0.6400,1879.00,102332.00
2026-01-21 09:23:00,0.6900,0.6900,0.7800,0.7600,0.7596,0.7500,893.00,102453.00
2026-01-21 09:24:00,0.7800,0.7700,0.8200,0.8200,0.8004,0.7600,1549.00,103877.00
2026-01-21 09:25:00,0.8200,0.8000,0.8500,0.8300,0.8286,0.8200,3545.00,106101.00
2026-01-21 09:26:00,0.8300,0.8000,0.8400,0.8400,0.8138,0.8300,3068.00,109099.00
2026-01-21 09:27:00,0.8100,0.8000,0.8600,0.8000,0.8211,0.8400,1512.00,109698.00
2026-01-21 09:28:00,0.8100,0.8000,0.8500,0.8000,0.8262,0.8000,3076.00,111328.00
2026-01-21 09:29:00,0.8100,0.6800,0.8400,0.8100,0.7456,0.8000,2003.00,110486.00
2026-01-21 09:30:00,0.8200,0.8000,0.8200,0.8200,0.8118,0.8100,934.00,109999.00
2026-01-21 09:31:00,0.8100,0.8000,0.8300,0.8100,0.8191,0.8200,2137.00,110953.00
2026-01-21 09:32:00,0.7900,0.7100,0.8100,0.8000,0.7502,0.8100,289.00,110794.00
2026-01-21 09:33:00,0.7700,0.7200,0.8200,0.8100,0.7919,0.8000,844.00,111189.00
2026-01-21 09:34:00,0.8200,0.8100,0.8300,0.8100,0.8174,0.8100,193.00,111376.00
2026-01-21 09:35:00,0.8100,0.7500,0.8100,0.7600,0.7625,0.8100,764.00,111431.00
2026-01-21 09:36:00,0.7800,0.7600,0.8300,0.7600,0.8084,0.7600,1491.00,112776.00
2026-01-21 09:37:00,0.7100,0.6900,0.7600,0.6900,0.7086,0.7600,268.00,112867.00
2026-01-21 09:38:00,0.6700,0.6600,0.6900,0.6800,0.6737,0.6900,722.00,112450.00
2026-01-21 09:39:00,0.6800,0.6500,0.6800,0.6800,0.6583,0.6800,617.00,112223.00
2026-01-21 09:40:00,0.6600,0.6400,0.6700,0.6500,0.6469,0.6800,1054.00,112018.00
2026-01-21 09:41:00,0.6500,0.6500,0.7000,0.6700,0.6756,0.6500,177.00,112113.00
2026-01-21 09:42:00,0.6700,0.6400,0.6800,0.6700,0.6714,0.6700,454.00,112385.00
2026-01-21 09:43:00,0.6700,0.6300,0.6700,0.6300,0.6581,0.6700,140.00,112415.00
2026-01-21 09:44:00,0.6300,0.6100,0.6900,0.6900,0.6409,0.6300,922.00,112383.00
2026-01-21 09:45:00,0.6400,0.6300,0.6900,0.6400,0.6415,0.6900,735.00,113106.00
2026-01-21 09:46:00,0.6400,0.5800,0.6400,0.6400,0.6153,0.6400,1042.00,113400.00
2026-01-21 09:47:00,0.6400,0.6000,0.6500,0.6200,0.6217,0.6400,2005.00,115349.00
2026-01-21 09:48:00,0.6100,0.5000,0.6100,0.5300,0.5615,0.6200,789.00,115068.00
2026-01-21 09:49:00,0.5300,0.5200,0.5900,0.5700,0.5478,0.5300,1260.00,116105.00
2026-01-21 09:50:00,0.5300,0.5000,0.5700,0.5000,0.5262,0.5700,1753.00,115027.00
2026-01-21 09:51:00,0.5000,0.4800,0.5500,0.5500,0.5231,0.5000,1660.00,115678.00
2026-01-21 09:52:00,0.5500,0.5400,0.5500,0.5400,0.5454,0.5500,974.00,116647.00
2026-01-21 09:53:00,0.5400,0.5400,0.6100,0.6000,0.5708,0.5400,971.00,117325.00
2026-01-21 09:54:00,0.6000,0.5600,0.6400,0.6200,0.6203,0.6000,852.00,118131.00
2026-01-21 09:55:00,0.6400,0.6300,0.6800,0.6600,0.6498,0.6200,577.00,118524.00
2026-01-21 09:56:00,0.6600,0.6400,0.6800,0.6600,0.6630,0.6600,163.00,118687.00
2026-01-21 09:57:00,0.6600,0.6500,0.7100,0.6800,0.6804,0.6600,3118.00,121803.00
