end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-26 22:13:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:16:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:19:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:22:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:25:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:28:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:31:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:32:00,,,,,,0.4100,0.00,58.00
2026-01-26 22:33:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,4.00,62.00
2026-01-26 22:34:00,,,,,,0.4100,0.00,62.00
2026-01-26 22:37:00,,,,,,0.4100,0.00,62.00
2026-01-26 22:38:00,,,,,,0.4100,0.00,62.00
2026-01-26 22:40:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,28.00,90.00
2026-01-26 22:41:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4100,5.00,95.00
2026-01-26 22:42:00,,,,,,0.3900,0.00,95.00
2026-01-26 22:44:00,,,,,,0.3900,0.00,95.00
2026-01-26 22:45:00,,,,,,0.3900,0.00,95.00
2026-01-26 22:46:00,,,,,,0.3900,0.00,95.00
2026-01-26 22:47:00,,,,,,0.3900,0.00,95.00
2026-01-26 22:48:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.3900,58.00,153.00
2026-01-26 22:49:00,,,,,,0.4100,0.00,153.00
2026-01-26 22:53:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,35.00,188.00
2026-01-26 22:54:00,,,,,,0.4100,0.00,188.00
2026-01-26 22:56:00,,,,,,0.4100,0.00,188.00
2026-01-26 22:57:00,,,,,,0.4100,0.00,188.00
2026-01-26 22:59:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:00:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:01:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:02:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:04:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:05:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:06:00,,,,,,0.4100,0.00,188.00
2026-01-26 23:08:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,46.00,234.00
2026-01-26 23:09:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,11.00,245.00
2026-01-26 23:10:00,,,,,,0.4100,0.00,245.00
2026-01-26 23:11:00,,,,,,0.4100,0.00,245.00
2026-01-26 23:12:00,,,,,,0.4100,0.00,245.00
2026-01-26 23:13:00,,,,,,0.4100,0.00,245.00
2026-01-26 23:15:00,0.4000,0.4000,0.4100,0.4100,0.4091,0.4100,234.00,479.00
2026-01-26 23:16:00,,,,,,0.4100,0.00,479.00
2026-01-26 23:19:00,,,,,,0.4100,0.00,479.00
2026-01-26 23:20:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,161.00,640.00
2026-01-26 23:21:00,,,,,,0.4100,0.00,640.00
2026-01-26 23:22:00,,,,,,0.4100,0.00,640.00
2026-01-26 23:23:00,,,,,,0.4100,0.00,640.00
2026-01-26 23:24:00,,,,,,0.4100,0.00,640.00
2026-01-26 23:25:00,,,,,,0.4100,0.00,640.00
2026-01-26 23:26:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,6.00,646.00
2026-01-26 23:27:00,,,,,,0.4000,0.00,646.00
2026-01-26 23:28:00,,,,,,0.4000,0.00,646.00
2026-01-26 23:29:00,,,,,,0.4000,0.00,646.00
2026-01-26 23:30:00,,,,,,0.4000,0.00,646.00
2026-01-26 23:31:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,657.00
2026-01-26 23:32:00,,,,,,0.4000,0.00,657.00
2026-01-26 23:33:00,,,,,,0.4000,0.00,657.00
2026-01-26 23:34:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,7.00,664.00
2026-01-26 23:35:00,,,,,,0.3900,0.00,664.00
2026-01-26 23:36:00,,,,,,0.3900,0.00,664.00
