end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-27 09:33:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5.00,76.00
2026-01-27 09:41:00,,,,,,0.5600,0.00,76.00
2026-01-27 09:42:00,,,,,,0.5600,0.00,76.00
2026-01-27 09:44:00,,,,,,0.5600,0.00,76.00
2026-01-27 09:50:00,,,,,,0.5600,0.00,76.00
2026-01-27 09:54:00,,,,,,0.5600,0.00,76.00
2026-01-27 09:55:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,59.00,135.00
2026-01-27 09:56:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,152.00
2026-01-27 10:06:00,,,,,,0.5600,0.00,152.00
2026-01-27 10:07:00,,,,,,0.5600,0.00,152.00
2026-01-27 10:10:00,,,,,,0.5600,0.00,152.00
2026-01-27 10:11:00,,,,,,0.5600,0.00,152.00
2026-01-27 10:12:00,,,,,,0.5600,0.00,152.00
2026-01-27 10:13:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,176.00,328.00
2026-01-27 10:22:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:23:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:24:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:28:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:29:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:30:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:31:00,,,,,,0.5500,0.00,328.00
2026-01-27 10:32:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,3.00,331.00
2026-01-27 10:34:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:36:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:37:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:41:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:51:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:56:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:58:00,,,,,,0.5500,0.00,331.00
2026-01-27 10:59:00,,,,,,0.5500,0.00,331.00
2026-01-27 11:00:00,,,,,,0.5500,0.00,331.00
2026-01-27 11:01:00,,,,,,0.5500,0.00,331.00
2026-01-27 11:02:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,8.00,339.00
2026-01-27 11:03:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,40.00,379.00
2026-01-27 11:04:00,0.5400,0.5400,0.5600,0.5600,0.5562,0.5500,85.00,464.00
2026-01-27 11:05:00,,,,,,0.5600,0.00,464.00
2026-01-27 11:06:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,466.00,930.00
2026-01-27 11:07:00,,,,,,0.5600,0.00,930.00
2026-01-27 11:08:00,0.5600,0.5500,0.5600,0.5500,0.5537,0.5600,279.00,1209.00
2026-01-27 11:09:00,0.5200,0.5200,0.5700,0.5200,0.5203,0.5500,1174.00,1849.00
2026-01-27 11:10:00,0.5100,0.5100,0.5200,0.5200,0.5181,0.5200,999.00,2594.00
2026-01-27 11:11:00,0.5300,0.5300,0.5400,0.5400,0.5302,0.5200,302.00,2623.00
2026-01-27 11:12:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5400,109.00,2623.00
2026-01-27 11:13:00,0.5100,0.5100,0.5200,0.5200,0.5167,0.5100,111.00,2668.00
2026-01-27 11:14:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5200,179.00,2742.00
2026-01-27 11:15:00,0.5700,0.5600,0.5900,0.5900,0.5725,0.5400,110.00,2815.00
2026-01-27 11:16:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,46.00,2861.00
2026-01-27 11:17:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.6000,17.00,2878.00
2026-01-27 11:18:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5700,8.00,2878.00
2026-01-27 11:19:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,45.00,2878.00
2026-01-27 11:20:00,,,,,,0.5300,0.00,2878.00
2026-01-27 11:21:00,0.5100,0.4800,0.5100,0.5000,0.4876,0.5300,788.00,3666.00
2026-01-27 11:22:00,0.4600,0.4500,0.4700,0.4500,0.4639,0.5000,4979.00,5770.00
2026-01-27 11:23:00,0.4500,0.3900,0.4500,0.3900,0.4357,0.4500,2302.00,5733.00
2026-01-27 11:24:00,0.3900,0.3900,0.4300,0.4300,0.4180,0.3900,171.00,5819.00
2026-01-27 11:25:00,0.3800,0.3600,0.3800,0.3700,0.3700,0.4300,368.00,6187.00
2026-01-27 11:26:00,0.3900,0.3500,0.4100,0.4100,0.3802,0.3700,1544.00,7293.00
2026-01-27 11:27:00,0.3400,0.3400,0.3600,0.3600,0.3500,0.4100,404.00,7673.00
2026-01-27 11:28:00,0.3400,0.3100,0.3400,0.3100,0.3158,0.3600,1155.00,8817.00
2026-01-27 11:29:00,0.3000,0.2900,0.3300,0.3300,0.2998,0.3100,5728.00,14058.00
2026-01-27 11:30:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,198.00,14256.00
2026-01-27 11:31:00,0.3300,0.3300,0.3400,0.3400,0.3393,0.3300,3229.00,17485.00
2026-01-27 11:32:00,0.3400,0.2900,0.3400,0.3100,0.3053,0.3400,293.00,17701.00
2026-01-27 11:33:00,0.2700,0.2400,0.2700,0.2400,0.2642,0.3100,592.00,18265.00
2026-01-27 11:34:00,0.2400,0.1800,0.2400,0.1800,0.2121,0.2400,131.00,18338.00
2026-01-27 11:35:00,0.2100,0.1300,0.2100,0.1500,0.1810,0.1800,5373.00,23321.00
2026-01-27 11:36:00,0.1500,0.1400,0.1700,0.1700,0.1577,0.1500,540.00,23665.00
2026-01-27 11:37:00,0.1700,0.1500,0.1900,0.1900,0.1751,0.1700,4325.00,27914.00
2026-01-27 11:38:00,0.1800,0.1700,0.1900,0.1800,0.1726,0.1900,925.00,28839.00
2026-01-27 11:39:00,0.1700,0.1700,0.2100,0.2000,0.1846,0.1800,2959.00,31798.00
2026-01-27 11:40:00,0.1800,0.1600,0.1900,0.1600,0.1775,0.2000,367.00,31830.00
2026-01-27 11:41:00,0.1800,0.1700,0.2300,0.2100,0.1984,0.1600,2792.00,34204.00
2026-01-27 11:42:00,0.2000,0.1800,0.2100,0.2000,0.1969,0.2100,3015.00,37211.00
2026-01-27 11:43:00,0.2000,0.1600,0.2600,0.2500,0.2287,0.2000,4405.00,41051.00
2026-01-27 11:44:00,0.2500,0.2500,0.2800,0.2800,0.2574,0.2500,1250.00,41793.00
2026-01-27 11:45:00,0.2800,0.2600,0.2800,0.2700,0.2695,0.2800,2248.00,44031.00
2026-01-27 11:46:00,0.2800,0.2700,0.3200,0.3000,0.2929,0.2700,4416.00,48045.00
2026-01-27 11:47:00,0.3300,0.3100,0.3300,0.3100,0.3211,0.3000,913.00,48797.00
2026-01-27 11:48:00,0.3100,0.2200,0.3100,0.2500,0.2685,0.3100,917.00,49660.00
2026-01-27 11:49:00,0.2500,0.1700,0.2500,0.1700,0.2157,0.2500,4166.00,53642.00
2026-01-27 11:50:00,0.1700,0.1600,0.2500,0.2200,0.1953,0.1700,6504.00,60131.00
