end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-29 14:02:00,,,,,,0.1500,0.00,1192.00
2026-01-29 14:03:00,,,,,,0.1500,0.00,1192.00
2026-01-29 14:04:00,,,,,,0.1500,0.00,1192.00
2026-01-29 14:06:00,,,,,,0.1500,0.00,1192.00
2026-01-29 14:07:00,,,,,,0.1500,0.00,1192.00
2026-01-29 14:08:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,10.00,1202.00
2026-01-29 14:09:00,0.1500,0.1300,0.1500,0.1300,0.1315,0.1500,408.00,1256.00
2026-01-29 14:10:00,,,,,,0.1300,0.00,1256.00
2026-01-29 14:11:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,181.00,1437.00
2026-01-29 14:12:00,,,,,,0.1300,0.00,1437.00
2026-01-29 14:13:00,,,,,,0.1300,0.00,1437.00
2026-01-29 14:14:00,,,,,,0.1300,0.00,1437.00
2026-01-29 14:15:00,,,,,,0.1300,0.00,1437.00
2026-01-29 14:16:00,,,,,,0.1300,0.00,1437.00
2026-01-29 14:18:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,217.00,1654.00
2026-01-29 14:19:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,9.00,1663.00
2026-01-29 14:20:00,,,,,,0.1300,0.00,1663.00
2026-01-29 14:21:00,,,,,,0.1300,0.00,1663.00
2026-01-29 14:22:00,,,,,,0.1300,0.00,1663.00
2026-01-29 14:23:00,,,,,,0.1300,0.00,1663.00
2026-01-29 14:24:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,203.00,1866.00
2026-01-29 14:25:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,14.00,1880.00
2026-01-29 14:26:00,,,,,,0.1300,0.00,1880.00
2026-01-29 14:27:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,14.00,1894.00
2026-01-29 14:28:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,179.00,2073.00
2026-01-29 14:29:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:30:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:31:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:32:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:33:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:34:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:35:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:36:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:37:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:38:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:39:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:40:00,,,,,,0.1300,0.00,2073.00
2026-01-29 14:41:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,36.00,2109.00
2026-01-29 14:42:00,,,,,,0.1300,0.00,2109.00
2026-01-29 14:43:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,36.00,2145.00
2026-01-29 14:44:00,,,,,,0.1300,0.00,2145.00
2026-01-29 14:45:00,,,,,,0.1300,0.00,2145.00
2026-01-29 14:46:00,,,,,,0.1300,0.00,2145.00
2026-01-29 14:47:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,7.00,2152.00
2026-01-29 14:48:00,,,,,,0.1300,0.00,2152.00
2026-01-29 14:49:00,,,,,,0.1300,0.00,2152.00
2026-01-29 14:50:00,,,,,,0.1300,0.00,2152.00
2026-01-29 14:51:00,,,,,,0.1300,0.00,2152.00
2026-01-29 14:52:00,0.1200,0.1200,0.1300,0.1300,0.1218,0.1300,44.00,2124.00
2026-01-29 14:53:00,,,,,,0.1300,0.00,2124.00
2026-01-29 14:54:00,,,,,,0.1300,0.00,2124.00
2026-01-29 14:55:00,,,,,,0.1300,0.00,2124.00
2026-01-29 14:56:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1300,5.00,2129.00
