end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-30 09:56:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2900,60.00,419.00
2026-01-30 09:57:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,276.00,695.00
2026-01-30 09:58:00,,,,,,0.2800,0.00,695.00
2026-01-30 09:59:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:00:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:01:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:02:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:04:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:06:00,,,,,,0.2800,0.00,695.00
2026-01-30 10:07:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2800,9.00,704.00
2026-01-30 10:10:00,,,,,,0.3000,0.00,704.00
2026-01-30 10:12:00,,,,,,0.3000,0.00,704.00
2026-01-30 10:13:00,,,,,,0.3000,0.00,704.00
2026-01-30 10:15:00,,,,,,0.3000,0.00,704.00
2026-01-30 10:16:00,,,,,,0.3000,0.00,704.00
2026-01-30 10:18:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3.00,707.00
2026-01-30 10:19:00,,,,,,0.3000,0.00,707.00
2026-01-30 10:20:00,,,,,,0.3000,0.00,707.00
2026-01-30 10:21:00,,,,,,0.3000,0.00,707.00
2026-01-30 10:22:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,17.00,724.00
2026-01-30 10:23:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:28:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:30:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:32:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:33:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:34:00,,,,,,0.3000,0.00,724.00
2026-01-30 10:35:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.3000,137.00,764.00
2026-01-30 10:36:00,,,,,,0.2800,0.00,764.00
2026-01-30 10:38:00,,,,,,0.2800,0.00,764.00
2026-01-30 10:39:00,,,,,,0.2800,0.00,764.00
2026-01-30 10:40:00,,,,,,0.2800,0.00,764.00
2026-01-30 10:41:00,,,,,,0.2800,0.00,764.00
2026-01-30 10:42:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2800,15.00,779.00
2026-01-30 10:43:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,76.00,855.00
2026-01-30 10:44:00,,,,,,0.3000,0.00,855.00
2026-01-30 10:45:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,303.00,1158.00
2026-01-30 10:46:00,,,,,,0.2900,0.00,1158.00
2026-01-30 10:47:00,,,,,,0.2900,0.00,1158.00
