end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-30 15:16:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,895.00,11911.00
2026-01-30 15:17:00,,,,,,0.3100,0.00,11911.00
2026-01-30 15:18:00,,,,,,0.3100,0.00,11911.00
2026-01-30 15:19:00,,,,,,0.3100,0.00,11911.00
2026-01-30 15:20:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,122.00,12033.00
2026-01-30 15:21:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,461.00,12494.00
2026-01-30 15:22:00,,,,,,0.3100,0.00,12494.00
2026-01-30 15:23:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,61.00,12555.00
2026-01-30 15:24:00,,,,,,0.3100,0.00,12555.00
2026-01-30 15:26:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,9.00,12564.00
2026-01-30 15:27:00,,,,,,0.3100,0.00,12564.00
2026-01-30 15:28:00,,,,,,0.3100,0.00,12564.00
2026-01-30 15:29:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,70.00,12634.00
2026-01-30 15:30:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,15.00,12634.00
2026-01-30 15:31:00,,,,,,0.3000,0.00,12634.00
2026-01-30 15:32:00,,,,,,0.3000,0.00,12634.00
2026-01-30 15:33:00,,,,,,0.3000,0.00,12634.00
2026-01-30 15:34:00,,,,,,0.3000,0.00,12634.00
2026-01-30 15:35:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3000,6.00,12640.00
2026-01-30 15:36:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,29.00,12640.00
2026-01-30 15:37:00,,,,,,0.3000,0.00,12640.00
2026-01-30 15:38:00,,,,,,0.3000,0.00,12640.00
2026-01-30 15:39:00,,,,,,0.3000,0.00,12640.00
2026-01-30 15:40:00,,,,,,0.3000,0.00,12640.00
2026-01-30 15:41:00,,,,,,0.3000,0.00,12640.00
2026-01-30 15:42:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3000,218.00,12858.00
2026-01-30 15:43:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,110.00,12968.00
2026-01-30 15:44:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:45:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:46:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:47:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:48:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:49:00,,,,,,0.3100,0.00,12968.00
2026-01-30 15:50:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,9.00,12977.00
2026-01-30 15:51:00,0.3000,0.3000,0.3100,0.3100,0.3001,0.3100,819.00,13796.00
2026-01-30 15:52:00,,,,,,0.3100,0.00,13796.00
2026-01-30 15:53:00,,,,,,0.3100,0.00,13796.00
2026-01-30 15:54:00,,,,,,0.3100,0.00,13796.00
2026-01-30 15:55:00,,,,,,0.3100,0.00,13796.00
2026-01-30 15:56:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,13811.00
2026-01-30 15:57:00,,,,,,0.3100,0.00,13811.00
2026-01-30 15:58:00,,,,,,0.3100,0.00,13811.00
2026-01-30 15:59:00,,,,,,0.3100,0.00,13811.00
2026-01-30 16:00:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,65.00,13876.00
2026-01-30 16:01:00,,,,,,0.3100,0.00,13876.00
2026-01-30 16:02:00,,,,,,0.3100,0.00,13876.00
2026-01-30 16:03:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,13891.00
2026-01-30 16:04:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,176.00,14067.00
2026-01-30 16:05:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,22.00,14089.00
2026-01-30 16:06:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,301.00,14390.00
2026-01-30 16:07:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,615.00,15005.00
2026-01-30 16:08:00,,,,,,0.3100,0.00,15005.00
2026-01-30 16:09:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,407.00,15412.00
2026-01-30 16:10:00,,,,,,0.3100,0.00,15412.00
2026-01-30 16:11:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,15427.00
2026-01-30 16:12:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,169.00,15596.00
2026-01-30 16:13:00,,,,,,0.3100,0.00,15596.00
2026-01-30 16:14:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,6.00,15602.00
2026-01-30 16:15:00,,,,,,0.3100,0.00,15602.00
2026-01-30 16:16:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,3.00,15605.00
2026-01-30 16:17:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,297.00,15902.00
2026-01-30 16:18:00,0.3100,0.3100,0.3200,0.3200,0.3144,0.3100,1016.00,16918.00
2026-01-30 16:19:00,,,,,,0.3200,0.00,16918.00
2026-01-30 16:20:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,115.00,17033.00
2026-01-30 16:21:00,0.3100,0.3100,0.3200,0.3200,0.3127,0.3100,1070.00,18103.00
2026-01-30 16:22:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,3.00,18106.00
2026-01-30 16:23:00,,,,,,0.3100,0.00,18106.00
2026-01-30 16:24:00,,,,,,0.3100,0.00,18106.00
2026-01-30 16:25:00,,,,,,0.3100,0.00,18106.00
2026-01-30 16:26:00,,,,,,0.3100,0.00,18106.00
2026-01-30 16:27:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,1147.00,19253.00
2026-01-30 16:28:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,571.00,19824.00
2026-01-30 16:29:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,1.00,19825.00
2026-01-30 16:30:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,30.00,19855.00
2026-01-30 16:31:00,,,,,,0.3100,0.00,19855.00
2026-01-30 16:32:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,183.00,20038.00
2026-01-30 16:33:00,,,,,,0.3100,0.00,20038.00
2026-01-30 16:34:00,0.3100,0.3100,0.3200,0.3200,0.3149,0.3100,1564.00,21602.00
2026-01-30 16:35:00,,,,,,0.3200,0.00,21602.00
2026-01-30 16:36:00,,,,,,0.3200,0.00,21602.00
2026-01-30 16:37:00,,,,,,0.3200,0.00,21602.00
2026-01-30 16:38:00,,,,,,0.3200,0.00,21602.00
2026-01-30 16:39:00,,,,,,0.3200,0.00,21602.00
2026-01-30 16:40:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,85.00,21687.00
2026-01-30 16:41:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,24.00,21711.00
2026-01-30 16:42:00,,,,,,0.3100,0.00,21711.00
2026-01-30 16:43:00,,,,,,0.3100,0.00,21711.00
2026-01-30 16:44:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,20.00,21731.00
2026-01-30 16:45:00,,,,,,0.3100,0.00,21731.00
2026-01-30 16:46:00,0.3000,0.3000,0.3100,0.3100,0.3009,0.3100,550.00,22281.00
2026-01-30 16:47:00,,,,,,0.3100,0.00,22281.00
2026-01-30 16:48:00,,,,,,0.3100,0.00,22281.00
2026-01-30 16:49:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,96.00,22377.00
2026-01-30 16:50:00,,,,,,0.3100,0.00,22377.00
2026-01-30 16:51:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,615.00,22992.00
2026-01-30 16:52:00,,,,,,0.3100,0.00,22992.00
2026-01-30 16:53:00,,,,,,0.3100,0.00,22992.00
2026-01-30 16:54:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,101.00,23093.00
2026-01-30 16:55:00,,,,,,0.3100,0.00,23093.00
2026-01-30 16:56:00,,,,,,0.3100,0.00,23093.00
2026-01-30 16:57:00,,,,,,0.3100,0.00,23093.00
2026-01-30 16:58:00,0.3100,0.3100,0.3200,0.3200,0.3118,0.3100,1956.00,24716.00
2026-01-30 16:59:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,57.00,24773.00
2026-01-30 17:00:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,119.00,24892.00
2026-01-30 17:01:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,7.00,24899.00
2026-01-30 17:02:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,376.00,25275.00
2026-01-30 17:03:00,0.3100,0.3100,0.3200,0.3200,0.3195,0.3100,313.00,25588.00
2026-01-30 17:04:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,254.00,25842.00
2026-01-30 17:05:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,2318.00,28160.00
2026-01-30 17:06:00,0.3000,0.3000,0.3100,0.3100,0.3073,0.3000,2481.00,30641.00
2026-01-30 17:07:00,0.3100,0.3100,0.3300,0.3200,0.3237,0.3100,11795.00,42436.00
2026-01-30 17:08:00,0.3200,0.3200,0.3400,0.3300,0.3300,0.3200,2928.00,45364.00
2026-01-30 17:09:00,0.3200,0.3100,0.3200,0.3200,0.3158,0.3300,1339.00,46703.00
2026-01-30 17:10:00,0.3200,0.3100,0.3200,0.3100,0.3184,0.3200,1369.00,48072.00
2026-01-30 17:11:00,0.3100,0.3100,0.3600,0.3300,0.3297,0.3100,11676.00,59682.00
2026-01-30 17:12:00,0.3200,0.3100,0.3500,0.3300,0.3363,0.3300,5731.00,65403.00
2026-01-30 17:13:00,0.3300,0.3100,0.3400,0.3400,0.3353,0.3300,2488.00,67876.00
2026-01-30 17:14:00,0.3200,0.3200,0.3400,0.3400,0.3321,0.3400,5598.00,73474.00
2026-01-30 17:15:00,0.3200,0.3100,0.3300,0.3100,0.3232,0.3400,3773.00,77247.00
2026-01-30 17:16:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3100,1793.00,79040.00
2026-01-30 17:17:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,982.00,80022.00
2026-01-30 17:18:00,0.3300,0.3300,0.3400,0.3400,0.3378,0.3300,2088.00,81643.00
2026-01-30 17:19:00,0.3400,0.3400,0.3600,0.3400,0.3489,0.3400,3657.00,85300.00
