end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-02 10:16:00,,,,,,0.3800,0.00,796.00
2026-03-02 10:19:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,312.00,1108.00
2026-03-02 10:24:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:26:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:29:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:30:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:31:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:33:00,,,,,,0.3800,0.00,1108.00
2026-03-02 10:34:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,365.00,1473.00
2026-03-02 10:40:00,,,,,,0.3800,0.00,1473.00
2026-03-02 10:42:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3800,140.00,1475.00
2026-03-02 10:43:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3700,121.00,1596.00
2026-03-02 10:44:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,37.00,1633.00
2026-03-02 10:46:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,25.00,1658.00
2026-03-02 10:47:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,40.00,1698.00
2026-03-02 10:49:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,20.00,1718.00
2026-03-02 10:50:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3800,138.00,1718.00
2026-03-02 10:51:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,50.00,1768.00
2026-03-02 10:52:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3700,117.00,1885.00
2026-03-02 10:53:00,,,,,,0.3800,0.00,1885.00
2026-03-02 10:54:00,,,,,,0.3800,0.00,1885.00
2026-03-02 10:55:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,215.00,1983.00
2026-03-02 10:56:00,,,,,,0.3800,0.00,1983.00
2026-03-02 10:57:00,,,,,,0.3800,0.00,1983.00
2026-03-02 11:00:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,29.00,2012.00
2026-03-02 11:01:00,,,,,,0.3800,0.00,2012.00
2026-03-02 11:02:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,9.00,2021.00
2026-03-02 11:03:00,,,,,,0.3900,0.00,2021.00
2026-03-02 11:04:00,,,,,,0.3900,0.00,2021.00
2026-03-02 11:05:00,,,,,,0.3900,0.00,2021.00
2026-03-02 11:06:00,,,,,,0.3900,0.00,2021.00
2026-03-02 11:07:00,,,,,,0.3900,0.00,2021.00
2026-03-02 11:08:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,6.00,2027.00
2026-03-02 11:09:00,,,,,,0.3900,0.00,2027.00
2026-03-02 11:13:00,,,,,,0.3900,0.00,2027.00
2026-03-02 11:14:00,0.3800,0.3700,0.3800,0.3700,0.3788,0.3900,85.00,2112.00
2026-03-02 11:15:00,0.3700,0.3700,0.3900,0.3800,0.3799,0.3700,405.00,2517.00
2026-03-02 11:16:00,,,,,,0.3800,0.00,2517.00
2026-03-02 11:17:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,50.00,2567.00
