end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 08:21:00,,,,,,0.2900,0.00,245.00
2026-03-03 08:22:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,49.00,245.00
2026-03-03 08:26:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,201.00,400.00
2026-03-03 08:27:00,,,,,,0.2900,0.00,400.00
2026-03-03 08:28:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,3.00,403.00
2026-03-03 08:29:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:30:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:31:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:32:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:33:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:34:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:35:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:36:00,,,,,,0.3000,0.00,403.00
2026-03-03 08:37:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,4.00,407.00
2026-03-03 08:38:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:39:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:40:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:41:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:42:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:43:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:44:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:45:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:46:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:47:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:48:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:49:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:53:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:55:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:57:00,,,,,,0.3000,0.00,407.00
2026-03-03 08:59:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:00:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:01:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:12:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:15:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:17:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:18:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:19:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:22:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:27:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:28:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:29:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:31:00,,,,,,0.3000,0.00,407.00
2026-03-03 09:32:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,16.00,423.00
2026-03-03 09:33:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:34:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:35:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:37:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:38:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:39:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:40:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:41:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:42:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:43:00,,,,,,0.2900,0.00,423.00
2026-03-03 09:44:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2900,324.00,747.00
2026-03-03 09:45:00,,,,,,0.2600,0.00,747.00
2026-03-03 09:46:00,,,,,,0.2600,0.00,747.00
2026-03-03 09:47:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,617.00,1364.00
2026-03-03 09:48:00,,,,,,0.2600,0.00,1364.00
2026-03-03 09:49:00,0.2500,0.2300,0.2500,0.2400,0.2379,0.2600,866.00,1539.00
