end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 07:01:00,,,,,,0.7200,0.00,822.00
2026-03-05 07:02:00,,,,,,0.7200,0.00,822.00
2026-03-05 07:03:00,,,,,,0.7200,0.00,822.00
2026-03-05 07:04:00,,,,,,0.7200,0.00,822.00
2026-03-05 07:05:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,76.00,898.00
2026-03-05 07:06:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:07:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:08:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:09:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:10:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:11:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:12:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:13:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:14:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:15:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:16:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:17:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:18:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:19:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:20:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:21:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:22:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:23:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,13.00,898.00
2026-03-05 07:24:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:25:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:26:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,32.00,898.00
2026-03-05 07:27:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:28:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:29:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:30:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:31:00,,,,,,0.7200,0.00,898.00
2026-03-05 07:32:00,0.6900,0.6800,0.6900,0.6800,0.6836,0.7200,6033.00,6433.00
2026-03-05 07:33:00,,,,,,0.6800,0.00,6433.00
2026-03-05 07:34:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6800,1.00,6433.00
2026-03-05 07:38:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,104.00,6433.00
2026-03-05 07:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,12.00,6433.00
2026-03-05 07:40:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,2.00,6433.00
2026-03-05 07:41:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,14.00,6433.00
2026-03-05 07:43:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,6.00,6433.00
2026-03-05 07:44:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,6433.00
2026-03-05 07:46:00,,,,,,0.7000,0.00,6433.00
2026-03-05 07:50:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,139.00,6433.00
2026-03-05 07:51:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,6436.00
2026-03-05 07:52:00,,,,,,0.7000,0.00,6436.00
2026-03-05 07:53:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7000,41.00,6437.00
2026-03-05 07:54:00,,,,,,0.7100,0.00,6437.00
2026-03-05 07:55:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,6437.00
2026-03-05 07:57:00,,,,,,0.7100,0.00,6437.00
2026-03-05 07:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7100,104.00,6437.00
2026-03-05 07:59:00,,,,,,0.6900,0.00,6437.00
2026-03-05 08:00:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.6900,4.00,6437.00
2026-03-05 08:01:00,,,,,,0.7100,0.00,6437.00
2026-03-05 08:03:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7100,500.00,6937.00
2026-03-05 08:05:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6900,13.00,6950.00
2026-03-05 08:06:00,,,,,,0.7000,0.00,6950.00
2026-03-05 08:08:00,,,,,,0.7000,0.00,6950.00
2026-03-05 08:09:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,68.00,7018.00
2026-03-05 08:10:00,,,,,,0.7000,0.00,7018.00
2026-03-05 08:12:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,530.00,7548.00
2026-03-05 08:14:00,,,,,,0.7000,0.00,7548.00
2026-03-05 08:16:00,0.7000,0.7000,0.7100,0.7100,0.7066,0.7000,1332.00,8858.00
2026-03-05 08:18:00,,,,,,0.7100,0.00,8858.00
2026-03-05 08:21:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,15.00,8873.00
2026-03-05 08:23:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,89.00,8962.00
2026-03-05 08:24:00,0.7000,0.7000,0.7100,0.7100,0.7067,0.7100,269.00,9231.00
2026-03-05 08:25:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,27.00,9258.00
2026-03-05 08:26:00,0.7000,0.6900,0.7000,0.7000,0.6995,0.7000,1221.00,10479.00
2026-03-05 08:27:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,14.00,10493.00
2026-03-05 08:28:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,61.00,10513.00
2026-03-05 08:29:00,,,,,,0.7000,0.00,10513.00
2026-03-05 08:30:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,83.00,10513.00
2026-03-05 08:31:00,0.6900,0.6900,0.7000,0.7000,0.6993,0.7000,833.00,10575.00
2026-03-05 08:32:00,,,,,,0.7000,0.00,10575.00
2026-03-05 08:33:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,50.00,10575.00
2026-03-05 08:34:00,,,,,,0.7000,0.00,10575.00
2026-03-05 08:35:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1530.00,11479.00
2026-03-05 08:36:00,,,,,,0.7000,0.00,11479.00
2026-03-05 08:37:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,125.00,11604.00
2026-03-05 08:38:00,,,,,,0.7000,0.00,11604.00
2026-03-05 08:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,30.00,11634.00
2026-03-05 08:40:00,,,,,,0.7000,0.00,11634.00
2026-03-05 08:41:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,94.00,11728.00
2026-03-05 08:42:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,91.00,11819.00
