end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-09 07:49:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,22.00,2963.00
2026-03-09 07:51:00,,,,,,0.4800,0.00,2963.00
2026-03-09 07:54:00,,,,,,0.4800,0.00,2963.00
2026-03-09 08:01:00,,,,,,0.4800,0.00,2963.00
2026-03-09 08:03:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4800,4.00,2967.00
2026-03-09 08:04:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.4500,50.00,3017.00
2026-03-09 08:05:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1.00,3018.00
2026-03-09 08:06:00,0.4900,0.4900,0.5000,0.5000,0.4918,0.5000,49.00,3067.00
2026-03-09 08:08:00,,,,,,0.5000,0.00,3067.00
2026-03-09 08:09:00,,,,,,0.5000,0.00,3067.00
2026-03-09 08:10:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5000,92.00,3159.00
2026-03-09 08:11:00,,,,,,0.5200,0.00,3159.00
2026-03-09 08:13:00,,,,,,0.5200,0.00,3159.00
2026-03-09 08:14:00,,,,,,0.5200,0.00,3159.00
2026-03-09 08:16:00,,,,,,0.5200,0.00,3159.00
2026-03-09 08:17:00,,,,,,0.5200,0.00,3159.00
2026-03-09 08:18:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,18.00,3177.00
2026-03-09 08:19:00,,,,,,0.5100,0.00,3177.00
2026-03-09 08:20:00,,,,,,0.5100,0.00,3177.00
2026-03-09 08:22:00,,,,,,0.5100,0.00,3177.00
2026-03-09 08:23:00,,,,,,0.5100,0.00,3177.00
2026-03-09 08:24:00,0.4600,0.4500,0.5100,0.5100,0.4684,0.5100,58.00,3207.00
2026-03-09 08:25:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.5100,23.00,3230.00
2026-03-09 08:26:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,3.00,3233.00
2026-03-09 08:27:00,,,,,,0.4500,0.00,3233.00
2026-03-09 08:28:00,,,,,,0.4500,0.00,3233.00
2026-03-09 08:30:00,,,,,,0.4500,0.00,3233.00
2026-03-09 08:32:00,,,,,,0.4500,0.00,3233.00
2026-03-09 08:33:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.4500,20.00,3253.00
2026-03-09 08:34:00,,,,,,0.5200,0.00,3253.00
2026-03-09 08:36:00,,,,,,0.5200,0.00,3253.00
2026-03-09 08:38:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,7.00,3260.00
2026-03-09 08:39:00,,,,,,0.5200,0.00,3260.00
2026-03-09 08:40:00,,,,,,0.5200,0.00,3260.00
2026-03-09 08:41:00,,,,,,0.5200,0.00,3260.00
2026-03-09 08:44:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,28.00,3288.00
2026-03-09 08:45:00,,,,,,0.5100,0.00,3288.00
2026-03-09 08:47:00,,,,,,0.5100,0.00,3288.00
2026-03-09 08:48:00,,,,,,0.5100,0.00,3288.00
2026-03-09 08:51:00,0.4900,0.4900,0.5200,0.5200,0.5069,0.5100,16.00,3297.00
2026-03-09 08:52:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,13.00,3310.00
2026-03-09 08:53:00,,,,,,0.5200,0.00,3310.00
2026-03-09 08:55:00,0.4800,0.4800,0.5300,0.5300,0.5145,0.5200,264.00,3574.00
2026-03-09 08:56:00,0.5100,0.4100,0.5200,0.4100,0.5086,0.5300,2087.00,5661.00
2026-03-09 08:57:00,,,,,,0.4100,0.00,5661.00
2026-03-09 08:58:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4100,3.00,5664.00
2026-03-09 08:59:00,0.4900,0.3900,0.5000,0.4000,0.4835,0.4800,57.00,5718.00
2026-03-09 09:00:00,0.5100,0.5100,0.8400,0.8400,0.5615,0.4000,4597.00,10259.00
2026-03-09 09:01:00,0.4900,0.4900,0.5100,0.5100,0.5016,0.8400,370.00,10619.00
2026-03-09 09:02:00,0.5100,0.4700,0.5100,0.4700,0.4871,0.5100,96.00,10674.00
2026-03-09 09:03:00,0.4700,0.4700,0.5200,0.5200,0.5048,0.4700,1054.00,11728.00
2026-03-09 09:04:00,0.5200,0.5100,0.5700,0.5600,0.5336,0.5200,616.00,12344.00
