end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-09 07:33:00,,,,,,0.6400,0.00,5361.00
2026-03-09 07:34:00,,,,,,0.6400,0.00,5361.00
2026-03-09 07:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,18.00,5379.00
2026-03-09 07:36:00,,,,,,0.6400,0.00,5379.00
2026-03-09 07:39:00,,,,,,0.6400,0.00,5379.00
2026-03-09 07:41:00,,,,,,0.6400,0.00,5379.00
2026-03-09 07:43:00,,,,,,0.6400,0.00,5379.00
2026-03-09 07:46:00,,,,,,0.6400,0.00,5379.00
2026-03-09 07:47:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6400,14.00,5393.00
2026-03-09 07:51:00,,,,,,0.6600,0.00,5393.00
2026-03-09 07:53:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,86.00,5479.00
2026-03-09 08:00:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,149.00,5628.00
2026-03-09 08:03:00,0.6600,0.6600,0.6700,0.6700,0.6647,0.6600,306.00,5934.00
2026-03-09 08:04:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,136.00,6070.00
2026-03-09 08:05:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,100.00,6170.00
2026-03-09 08:06:00,,,,,,0.6700,0.00,6170.00
2026-03-09 08:07:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,18.00,6188.00
2026-03-09 08:08:00,,,,,,0.6700,0.00,6188.00
2026-03-09 08:09:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,54.00,6242.00
2026-03-09 08:10:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,4.00,6246.00
2026-03-09 08:11:00,,,,,,0.6700,0.00,6246.00
2026-03-09 08:12:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,50.00,6296.00
2026-03-09 08:13:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:14:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:15:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:16:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:17:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:18:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:19:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:20:00,,,,,,0.6700,0.00,6296.00
2026-03-09 08:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,41.00,6337.00
2026-03-09 08:22:00,,,,,,0.6700,0.00,6337.00
2026-03-09 08:23:00,,,,,,0.6700,0.00,6337.00
2026-03-09 08:24:00,,,,,,0.6700,0.00,6337.00
2026-03-09 08:25:00,,,,,,0.6700,0.00,6337.00
2026-03-09 08:26:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,178.00,6515.00
2026-03-09 08:27:00,0.6700,0.6700,0.6800,0.6800,0.6750,0.6700,685.00,7200.00
2026-03-09 08:28:00,0.6800,0.6800,0.6900,0.6900,0.6806,0.6800,589.00,7789.00
