end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-01 07:22:00,,,,,,0.6100,0.00,5156.00
2026-02-01 07:23:00,0.6100,0.6100,0.6200,0.6200,0.6155,0.6100,507.00,5663.00
2026-02-01 07:24:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6200,20.00,5683.00
2026-02-01 07:25:00,,,,,,0.6000,0.00,5683.00
2026-02-01 07:26:00,,,,,,0.6000,0.00,5683.00
2026-02-01 07:27:00,,,,,,0.6000,0.00,5683.00
2026-02-01 07:28:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6000,7.00,5683.00
2026-02-01 07:29:00,,,,,,0.5800,0.00,5683.00
2026-02-01 07:30:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,125.00,5808.00
2026-02-01 07:31:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,2.00,5810.00
2026-02-01 07:32:00,,,,,,0.5800,0.00,5810.00
2026-02-01 07:33:00,,,,,,0.5800,0.00,5810.00
2026-02-01 07:34:00,,,,,,0.5800,0.00,5810.00
2026-02-01 07:35:00,,,,,,0.5800,0.00,5810.00
2026-02-01 07:36:00,0.5800,0.5800,0.6000,0.6000,0.5972,0.5800,1016.00,6826.00
2026-02-01 07:37:00,0.6100,0.6000,0.6100,0.6000,0.6087,0.6000,231.00,7057.00
2026-02-01 07:38:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,40.00,7097.00
2026-02-01 07:39:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:40:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:41:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:42:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:43:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:44:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:45:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:46:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:47:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:48:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:49:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:50:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:51:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:52:00,,,,,,0.6000,0.00,7097.00
2026-02-01 07:53:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,5.00,7102.00
2026-02-01 07:54:00,0.6000,0.6000,0.6100,0.6100,0.6093,0.6000,15.00,7117.00
2026-02-01 07:55:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,1.00,7118.00
2026-02-01 07:56:00,0.6100,0.6100,0.6200,0.6200,0.6130,0.6000,794.00,7912.00
2026-02-01 07:57:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,7921.00
2026-02-01 07:58:00,,,,,,0.6200,0.00,7921.00
2026-02-01 07:59:00,,,,,,0.6200,0.00,7921.00
2026-02-01 08:00:00,,,,,,0.6200,0.00,7921.00
2026-02-01 08:01:00,0.6000,0.6000,0.6200,0.6200,0.6116,0.6200,870.00,8791.00
2026-02-01 08:02:00,,,,,,0.6200,0.00,8791.00
2026-02-01 08:03:00,,,,,,0.6200,0.00,8791.00
2026-02-01 08:04:00,,,,,,0.6200,0.00,8791.00
2026-02-01 08:05:00,,,,,,0.6200,0.00,8791.00
2026-02-01 08:06:00,,,,,,0.6200,0.00,8791.00
2026-02-01 08:07:00,0.6000,0.6000,0.6100,0.6100,0.6076,0.6200,51.00,8842.00
2026-02-01 08:08:00,,,,,,0.6100,0.00,8842.00
2026-02-01 08:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,16.00,8858.00
2026-02-01 08:10:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,1.00,8859.00
2026-02-01 08:11:00,,,,,,0.6100,0.00,8859.00
2026-02-01 08:14:00,,,,,,0.6100,0.00,8859.00
2026-02-01 08:16:00,,,,,,0.6100,0.00,8859.00
2026-02-01 08:20:00,0.5800,0.5800,0.6000,0.6000,0.5812,0.6100,516.00,8989.00
2026-02-01 08:21:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6000,1.00,8990.00
2026-02-01 08:22:00,,,,,,0.5800,0.00,8990.00
2026-02-01 08:23:00,0.5800,0.5800,0.5900,0.5900,0.5882,0.5800,275.00,9265.00
2026-02-01 08:24:00,,,,,,0.5900,0.00,9265.00
2026-02-01 08:25:00,,,,,,0.5900,0.00,9265.00
2026-02-01 08:26:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,81.00,9346.00
2026-02-01 08:27:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,80.00,9426.00
2026-02-01 08:28:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,53.00,9479.00
2026-02-01 08:29:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,583.00,10062.00
2026-02-01 08:30:00,0.6000,0.6000,0.7700,0.7700,0.6210,0.6000,1669.00,11731.00
2026-02-01 08:31:00,0.6100,0.6100,0.6200,0.6200,0.6162,0.7700,308.00,12039.00
2026-02-01 08:32:00,,,,,,0.6200,0.00,12039.00
2026-02-01 08:33:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6200,10.00,12039.00
2026-02-01 08:34:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,126.00,12165.00
2026-02-01 08:35:00,,,,,,0.6100,0.00,12165.00
2026-02-01 08:36:00,0.6200,0.6200,0.6300,0.6300,0.6211,0.6100,310.00,12475.00
2026-02-01 08:37:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,114.00,12589.00
2026-02-01 08:38:00,0.6400,0.6400,0.6500,0.6400,0.6474,0.6200,720.00,13309.00
2026-02-01 08:39:00,0.6600,0.6400,0.6800,0.6400,0.6594,0.6400,667.00,13956.00
2026-02-01 08:40:00,0.6600,0.6500,0.6700,0.6500,0.6625,0.6400,1032.00,14888.00
2026-02-01 08:41:00,0.6300,0.6000,0.6300,0.6000,0.6186,0.6500,165.00,15043.00
2026-02-01 08:42:00,0.6100,0.5700,0.6100,0.5700,0.6017,0.6000,456.00,15449.00
