end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-04 11:41:00,,,,,,0.2000,0.00,19516.00
2026-02-04 11:42:00,,,,,,0.2000,0.00,19516.00
2026-02-04 11:43:00,,,,,,0.2000,0.00,19516.00
2026-02-04 11:45:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,50.00,19566.00
2026-02-04 11:46:00,,,,,,0.2000,0.00,19566.00
2026-02-04 11:47:00,,,,,,0.2000,0.00,19566.00
2026-02-04 11:48:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,30.00,19566.00
2026-02-04 11:50:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:51:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:52:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:54:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:55:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:56:00,,,,,,0.1900,0.00,19566.00
2026-02-04 11:57:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,25.00,19591.00
2026-02-04 11:58:00,0.2000,0.1900,0.2000,0.1900,0.1953,0.2000,88.00,19597.00
2026-02-04 11:59:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,198.00,19795.00
2026-02-04 12:01:00,,,,,,0.2000,0.00,19795.00
2026-02-04 12:03:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,99.00,19894.00
2026-02-04 12:04:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,203.00,20097.00
2026-02-04 12:05:00,,,,,,0.2000,0.00,20097.00
2026-02-04 12:06:00,,,,,,0.2000,0.00,20097.00
2026-02-04 12:07:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,227.00,20324.00
2026-02-04 12:08:00,0.1900,0.1800,0.1900,0.1800,0.1874,0.2000,129.00,20408.00
2026-02-04 12:09:00,,,,,,0.1800,0.00,20408.00
2026-02-04 12:10:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,328.00,20736.00
2026-02-04 12:11:00,,,,,,0.1900,0.00,20736.00
2026-02-04 12:12:00,,,,,,0.1900,0.00,20736.00
2026-02-04 12:13:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,1785.00,22521.00
2026-02-04 12:14:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,4652.00,27173.00
2026-02-04 12:15:00,,,,,,0.1900,0.00,27173.00
2026-02-04 12:16:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,476.00,27649.00
2026-02-04 12:17:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,1776.00,29425.00
2026-02-04 12:18:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,404.00,29829.00
2026-02-04 12:19:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,363.00,30192.00
2026-02-04 12:20:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,548.00,30740.00
2026-02-04 12:21:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,473.00,31213.00
2026-02-04 12:22:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,25.00,31238.00
2026-02-04 12:23:00,,,,,,0.1900,0.00,31238.00
2026-02-04 12:24:00,,,,,,0.1900,0.00,31238.00
2026-02-04 12:25:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,793.00,32031.00
2026-02-04 12:26:00,0.1900,0.1800,0.2000,0.2000,0.1862,0.1900,1268.00,32460.00
2026-02-04 12:27:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,9.00,32469.00
2026-02-04 12:28:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,510.00,32979.00
2026-02-04 12:29:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,415.00,33394.00
2026-02-04 12:30:00,,,,,,0.1900,0.00,33394.00
2026-02-04 12:31:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,99.00,33493.00
2026-02-04 12:32:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,292.00,33785.00
2026-02-04 12:33:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,333.00,34118.00
2026-02-04 12:34:00,0.1900,0.1800,0.1900,0.1800,0.1854,0.1900,922.00,34680.00
2026-02-04 12:35:00,0.1900,0.1800,0.1900,0.1900,0.1890,0.1800,3988.00,38308.00
2026-02-04 12:36:00,0.1800,0.1800,0.1900,0.1900,0.1862,0.1900,367.00,38568.00
2026-02-04 12:37:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,285.00,38853.00
2026-02-04 12:38:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,702.00,39555.00
2026-02-04 12:39:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,126.00,39681.00
2026-02-04 12:40:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,158.00,39839.00
2026-02-04 12:41:00,0.1900,0.1800,0.1900,0.1800,0.1862,0.1900,887.00,40359.00
2026-02-04 12:42:00,0.1900,0.1800,0.1900,0.1900,0.1900,0.1800,1615.00,41625.00
2026-02-04 12:43:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,58.00,41683.00
2026-02-04 12:44:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,4.00,41687.00
2026-02-04 12:45:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,52.00,41739.00
2026-02-04 12:46:00,0.1900,0.1800,0.1900,0.1900,0.1897,0.1900,1935.00,43610.00
2026-02-04 12:47:00,0.1900,0.1800,0.1900,0.1900,0.1855,0.1900,4186.00,45912.00
2026-02-04 12:48:00,0.1900,0.1800,0.1900,0.1900,0.1896,0.1900,1314.00,47176.00
2026-02-04 12:49:00,0.1900,0.1800,0.1900,0.1900,0.1825,0.1900,2491.00,47797.00
2026-02-04 12:50:00,0.1900,0.1600,0.1900,0.1600,0.1781,0.1900,5073.00,50079.00
2026-02-04 12:51:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,1844.00,51923.00
2026-02-04 12:52:00,0.1600,0.1500,0.1800,0.1800,0.1722,0.1600,5797.00,56441.00
2026-02-04 12:53:00,0.1800,0.1800,0.2000,0.2000,0.1878,0.1800,3672.00,60103.00
2026-02-04 12:54:00,0.2000,0.1800,0.2000,0.1800,0.1880,0.2000,2757.00,62781.00
2026-02-04 12:55:00,0.1800,0.1800,0.2200,0.2100,0.2097,0.1800,2880.00,65283.00
2026-02-04 12:56:00,0.2100,0.2100,0.2600,0.2200,0.2329,0.2100,12323.00,76227.00
2026-02-04 12:57:00,0.2200,0.2200,0.2600,0.2200,0.2384,0.2200,6301.00,81858.00
2026-02-04 12:58:00,0.2200,0.1900,0.2200,0.2200,0.2168,0.2200,2917.00,84457.00
2026-02-04 12:59:00,0.2100,0.2000,0.2400,0.2000,0.2103,0.2200,3336.00,87529.00
2026-02-04 13:00:00,0.2000,0.1800,0.2000,0.1800,0.1872,0.2000,6484.00,91002.00
2026-02-04 13:01:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,715.00,91717.00
2026-02-04 13:02:00,0.1800,0.1800,0.2000,0.2000,0.1944,0.1800,3275.00,94932.00
2026-02-04 13:03:00,0.2000,0.2000,0.2200,0.2100,0.2114,0.2000,3050.00,97973.00
2026-02-04 13:04:00,0.2000,0.1700,0.2000,0.1800,0.1834,0.2100,2103.00,99584.00
2026-02-04 13:05:00,0.1900,0.1900,0.2000,0.2000,0.1901,0.1800,3357.00,102941.00
2026-02-04 13:06:00,0.2000,0.1700,0.2000,0.1700,0.1801,0.2000,6882.00,109534.00
2026-02-04 13:07:00,0.1700,0.1500,0.1700,0.1600,0.1573,0.1700,2313.00,108948.00
2026-02-04 13:08:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1600,1258.00,110206.00
2026-02-04 13:09:00,0.1500,0.1200,0.1500,0.1400,0.1374,0.1500,914.00,110899.00
2026-02-04 13:10:00,0.1400,0.1200,0.1400,0.1400,0.1394,0.1400,789.00,111652.00
2026-02-04 13:11:00,0.1400,0.1400,0.1800,0.1800,0.1732,0.1400,7825.00,119266.00
2026-02-04 13:12:00,0.1800,0.1700,0.1900,0.1700,0.1813,0.1800,1752.00,120716.00
2026-02-04 13:13:00,0.1700,0.1600,0.1800,0.1600,0.1679,0.1700,2034.00,122750.00
2026-02-04 13:14:00,0.1700,0.1400,0.1700,0.1500,0.1516,0.1600,769.00,123323.00
2026-02-04 13:15:00,0.1500,0.1400,0.1600,0.1500,0.1470,0.1500,2700.00,124313.00
2026-02-04 13:16:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,395.00,124708.00
2026-02-04 13:17:00,0.1600,0.1600,0.1800,0.1800,0.1766,0.1500,9533.00,134085.00
2026-02-04 13:18:00,0.1800,0.1800,0.1900,0.1800,0.1804,0.1800,6416.00,140501.00
2026-02-04 13:19:00,0.1800,0.1700,0.1800,0.1700,0.1749,0.1800,3602.00,144077.00
2026-02-04 13:20:00,0.1700,0.1500,0.1700,0.1700,0.1670,0.1700,3018.00,146189.00
2026-02-04 13:21:00,0.1700,0.1500,0.1700,0.1700,0.1590,0.1700,652.00,146171.00
2026-02-04 13:22:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,2750.00,148921.00
2026-02-04 13:23:00,0.1500,0.1400,0.1600,0.1600,0.1529,0.1700,2349.00,150841.00
2026-02-04 13:24:00,0.1700,0.1600,0.1900,0.1800,0.1827,0.1600,1609.00,152373.00
2026-02-04 13:25:00,0.1800,0.1800,0.2000,0.1900,0.1912,0.1800,4416.00,155946.00
2026-02-04 13:26:00,0.1900,0.1900,0.2000,0.2000,0.1941,0.1900,7321.00,163044.00
2026-02-04 13:27:00,0.2000,0.1600,0.2100,0.1800,0.1868,0.2000,4921.00,166482.00
2026-02-04 13:28:00,0.1800,0.1600,0.1900,0.1600,0.1735,0.1800,5542.00,170936.00
2026-02-04 13:29:00,0.1700,0.1600,0.1700,0.1600,0.1658,0.1600,3811.00,173735.00
2026-02-04 13:30:00,0.1600,0.1500,0.1700,0.1700,0.1644,0.1600,16228.00,189184.00
2026-02-04 13:31:00,0.1700,0.1700,0.1900,0.1900,0.1749,0.1700,2955.00,192117.00
2026-02-04 13:32:00,0.1900,0.1800,0.2100,0.1900,0.1925,0.1900,7537.00,198964.00
2026-02-04 13:33:00,0.1900,0.1900,0.2300,0.2200,0.2017,0.1900,19217.00,218114.00
2026-02-04 13:34:00,0.2200,0.2000,0.3000,0.3000,0.2635,0.2200,26594.00,240656.00
2026-02-04 13:35:00,0.3200,0.2100,0.3400,0.2200,0.2663,0.3000,15744.00,254364.00
2026-02-04 13:36:00,0.2200,0.1600,0.3300,0.1800,0.2271,0.2200,10166.00,262856.00
2026-02-04 13:37:00,0.2000,0.2000,0.2100,0.2100,0.2085,0.1800,17588.00,280279.00
2026-02-04 13:38:00,0.2100,0.2000,0.2500,0.2000,0.2413,0.2100,7055.00,283702.00
2026-02-04 13:39:00,0.2100,0.1600,0.2300,0.1800,0.1855,0.2000,3585.00,286980.00
2026-02-04 13:40:00,0.1700,0.0600,0.1700,0.0600,0.1022,0.1800,13130.00,294340.00
2026-02-04 13:41:00,0.0700,0.0600,0.0800,0.0700,0.0768,0.0600,23894.00,313985.00
2026-02-04 13:42:00,0.0700,0.0600,0.0800,0.0800,0.0776,0.0700,9306.00,321374.00
2026-02-04 13:43:00,0.0800,0.0700,0.0800,0.0800,0.0797,0.0800,13440.00,334012.00
2026-02-04 13:44:00,0.0800,0.0700,0.0800,0.0800,0.0800,0.0800,12735.00,346735.00
2026-02-04 13:45:00,0.0800,0.0700,0.0800,0.0700,0.0796,0.0800,15999.00,362658.00
2026-02-04 13:46:00,0.0700,0.0600,0.0800,0.0800,0.0760,0.0700,9776.00,371677.00
2026-02-04 13:47:00,0.0800,0.0400,0.0800,0.0400,0.0618,0.0800,13863.00,384608.00
2026-02-04 13:48:00,0.0500,0.0500,0.0800,0.0600,0.0546,0.0400,6038.00,380187.00
2026-02-04 13:49:00,0.0600,0.0500,0.0800,0.0700,0.0628,0.0600,4467.00,383236.00
2026-02-04 13:50:00,0.0700,0.0700,0.0800,0.0800,0.0785,0.0700,3881.00,386849.00
2026-02-04 13:51:00,0.0800,0.0500,0.0800,0.0700,0.0652,0.0800,1290.00,387579.00
2026-02-04 13:52:00,0.0700,0.0500,0.0800,0.0600,0.0663,0.0700,2570.00,389460.00
2026-02-04 13:53:00,0.0600,0.0500,0.0800,0.0800,0.0686,0.0600,866.00,390135.00
2026-02-04 13:54:00,0.0800,0.0500,0.0800,0.0800,0.0788,0.0800,4552.00,394109.00
2026-02-04 13:55:00,0.0900,0.0800,0.0900,0.0900,0.0897,0.0800,16432.00,409727.00
2026-02-04 13:56:00,0.0900,0.0700,0.1100,0.0900,0.0935,0.0900,7662.00,412206.00
2026-02-04 13:57:00,0.1000,0.0800,0.1100,0.1100,0.1014,0.0900,13798.00,423257.00
2026-02-04 13:58:00,0.1000,0.1000,0.1500,0.1400,0.1354,0.1100,10761.00,431138.00
2026-02-04 13:59:00,0.1400,0.1000,0.1500,0.1100,0.1302,0.1400,5821.00,433847.00
2026-02-04 14:00:00,0.1100,0.0900,0.1300,0.1000,0.1115,0.1100,10261.00,443018.00
2026-02-04 14:01:00,0.0900,0.0900,0.1100,0.1000,0.0976,0.1000,10159.00,450083.00
2026-02-04 14:02:00,0.1100,0.1000,0.1400,0.1200,0.1119,0.1000,4372.00,454320.00
2026-02-04 14:03:00,0.1300,0.1100,0.1600,0.1300,0.1264,0.1200,7586.00,461306.00
2026-02-04 14:04:00,0.1300,0.1300,0.1400,0.1400,0.1349,0.1300,9615.00,469562.00
2026-02-04 14:05:00,0.1400,0.1100,0.1400,0.1200,0.1267,0.1400,5912.00,474484.00
