end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 10:32:00,,,,,,0.2800,0.00,25173.00
2026-02-05 10:33:00,,,,,,0.2800,0.00,25173.00
2026-02-05 10:34:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,32.00,25205.00
2026-02-05 10:35:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,68.00,25273.00
2026-02-05 10:36:00,,,,,,0.2800,0.00,25273.00
2026-02-05 10:37:00,,,,,,0.2800,0.00,25273.00
2026-02-05 10:38:00,,,,,,0.2800,0.00,25273.00
2026-02-05 10:39:00,,,,,,0.2800,0.00,25273.00
2026-02-05 10:40:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,34.00,25307.00
2026-02-05 10:41:00,,,,,,0.2800,0.00,25307.00
2026-02-05 10:42:00,,,,,,0.2800,0.00,25307.00
2026-02-05 10:43:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,35.00,25342.00
2026-02-05 10:44:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,236.00,25578.00
2026-02-05 10:45:00,,,,,,0.2800,0.00,25578.00
2026-02-05 10:46:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,3.00,25581.00
2026-02-05 10:47:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,23.00,25604.00
2026-02-05 10:48:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,538.00,26142.00
2026-02-05 10:49:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,128.00,26270.00
2026-02-05 10:50:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,34.00,26304.00
2026-02-05 10:51:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,90.00,26394.00
2026-02-05 10:52:00,,,,,,0.2700,0.00,26394.00
2026-02-05 10:53:00,,,,,,0.2700,0.00,26394.00
2026-02-05 10:54:00,,,,,,0.2700,0.00,26394.00
2026-02-05 10:55:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,93.00,26487.00
2026-02-05 10:56:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,34.00,26521.00
2026-02-05 10:57:00,,,,,,0.2700,0.00,26521.00
2026-02-05 10:58:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,1057.00,27578.00
2026-02-05 10:59:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,216.00,27794.00
2026-02-05 11:00:00,,,,,,0.2700,0.00,27794.00
2026-02-05 11:01:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,269.00,28063.00
2026-02-05 11:02:00,,,,,,0.2700,0.00,28063.00
2026-02-05 11:03:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,87.00,28150.00
2026-02-05 11:04:00,0.2700,0.2700,0.2800,0.2800,0.2780,0.2700,7102.00,35252.00
