end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 11:23:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,81.00,22253.00
2026-02-10 11:25:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2200,200.00,22253.00
2026-02-10 11:28:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2100,15.00,22268.00
2026-02-10 11:30:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,8.00,22276.00
2026-02-10 11:31:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,21.00,22297.00
2026-02-10 11:33:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,100.00,22397.00
2026-02-10 11:34:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,64.00,22461.00
2026-02-10 11:37:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,87.00,22548.00
2026-02-10 11:47:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,800.00,23348.00
2026-02-10 11:53:00,0.2000,0.2000,0.2100,0.2100,0.2002,0.2200,394.00,23742.00
2026-02-10 11:54:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,31.00,23773.00
2026-02-10 11:56:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,9.00,23782.00
2026-02-10 11:57:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,34.00,23816.00
2026-02-10 11:59:00,0.2100,0.2000,0.2100,0.2000,0.2091,0.2100,57.00,23873.00
2026-02-10 12:00:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1529.00,25402.00
2026-02-10 12:01:00,0.2000,0.2000,0.2100,0.2100,0.2099,0.2000,3891.00,29274.00
2026-02-10 12:08:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,22.00,29296.00
2026-02-10 12:14:00,0.2000,0.2000,0.2100,0.2100,0.2084,0.2100,122.00,29418.00
2026-02-10 12:15:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,9.00,29427.00
2026-02-10 12:23:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2100,236.00,29663.00
2026-02-10 12:25:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,1.00,29662.00
2026-02-10 12:27:00,0.2000,0.2000,0.2100,0.2100,0.2029,0.1900,1400.00,31062.00
2026-02-10 12:40:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2100,24.00,31062.00
2026-02-10 12:44:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,300.00,31062.00
2026-02-10 12:45:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,1.00,31061.00
2026-02-10 12:47:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,450.00,31511.00
2026-02-10 12:49:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,59.00,31570.00
2026-02-10 12:50:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2000,391.00,31961.00
2026-02-10 12:52:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,225.00,32186.00
2026-02-10 12:58:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,817.00,33003.00
2026-02-10 12:59:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,262.00,33265.00
2026-02-10 13:00:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,902.00,34167.00
2026-02-10 13:04:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,72.00,34239.00
2026-02-10 13:08:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2100,75.00,34314.00
2026-02-10 13:13:00,0.1900,0.1900,0.2000,0.2000,0.1964,0.2000,33.00,34335.00
2026-02-10 13:15:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,300.00,34335.00
2026-02-10 13:20:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,148.00,34483.00
2026-02-10 13:21:00,0.2000,0.1900,0.2000,0.1900,0.1915,0.2000,26.00,34487.00
2026-02-10 13:24:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,520.00,35007.00
2026-02-10 13:26:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,2.00,35007.00
2026-02-10 13:28:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,28.00,35035.00
2026-02-10 13:29:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,23.00,35058.00
2026-02-10 13:32:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,6182.00,41240.00
2026-02-10 13:33:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,141.00,41381.00
2026-02-10 13:34:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,193.00,41574.00
2026-02-10 13:35:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,6.00,41580.00
2026-02-10 13:37:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,179.00,41759.00
2026-02-10 13:38:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,29.00,41788.00
2026-02-10 13:39:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,729.00,42517.00
2026-02-10 13:40:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1648.00,44165.00
2026-02-10 13:41:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,982.00,45147.00
2026-02-10 13:42:00,0.2000,0.1600,0.2200,0.2100,0.1999,0.2000,5368.00,50460.00
2026-02-10 13:43:00,0.2000,0.1900,0.2200,0.1900,0.2079,0.2100,810.00,51240.00
2026-02-10 13:44:00,0.1900,0.1400,0.1900,0.1400,0.1714,0.1900,1246.00,51375.00
2026-02-10 13:45:00,0.1600,0.1200,0.1600,0.1300,0.1309,0.1400,289.00,51403.00
2026-02-10 13:46:00,0.1300,0.1100,0.1300,0.1200,0.1265,0.1300,964.00,51979.00
2026-02-10 13:47:00,0.1100,0.0900,0.1100,0.1100,0.1040,0.1200,1353.00,52042.00
2026-02-10 13:48:00,0.1100,0.1000,0.1200,0.1200,0.1107,0.1100,330.00,52181.00
2026-02-10 13:49:00,0.1200,0.1000,0.1200,0.1200,0.1144,0.1200,1364.00,52682.00
2026-02-10 13:50:00,0.1200,0.1200,0.1300,0.1200,0.1274,0.1200,1213.00,53831.00
2026-02-10 13:51:00,0.1200,0.1100,0.1200,0.1200,0.1198,0.1200,3646.00,56826.00
2026-02-10 13:52:00,0.1300,0.1300,0.1700,0.1700,0.1417,0.1200,2217.00,57585.00
2026-02-10 13:53:00,0.1700,0.1500,0.2000,0.1900,0.1636,0.1700,5038.00,61184.00
2026-02-10 13:54:00,0.1900,0.1700,0.2000,0.1700,0.1821,0.1900,2086.00,63042.00
2026-02-10 13:55:00,0.1900,0.1900,0.2300,0.2300,0.2149,0.1700,1980.00,64731.00
2026-02-10 13:56:00,0.2100,0.2100,0.2600,0.2600,0.2456,0.2300,1133.00,65394.00
2026-02-10 13:57:00,0.2700,0.2400,0.2800,0.2500,0.2597,0.2600,2941.00,67248.00
2026-02-10 13:58:00,0.2500,0.2400,0.2700,0.2700,0.2675,0.2500,1235.00,68301.00
2026-02-10 13:59:00,0.2700,0.2500,0.2700,0.2600,0.2521,0.2700,3296.00,66269.00
2026-02-10 14:00:00,0.2600,0.2500,0.3000,0.2500,0.2573,0.2600,3997.00,69693.00
2026-02-10 14:01:00,0.2500,0.2200,0.2500,0.2200,0.2336,0.2500,3701.00,72672.00
2026-02-10 14:02:00,0.2200,0.2200,0.2500,0.2500,0.2371,0.2200,619.00,72441.00
2026-02-10 14:03:00,0.2500,0.2500,0.2800,0.2500,0.2663,0.2500,1382.00,73823.00
2026-02-10 14:04:00,0.2500,0.2100,0.2600,0.2500,0.2376,0.2500,911.00,74115.00
2026-02-10 14:05:00,0.2600,0.2400,0.2700,0.2400,0.2418,0.2500,947.00,75062.00
2026-02-10 14:06:00,0.2400,0.2300,0.2700,0.2600,0.2593,0.2400,863.00,75923.00
2026-02-10 14:07:00,0.2600,0.2500,0.3100,0.2800,0.2838,0.2600,1642.00,76394.00
2026-02-10 14:08:00,0.3000,0.2800,0.3000,0.3000,0.2988,0.2800,1955.00,78023.00
2026-02-10 14:09:00,0.3000,0.2900,0.3000,0.3000,0.2998,0.3000,1177.00,79160.00
2026-02-10 14:10:00,0.2800,0.2600,0.3000,0.2600,0.2772,0.3000,1005.00,80153.00
2026-02-10 14:11:00,0.2600,0.2400,0.2600,0.2400,0.2564,0.2600,359.00,80357.00
