end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 08:04:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,91.00,71576.00
2026-02-09 08:05:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,559.00,72135.00
2026-02-09 08:06:00,0.6500,0.6500,0.6600,0.6600,0.6530,0.6600,503.00,71955.00
2026-02-09 08:07:00,,,,,,0.6600,0.00,71955.00
2026-02-09 08:08:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,740.00,72695.00
2026-02-09 08:09:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,230.00,72925.00
2026-02-09 08:10:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,369.00,73294.00
2026-02-09 08:11:00,,,,,,0.6600,0.00,73294.00
2026-02-09 08:12:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1653.00,74947.00
2026-02-09 08:13:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,492.00,75439.00
2026-02-09 08:14:00,0.6600,0.6600,0.6700,0.6700,0.6696,0.6600,811.00,76250.00
2026-02-09 08:15:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,11810.00,88060.00
2026-02-09 08:16:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,592.00,88652.00
2026-02-09 08:17:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,200.00,88852.00
2026-02-09 08:18:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,404.00,89256.00
2026-02-09 08:19:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,29.00,89285.00
2026-02-09 08:20:00,0.6700,0.6700,0.6800,0.6700,0.6755,0.6700,14364.00,103649.00
2026-02-09 08:21:00,0.6700,0.6700,0.6800,0.6800,0.6751,0.6700,112.00,103761.00
2026-02-09 08:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1851.00,105612.00
2026-02-09 08:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5551.00,111163.00
2026-02-09 08:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1017.00,112180.00
2026-02-09 08:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,110.00,112290.00
2026-02-09 08:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,885.00,113175.00
2026-02-09 08:27:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2499.00,115674.00
2026-02-09 08:28:00,0.6800,0.6800,0.7000,0.7000,0.6909,0.6800,30986.00,146660.00
2026-02-09 08:29:00,0.7000,0.7000,0.7100,0.7100,0.7003,0.7000,961.00,147621.00
2026-02-09 08:30:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,5965.00,153586.00
2026-02-09 08:31:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,259.00,153845.00
2026-02-09 08:32:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,65.00,153910.00
2026-02-09 08:33:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,435.00,154345.00
2026-02-09 08:34:00,0.7100,0.6800,0.7200,0.6800,0.7159,0.7100,7146.00,161477.00
2026-02-09 08:35:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6800,327.00,161804.00
2026-02-09 08:36:00,0.7000,0.7000,0.7200,0.7200,0.7173,0.7000,7258.00,169062.00
2026-02-09 08:37:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7200,1189.00,170251.00
2026-02-09 08:38:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,100.00,170351.00
2026-02-09 08:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,39.00,170390.00
2026-02-09 08:40:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,245.00,170635.00
2026-02-09 08:41:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,18.00,170653.00
2026-02-09 08:42:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,212.00,170865.00
2026-02-09 08:43:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,102.00,170967.00
2026-02-09 08:44:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,392.00,171359.00
2026-02-09 08:45:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1388.00,172747.00
2026-02-09 08:46:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1400.00,174147.00
2026-02-09 08:47:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,559.00,174706.00
2026-02-09 08:48:00,0.7000,0.6900,0.7000,0.7000,0.6999,0.7000,2316.00,177022.00
2026-02-09 08:49:00,0.6900,0.6900,0.7000,0.7000,0.6970,0.7000,816.00,177838.00
2026-02-09 08:50:00,0.7000,0.6900,0.7000,0.7000,0.6932,0.7000,357.00,178195.00
2026-02-09 08:51:00,0.7000,0.6900,0.7000,0.7000,0.6999,0.7000,2558.00,180753.00
2026-02-09 08:52:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,9.00,180762.00
2026-02-09 08:53:00,0.7000,0.6900,0.7000,0.7000,0.6980,0.7000,76.00,180838.00
2026-02-09 08:54:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,80.00,180918.00
2026-02-09 08:55:00,0.7000,0.6900,0.7000,0.7000,0.6909,0.7000,3575.00,181247.00
2026-02-09 08:56:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,70.00,181317.00
2026-02-09 08:57:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,344.00,181661.00
2026-02-09 08:58:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,163.00,181824.00
2026-02-09 08:59:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,4000.00,185824.00
2026-02-09 09:00:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1000.00,186824.00
2026-02-09 09:01:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6900,1728.00,188552.00
2026-02-09 09:02:00,0.7000,0.6900,0.7000,0.6900,0.6945,0.7000,1813.00,190365.00
2026-02-09 09:03:00,0.7000,0.6800,0.7000,0.6800,0.6884,0.6900,2771.00,192217.00
2026-02-09 09:04:00,0.6900,0.6700,0.6900,0.6900,0.6701,0.6800,1825.00,192227.00
2026-02-09 09:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,111.00,192338.00
2026-02-09 09:06:00,0.6900,0.6800,0.6900,0.6800,0.6833,0.6900,318.00,192656.00
2026-02-09 09:07:00,0.6800,0.6800,0.6900,0.6800,0.6803,0.6800,739.00,193395.00
2026-02-09 09:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,30.00,193425.00
2026-02-09 09:09:00,0.6800,0.6600,0.6900,0.6900,0.6810,0.6800,2492.00,195643.00
2026-02-09 09:10:00,0.6800,0.6800,0.6900,0.6900,0.6871,0.6900,148.00,195791.00
2026-02-09 09:11:00,0.6800,0.6600,0.6800,0.6600,0.6603,0.6900,4425.00,196235.00
2026-02-09 09:12:00,0.6800,0.6600,0.6800,0.6800,0.6651,0.6600,114.00,196179.00
2026-02-09 09:13:00,0.6800,0.6800,0.6900,0.6900,0.6841,0.6800,232.00,196381.00
