end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 12:18:00,,,,,,0.6700,0.00,5761.00
2026-02-09 12:19:00,,,,,,0.6700,0.00,5761.00
2026-02-09 12:20:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,74.00,5835.00
2026-02-09 12:21:00,,,,,,0.6700,0.00,5835.00
2026-02-09 12:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1500.00,7335.00
2026-02-09 12:23:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:24:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:25:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:28:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:31:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:32:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:33:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:34:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:36:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:40:00,,,,,,0.6700,0.00,7335.00
2026-02-09 12:41:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,36.00,7371.00
2026-02-09 12:47:00,,,,,,0.6700,0.00,7371.00
2026-02-09 12:48:00,,,,,,0.6700,0.00,7371.00
2026-02-09 12:49:00,,,,,,0.6700,0.00,7371.00
2026-02-09 12:51:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,350.00,7721.00
2026-02-09 12:52:00,,,,,,0.6700,0.00,7721.00
2026-02-09 12:53:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,21.00,7742.00
2026-02-09 12:54:00,,,,,,0.6700,0.00,7742.00
2026-02-09 12:55:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,513.00,8255.00
2026-02-09 12:56:00,,,,,,0.6700,0.00,8255.00
2026-02-09 12:57:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,320.00,8575.00
2026-02-09 12:59:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,275.00,8850.00
2026-02-09 13:00:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,8851.00
2026-02-09 13:01:00,,,,,,0.6700,0.00,8851.00
2026-02-09 13:02:00,,,,,,0.6700,0.00,8851.00
2026-02-09 13:05:00,,,,,,0.6700,0.00,8851.00
2026-02-09 13:06:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,72.00,8923.00
2026-02-09 13:07:00,,,,,,0.6700,0.00,8923.00
2026-02-09 13:08:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,7.00,8930.00
2026-02-09 13:09:00,,,,,,0.6700,0.00,8930.00
2026-02-09 13:10:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,7.00,8937.00
2026-02-09 13:11:00,,,,,,0.6700,0.00,8937.00
2026-02-09 13:12:00,,,,,,0.6700,0.00,8937.00
2026-02-09 13:13:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,42.00,8979.00
2026-02-09 13:14:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1815.00,10794.00
2026-02-09 13:15:00,,,,,,0.6700,0.00,10794.00
2026-02-09 13:18:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,10795.00
2026-02-09 13:23:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,5403.00,16198.00
2026-02-09 13:30:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,72.00,16270.00
2026-02-09 13:31:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,145.00,16415.00
2026-02-09 13:32:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,318.00,16733.00
2026-02-09 13:33:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,289.00,17022.00
2026-02-09 13:34:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,72.00,17094.00
2026-02-09 13:35:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,298.00,17392.00
2026-02-09 13:37:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,291.00,17683.00
2026-02-09 13:38:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,410.00,18093.00
2026-02-09 13:42:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,28.00,18121.00
2026-02-09 13:46:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,14.00,18135.00
2026-02-09 13:47:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,18136.00
2026-02-09 13:50:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,304.00,18440.00
2026-02-09 13:53:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,2021.00,20461.00
2026-02-09 13:54:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,940.00,21401.00
2026-02-09 13:56:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,87.00,21488.00
2026-02-09 13:58:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,9.00,21497.00
2026-02-09 13:59:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,447.00,21944.00
2026-02-09 14:00:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,14.00,21958.00
2026-02-09 14:01:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,289.00,22247.00
2026-02-09 14:02:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,153.00,22400.00
2026-02-09 14:03:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,49.00,22449.00
2026-02-09 14:04:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,293.00,22742.00
2026-02-09 14:05:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,123.00,22865.00
2026-02-09 14:06:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,125.00,22990.00
2026-02-09 14:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,2010.00,25000.00
2026-02-09 14:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,224.00,25224.00
2026-02-09 14:10:00,0.6800,0.6600,0.6800,0.6800,0.6651,0.6800,377.00,25601.00
2026-02-09 14:11:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,24.00,25625.00
2026-02-09 14:13:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,131.00,25756.00
2026-02-09 14:14:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,112.00,25868.00
2026-02-09 14:15:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,16.00,25884.00
2026-02-09 14:16:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,123.00,26007.00
2026-02-09 14:17:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,48.00,26055.00
2026-02-09 14:18:00,0.6700,0.6700,0.6800,0.6800,0.6779,0.6700,562.00,26617.00
2026-02-09 14:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,4798.00,31415.00
2026-02-09 14:20:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,887.00,32302.00
2026-02-09 14:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1225.00,33527.00
2026-02-09 14:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,78.00,33605.00
2026-02-09 14:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1534.00,35139.00
2026-02-09 14:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,549.00,35688.00
2026-02-09 14:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7126.00,42814.00
2026-02-09 14:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2673.00,45487.00
2026-02-09 14:27:00,0.6600,0.6600,0.6800,0.6600,0.6692,0.6800,468.00,45702.00
2026-02-09 14:28:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,970.00,46672.00
2026-02-09 14:29:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2109.00,48781.00
2026-02-09 14:30:00,0.6800,0.6600,0.6800,0.6600,0.6612,0.6800,4066.00,52847.00
2026-02-09 14:31:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,148.00,52995.00
2026-02-09 14:32:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1399.00,54394.00
2026-02-09 14:33:00,0.6600,0.6500,0.6600,0.6600,0.6587,0.6600,2198.00,56302.00
2026-02-09 14:34:00,0.6600,0.6600,0.6800,0.6600,0.6610,0.6600,45588.00,101848.00
2026-02-09 14:35:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,1848.00,103696.00
2026-02-09 14:36:00,0.6800,0.6700,0.6800,0.6700,0.6786,0.6800,2532.00,106228.00
2026-02-09 14:37:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1324.00,107552.00
2026-02-09 14:38:00,0.6700,0.6700,0.6800,0.6800,0.6787,0.6700,1824.00,109376.00
2026-02-09 14:39:00,0.6800,0.6800,0.7500,0.7500,0.6839,0.6800,43906.00,152035.00
2026-02-09 14:40:00,0.7600,0.7200,0.7900,0.7200,0.7532,0.7500,17811.00,153502.00
2026-02-09 14:41:00,0.7200,0.6600,0.7400,0.7300,0.7240,0.7200,19623.00,164190.00
2026-02-09 14:42:00,0.7300,0.7300,0.7900,0.7900,0.7595,0.7300,1214.00,164927.00
2026-02-09 14:43:00,0.7900,0.7900,0.8100,0.8100,0.7906,0.7900,4179.00,164793.00
2026-02-09 14:44:00,0.8100,0.8100,0.8300,0.8200,0.8196,0.8100,7727.00,168675.00
2026-02-09 14:45:00,0.8400,0.8100,0.8400,0.8200,0.8265,0.8200,3079.00,171182.00
2026-02-09 14:46:00,0.8100,0.8000,0.8400,0.8400,0.8240,0.8200,2349.00,172026.00
2026-02-09 14:47:00,0.8400,0.8300,0.8400,0.8400,0.8390,0.8400,984.00,172803.00
2026-02-09 14:48:00,0.8300,0.8200,0.8400,0.8200,0.8208,0.8400,1638.00,174441.00
2026-02-09 14:49:00,0.8000,0.8000,0.8100,0.8000,0.8045,0.8200,7369.00,180942.00
2026-02-09 14:50:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,659.00,181601.00
2026-02-09 14:51:00,0.8100,0.8100,0.8600,0.8200,0.8368,0.8100,6568.00,186912.00
2026-02-09 14:52:00,0.8200,0.8100,0.8200,0.8200,0.8170,0.8200,1344.00,187656.00
2026-02-09 14:53:00,0.8200,0.8000,0.8200,0.8100,0.8120,0.8200,4006.00,191462.00
2026-02-09 14:54:00,0.8000,0.8000,0.8200,0.8100,0.8024,0.8100,4971.00,196419.00
2026-02-09 14:55:00,0.8100,0.8000,0.8100,0.8000,0.8014,0.8100,7544.00,197465.00
2026-02-09 14:56:00,0.7900,0.7700,0.7900,0.7900,0.7837,0.8000,1309.00,198773.00
2026-02-09 14:57:00,0.8000,0.7800,0.8100,0.8100,0.8002,0.7900,7159.00,198976.00
2026-02-09 14:58:00,0.8100,0.8000,0.8300,0.8200,0.8139,0.8100,8295.00,205334.00
2026-02-09 14:59:00,0.8100,0.8100,0.8400,0.8300,0.8244,0.8200,1725.00,207026.00
2026-02-09 15:00:00,0.8400,0.8200,0.8400,0.8400,0.8350,0.8300,6220.00,206824.00
2026-02-09 15:01:00,0.8200,0.8000,0.8300,0.8000,0.8162,0.8400,3002.00,209470.00
2026-02-09 15:02:00,0.8000,0.8000,0.8100,0.8100,0.8082,0.8000,1912.00,211035.00
2026-02-09 15:03:00,0.7800,0.7300,0.7800,0.7300,0.7451,0.8100,697.00,211605.00
2026-02-09 15:04:00,0.7100,0.7100,0.7900,0.7800,0.7460,0.7300,3074.00,212540.00
2026-02-09 15:05:00,0.8000,0.7700,0.8100,0.7800,0.8042,0.7800,287.00,212756.00
2026-02-09 15:06:00,0.7800,0.7500,0.7800,0.7700,0.7773,0.7800,344.00,213058.00
2026-02-09 15:07:00,0.7700,0.7700,0.8100,0.7700,0.7772,0.7700,945.00,213236.00
2026-02-09 15:08:00,0.7600,0.7500,0.8000,0.8000,0.7513,0.7700,1988.00,213299.00
2026-02-09 15:09:00,0.8100,0.8000,0.8100,0.8000,0.8085,0.8000,1270.00,214389.00
2026-02-09 15:10:00,0.8100,0.7800,0.8100,0.7900,0.7947,0.8000,3801.00,218190.00
2026-02-09 15:11:00,0.7800,0.7800,0.7900,0.7900,0.7823,0.7900,11344.00,229534.00
2026-02-09 15:12:00,0.7900,0.7700,0.8100,0.8100,0.7878,0.7900,2206.00,231722.00
2026-02-09 15:13:00,0.8100,0.8000,0.8200,0.8200,0.8188,0.8100,441.00,232063.00
2026-02-09 15:14:00,0.8200,0.8200,0.8400,0.8400,0.8341,0.8200,3933.00,235171.00
2026-02-09 15:15:00,0.8100,0.7600,0.8200,0.7600,0.8001,0.8400,674.00,235745.00
2026-02-09 15:16:00,0.7600,0.7600,0.8200,0.8000,0.8013,0.7600,7684.00,242788.00
2026-02-09 15:17:00,0.8200,0.8000,0.8200,0.8200,0.8151,0.8000,8443.00,248881.00
2026-02-09 15:18:00,0.8000,0.8000,0.8200,0.8100,0.8160,0.8200,1951.00,250427.00
2026-02-09 15:19:00,0.8200,0.7900,0.8200,0.8000,0.8035,0.8100,2154.00,252581.00
2026-02-09 15:20:00,0.7700,0.7500,0.8300,0.8100,0.7878,0.8000,3811.00,255009.00
2026-02-09 15:21:00,0.8000,0.7900,0.8300,0.8100,0.8017,0.8100,20646.00,275555.00
2026-02-09 15:22:00,0.8000,0.8000,0.8500,0.8500,0.8126,0.8100,10214.00,277632.00
2026-02-09 15:23:00,0.8500,0.8500,0.9300,0.9100,0.8754,0.8500,13217.00,281063.00
2026-02-09 15:24:00,0.9100,0.8800,0.9200,0.9000,0.8994,0.9100,43195.00,257278.00
2026-02-09 15:25:00,0.8800,0.8700,0.9000,0.8700,0.8756,0.9000,4331.00,260576.00
2026-02-09 15:26:00,0.8500,0.8500,0.9000,0.9000,0.8801,0.8700,5762.00,266055.00
2026-02-09 15:27:00,0.8800,0.8000,0.8800,0.8000,0.8081,0.9000,13003.00,268958.00
2026-02-09 15:28:00,0.8000,0.7900,0.8300,0.8000,0.8052,0.8000,2386.00,270996.00
2026-02-09 15:29:00,0.8400,0.8400,0.8800,0.8400,0.8475,0.8000,5422.00,273880.00
2026-02-09 15:30:00,0.8400,0.7900,0.8700,0.8000,0.8273,0.8400,6355.00,279313.00
2026-02-09 15:31:00,0.8100,0.7900,0.8200,0.7900,0.8091,0.8000,2105.00,281318.00
2026-02-09 15:32:00,0.7900,0.7900,0.8300,0.8000,0.8231,0.7900,3467.00,284777.00
2026-02-09 15:33:00,0.8100,0.7500,0.8100,0.7700,0.7788,0.8000,2673.00,287379.00
2026-02-09 15:34:00,0.7600,0.7600,0.7700,0.7700,0.7697,0.7700,1942.00,289207.00
2026-02-09 15:35:00,0.7600,0.7400,0.7800,0.7500,0.7434,0.7700,4610.00,293011.00
2026-02-09 15:36:00,0.7500,0.7200,0.7500,0.7200,0.7443,0.7500,2561.00,295547.00
2026-02-09 15:37:00,0.7200,0.6000,0.7300,0.6600,0.6390,0.7200,2168.00,296217.00
2026-02-09 15:38:00,0.6500,0.6500,0.7700,0.7700,0.7013,0.6600,5722.00,298428.00
2026-02-09 15:39:00,0.7600,0.7500,0.8100,0.7800,0.7939,0.7700,7284.00,304004.00
2026-02-09 15:40:00,0.7700,0.7500,0.7800,0.7700,0.7577,0.7800,4598.00,308602.00
2026-02-09 15:41:00,0.7500,0.7300,0.7900,0.7600,0.7568,0.7700,2368.00,310906.00
2026-02-09 15:42:00,0.7600,0.7400,0.8100,0.7900,0.7718,0.7600,573.00,311358.00
2026-02-09 15:43:00,0.7900,0.7500,0.7900,0.7600,0.7755,0.7900,2246.00,313581.00
