end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 13:59:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,31.00,2142.00
2026-02-10 14:14:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1.00,2143.00
2026-02-10 14:15:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,50.00,2193.00
2026-02-10 14:17:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1.00,2194.00
2026-02-10 14:23:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,2203.00
2026-02-10 14:26:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,31.00,2234.00
2026-02-10 14:27:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,30.00,2264.00
2026-02-10 14:30:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,1.00,2265.00
2026-02-10 14:31:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,89.00,2354.00
2026-02-10 14:34:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,23.00,2377.00
2026-02-10 14:35:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,2384.00
2026-02-10 14:39:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,16.00,2400.00
2026-02-10 14:41:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,55.00,2455.00
2026-02-10 14:45:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,93.00,2548.00
2026-02-10 14:47:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,319.00,2867.00
2026-02-10 14:52:00,0.6100,0.6100,0.6200,0.6200,0.6144,0.6100,9.00,2876.00
2026-02-10 14:57:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1.00,2877.00
2026-02-10 14:58:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,118.00,2995.00
2026-02-10 14:59:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,31.00,3026.00
2026-02-10 15:03:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,3035.00
2026-02-10 15:05:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,852.00,3887.00
2026-02-10 15:07:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,23.00,3910.00
2026-02-10 15:08:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,390.00,4300.00
2026-02-10 15:09:00,0.6200,0.5900,0.6200,0.5900,0.6139,0.6200,1090.00,5178.00
2026-02-10 15:10:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,100.00,5178.00
2026-02-10 15:11:00,0.6200,0.6100,0.6200,0.6100,0.6155,0.5800,255.00,5433.00
2026-02-10 15:12:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6100,55.00,5488.00
2026-02-10 15:13:00,0.6500,0.6500,0.6600,0.6600,0.6507,0.6300,263.00,5750.00
2026-02-10 15:14:00,0.6600,0.6500,0.6600,0.6500,0.6502,0.6600,2994.00,8744.00
2026-02-10 15:15:00,0.6600,0.6600,0.6700,0.6700,0.6629,0.6500,293.00,8953.00
2026-02-10 15:16:00,0.6900,0.6400,0.6900,0.6500,0.6450,0.6700,7578.00,16531.00
2026-02-10 15:17:00,0.6400,0.6300,0.6400,0.6400,0.6319,0.6500,310.00,16741.00
2026-02-10 15:18:00,0.6400,0.6300,0.6400,0.6300,0.6302,0.6400,8100.00,24841.00
2026-02-10 15:19:00,0.6800,0.6500,0.7100,0.6500,0.6695,0.6300,160.00,25001.00
2026-02-10 15:20:00,0.6300,0.6200,0.6300,0.6200,0.6221,0.6500,322.00,25323.00
2026-02-10 15:21:00,0.6500,0.6500,0.6800,0.6700,0.6698,0.6200,523.00,25846.00
2026-02-10 15:22:00,0.7000,0.6800,0.7000,0.6800,0.6809,0.6700,833.00,25912.00
2026-02-10 15:23:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6800,29.00,25941.00
2026-02-10 15:24:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7000,1.00,25942.00
2026-02-10 15:25:00,0.7200,0.6700,0.7300,0.6700,0.6754,0.7100,1594.00,27536.00
