end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 20:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,90668.00
2026-02-10 20:36:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,125.00,90793.00
2026-02-10 20:37:00,0.5500,0.5500,0.5600,0.5600,0.5595,0.5600,1000.00,91693.00
2026-02-10 20:38:00,0.5600,0.5500,0.5600,0.5500,0.5514,0.5600,178.00,91713.00
2026-02-10 20:39:00,0.5500,0.5400,0.5600,0.5400,0.5446,0.5500,575.00,91496.00
2026-02-10 20:40:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,98.00,91594.00
2026-02-10 20:41:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,356.00,91950.00
2026-02-10 20:42:00,0.5500,0.5500,0.5600,0.5600,0.5546,0.5500,262.00,92212.00
2026-02-10 20:43:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,11.00,92223.00
2026-02-10 20:44:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,60.00,92283.00
2026-02-10 20:46:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5600,94.00,92189.00
2026-02-10 20:47:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5400,36.00,92225.00
2026-02-10 20:48:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,51.00,92276.00
2026-02-10 20:49:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,86.00,92362.00
2026-02-10 20:50:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,61.00,92423.00
2026-02-10 20:53:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5500,862.00,91561.00
2026-02-10 20:54:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,172.00,91733.00
2026-02-10 20:55:00,0.5500,0.5400,0.5600,0.5600,0.5511,0.5500,1289.00,92902.00
2026-02-10 20:59:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,44.00,92946.00
