end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 05:01:00,0.6000,0.5600,0.7500,0.6000,0.6378,0.5900,1652.00,125056.00
2026-02-12 05:02:00,0.6000,0.5700,0.6100,0.6000,0.5952,0.6000,17072.00,137887.00
2026-02-12 05:03:00,0.6100,0.5800,0.6100,0.6000,0.5912,0.6000,12056.00,149102.00
2026-02-12 05:04:00,0.6000,0.6000,0.6100,0.6100,0.6075,0.6000,2867.00,151930.00
2026-02-12 05:05:00,0.6100,0.6000,0.6100,0.6000,0.6078,0.6100,5509.00,157439.00
2026-02-12 05:06:00,0.6100,0.6100,0.6200,0.6100,0.6132,0.6000,6980.00,164419.00
2026-02-12 05:07:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,5097.00,169516.00
2026-02-12 05:08:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,91.00,169607.00
2026-02-12 05:09:00,0.6100,0.6000,0.6100,0.6100,0.6099,0.6100,696.00,170303.00
2026-02-12 05:10:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,2697.00,172991.00
2026-02-12 05:11:00,0.6200,0.6100,0.6200,0.6100,0.6169,0.6200,957.00,173948.00
2026-02-12 05:12:00,0.6100,0.5800,0.6300,0.6300,0.6092,0.6100,14755.00,188673.00
2026-02-12 05:13:00,0.6400,0.6100,0.6400,0.6200,0.6254,0.6300,2558.00,191216.00
2026-02-12 05:14:00,0.6400,0.6200,0.6500,0.6400,0.6419,0.6200,1920.00,193121.00
2026-02-12 05:15:00,0.6200,0.5700,0.6400,0.5700,0.6126,0.6400,20487.00,213599.00
2026-02-12 05:16:00,0.5900,0.5800,0.6000,0.6000,0.5930,0.5700,2264.00,215831.00
2026-02-12 05:17:00,0.6100,0.5600,0.6100,0.5700,0.5763,0.6000,1668.00,217482.00
2026-02-12 05:18:00,0.5700,0.5600,0.5900,0.5900,0.5731,0.5700,14367.00,231832.00
2026-02-12 05:19:00,0.5600,0.5600,0.6000,0.6000,0.5916,0.5900,1422.00,233254.00
2026-02-12 05:20:00,0.6000,0.5800,0.6200,0.6200,0.6039,0.6000,15666.00,248920.00
2026-02-12 05:21:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,140.00,249060.00
2026-02-12 05:22:00,0.6200,0.6100,0.6200,0.6200,0.6151,0.6200,499.00,249559.00
2026-02-12 05:23:00,0.6000,0.5800,0.6100,0.5900,0.6022,0.6200,1508.00,251067.00
2026-02-12 05:24:00,0.5900,0.5600,0.5900,0.5600,0.5767,0.5900,58.00,251125.00
2026-02-12 05:25:00,0.5800,0.5700,0.5800,0.5800,0.5787,0.5600,1671.00,252350.00
2026-02-12 05:26:00,0.5800,0.5800,0.7500,0.7500,0.6069,0.5800,2414.00,254726.00
