end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 21:16:00,,,,,,0.8000,0.00,47081.00
2026-02-12 21:17:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,119.00,47200.00
2026-02-12 21:18:00,,,,,,0.8000,0.00,47200.00
2026-02-12 21:20:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,182.00,47382.00
2026-02-12 21:21:00,0.8000,0.8000,0.8100,0.8100,0.8004,0.8000,1415.00,48797.00
2026-02-12 21:22:00,,,,,,0.8100,0.00,48797.00
2026-02-12 21:23:00,0.8000,0.8000,0.8100,0.8100,0.8041,0.8100,3027.00,51824.00
2026-02-12 21:24:00,0.8000,0.8000,0.8100,0.8100,0.8095,0.8100,95.00,51919.00
2026-02-12 21:25:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,83.00,51974.00
2026-02-12 21:26:00,,,,,,0.8200,0.00,51974.00
2026-02-12 21:28:00,,,,,,0.8200,0.00,51974.00
2026-02-12 21:29:00,,,,,,0.8200,0.00,51974.00
2026-02-12 21:30:00,,,,,,0.8200,0.00,51974.00
2026-02-12 21:31:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,608.00,52206.00
2026-02-12 21:32:00,,,,,,0.8200,0.00,52206.00
2026-02-12 21:33:00,,,,,,0.8200,0.00,52206.00
2026-02-12 21:35:00,,,,,,0.8200,0.00,52206.00
2026-02-12 21:36:00,,,,,,0.8200,0.00,52206.00
2026-02-12 21:40:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,602.00,52808.00
2026-02-12 21:41:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,163.00,52971.00
2026-02-12 21:43:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,60.00,53031.00
2026-02-12 21:44:00,,,,,,0.8200,0.00,53031.00
2026-02-12 21:47:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,40.00,53071.00
2026-02-12 21:48:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,3.00,53074.00
2026-02-12 21:49:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,203.00,53277.00
2026-02-12 21:50:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,771.00,54048.00
2026-02-12 21:51:00,,,,,,0.8200,0.00,54048.00
2026-02-12 21:52:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1.00,54049.00
2026-02-12 21:53:00,,,,,,0.8200,0.00,54049.00
2026-02-12 21:54:00,,,,,,0.8200,0.00,54049.00
2026-02-12 21:55:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,340.00,54389.00
2026-02-12 21:56:00,,,,,,0.8200,0.00,54389.00
2026-02-12 21:57:00,,,,,,0.8200,0.00,54389.00
2026-02-12 21:59:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,6.00,54395.00
2026-02-12 22:00:00,,,,,,0.8200,0.00,54395.00
2026-02-12 22:01:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,40.00,54435.00
2026-02-12 22:03:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,29.00,54464.00
2026-02-12 22:05:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,27.00,54491.00
2026-02-12 22:06:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,2.00,54493.00
2026-02-12 22:07:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1.00,54494.00
2026-02-12 22:08:00,,,,,,0.8200,0.00,54494.00
2026-02-12 22:09:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,30.00,54524.00
2026-02-12 22:10:00,,,,,,0.8200,0.00,54524.00
2026-02-12 22:11:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,8.00,54532.00
2026-02-12 22:12:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,352.00,54884.00
2026-02-12 22:13:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1114.00,55998.00
2026-02-12 22:14:00,,,,,,0.8200,0.00,55998.00
2026-02-12 22:18:00,,,,,,0.8200,0.00,55998.00
2026-02-12 22:19:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,119.00,56117.00
2026-02-12 22:20:00,,,,,,0.8200,0.00,56117.00
2026-02-12 22:21:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,5.00,56122.00
2026-02-12 22:22:00,,,,,,0.8200,0.00,56122.00
2026-02-12 22:23:00,,,,,,0.8200,0.00,56122.00
2026-02-12 22:27:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,5000.00,61122.00
2026-02-12 22:28:00,,,,,,0.8200,0.00,61122.00
