end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 06:03:00,,,,,,0.6800,0.00,112865.00
2026-02-12 06:04:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,112936.00
2026-02-12 06:05:00,,,,,,0.6800,0.00,112936.00
2026-02-12 06:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,32.00,112968.00
2026-02-12 06:07:00,0.6700,0.6700,0.6800,0.6800,0.6795,0.6800,3598.00,116566.00
2026-02-12 06:08:00,,,,,,0.6800,0.00,116566.00
2026-02-12 06:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,116573.00
2026-02-12 06:10:00,,,,,,0.6800,0.00,116573.00
2026-02-12 06:11:00,,,,,,0.6800,0.00,116573.00
2026-02-12 06:12:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2.00,116575.00
2026-02-12 06:13:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,4.00,116579.00
2026-02-12 06:14:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,156.00,116735.00
2026-02-12 06:17:00,,,,,,0.6800,0.00,116735.00
2026-02-12 06:18:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,432.00,117167.00
2026-02-12 06:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,101.00,117268.00
2026-02-12 06:20:00,0.6700,0.6700,0.6800,0.6800,0.6796,0.6800,149.00,117417.00
2026-02-12 06:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,117438.00
2026-02-12 06:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,565.00,118003.00
2026-02-12 06:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1.00,118004.00
2026-02-12 06:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,48.00,118052.00
2026-02-12 06:25:00,,,,,,0.6800,0.00,118052.00
2026-02-12 06:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,70.00,118122.00
2026-02-12 06:27:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,57.00,118179.00
2026-02-12 06:28:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,64.00,118243.00
2026-02-12 06:29:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1603.00,119846.00
2026-02-12 06:31:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,142.00,119988.00
2026-02-12 06:32:00,,,,,,0.6800,0.00,119988.00
2026-02-12 06:33:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2142.00,122130.00
2026-02-12 06:35:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,285.00,122415.00
2026-02-12 06:36:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,207.00,122622.00
2026-02-12 06:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,284.00,122906.00
2026-02-12 06:38:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,647.00,123553.00
2026-02-12 06:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,33.00,123586.00
2026-02-12 06:40:00,0.6800,0.6800,0.6900,0.6900,0.6877,0.6800,95.00,123681.00
2026-02-12 06:41:00,,,,,,0.6900,0.00,123681.00
2026-02-12 06:42:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,123688.00
2026-02-12 06:43:00,,,,,,0.6900,0.00,123688.00
2026-02-12 06:45:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,205.00,123893.00
2026-02-12 06:46:00,,,,,,0.6900,0.00,123893.00
2026-02-12 06:47:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,725.00,124618.00
2026-02-12 06:48:00,,,,,,0.6900,0.00,124618.00
2026-02-12 06:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,52.00,124670.00
2026-02-12 06:50:00,,,,,,0.6900,0.00,124670.00
2026-02-12 06:51:00,0.6800,0.6800,0.6900,0.6900,0.6893,0.6900,72.00,124742.00
2026-02-12 06:52:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,35.00,124777.00
2026-02-12 06:53:00,,,,,,0.6900,0.00,124777.00
2026-02-12 06:54:00,,,,,,0.6900,0.00,124777.00
2026-02-12 06:55:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6900,123.00,124900.00
2026-02-12 06:57:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,7.00,124907.00
2026-02-12 06:59:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,121.00,125028.00
2026-02-12 07:00:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,235.00,125263.00
2026-02-12 07:01:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,30.00,125293.00
2026-02-12 07:02:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,2.00,125295.00
2026-02-12 07:03:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,57.00,125352.00
2026-02-12 07:04:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,2.00,125354.00
2026-02-12 07:05:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1412.00,126766.00
2026-02-12 07:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,19.00,126785.00
2026-02-12 07:07:00,,,,,,0.6800,0.00,126785.00
2026-02-12 07:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,37.00,126822.00
2026-02-12 07:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,17.00,126839.00
2026-02-12 07:10:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,266.00,127105.00
2026-02-12 07:11:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,127176.00
2026-02-12 07:12:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,142.00,127318.00
2026-02-12 07:13:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,78.00,127396.00
2026-02-12 07:14:00,,,,,,0.6800,0.00,127396.00
2026-02-12 07:15:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,3.00,127396.00
2026-02-12 07:16:00,,,,,,0.6700,0.00,127396.00
2026-02-12 07:17:00,,,,,,0.6700,0.00,127396.00
2026-02-12 07:18:00,,,,,,0.6700,0.00,127396.00
2026-02-12 07:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,15.00,127411.00
2026-02-12 07:20:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,29.00,127440.00
2026-02-12 07:21:00,0.6700,0.6700,0.6800,0.6800,0.6766,0.6800,32.00,127461.00
2026-02-12 07:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,64.00,127525.00
2026-02-12 07:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,260.00,127785.00
2026-02-12 07:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,127795.00
2026-02-12 07:25:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,28.00,127823.00
2026-02-12 07:26:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,69.00,127892.00
2026-02-12 07:27:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,25.00,127917.00
2026-02-12 07:28:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,85.00,128002.00
2026-02-12 07:29:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,159.00,128161.00
2026-02-12 07:31:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,37.00,128198.00
2026-02-12 07:33:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1.00,128199.00
2026-02-12 07:34:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,55.00,128254.00
2026-02-12 07:35:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,48.00,128302.00
2026-02-12 07:36:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,15.00,128317.00
2026-02-12 07:37:00,,,,,,0.6900,0.00,128317.00
2026-02-12 07:38:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1418.00,129735.00
2026-02-12 07:39:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,54.00,129789.00
2026-02-12 07:40:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2.00,129791.00
2026-02-12 07:41:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,588.00,130379.00
2026-02-12 07:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5.00,130384.00
2026-02-12 07:43:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,95.00,130479.00
2026-02-12 07:44:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,191.00,130670.00
2026-02-12 07:45:00,0.6800,0.6800,0.6900,0.6900,0.6838,0.6800,2346.00,133016.00
2026-02-12 07:46:00,0.6900,0.6800,0.6900,0.6800,0.6897,0.6900,2595.00,135611.00
2026-02-12 07:47:00,0.6800,0.6700,0.6800,0.6800,0.6761,0.6800,2463.00,137174.00
2026-02-12 07:48:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2629.00,139803.00
2026-02-12 07:49:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1956.00,141759.00
2026-02-12 07:50:00,0.6800,0.6800,0.6900,0.6900,0.6822,0.6800,3358.00,145117.00
2026-02-12 07:51:00,0.6900,0.6900,0.7000,0.6900,0.6927,0.6900,7360.00,152477.00
2026-02-12 07:53:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,146.00,152623.00
2026-02-12 07:54:00,0.6800,0.6800,0.7000,0.7000,0.6986,0.6900,2027.00,154650.00
2026-02-12 07:55:00,0.7000,0.7000,0.7100,0.7100,0.7075,0.7000,4166.00,158816.00
2026-02-12 07:56:00,0.7000,0.7000,0.7200,0.7200,0.7107,0.7100,1361.00,159227.00
2026-02-12 07:57:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7200,2.00,159229.00
2026-02-12 07:58:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,252.00,159481.00
2026-02-12 07:59:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1175.00,160656.00
2026-02-12 08:00:00,0.7100,0.7000,0.7100,0.7000,0.7096,0.7100,1705.00,162361.00
2026-02-12 08:01:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,446.00,162807.00
2026-02-12 08:02:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,19.00,162826.00
2026-02-12 08:03:00,0.7000,0.7000,0.7200,0.7100,0.7090,0.7000,7813.00,170639.00
2026-02-12 08:04:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,708.00,171347.00
2026-02-12 08:05:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,169.00,171516.00
2026-02-12 08:06:00,0.7000,0.7000,0.7100,0.7100,0.7043,0.7100,3457.00,174973.00
2026-02-12 08:07:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,3411.00,178384.00
2026-02-12 08:08:00,0.6900,0.6700,0.6900,0.6900,0.6813,0.7100,1819.00,180203.00
2026-02-12 08:09:00,0.7100,0.7000,0.7400,0.7200,0.7176,0.6900,3159.00,183362.00
2026-02-12 08:10:00,0.7200,0.6900,0.7200,0.6900,0.7135,0.7200,2219.00,185580.00
2026-02-12 08:11:00,0.6900,0.6800,0.7000,0.6900,0.6957,0.6900,527.00,185977.00
2026-02-12 08:12:00,0.7200,0.7200,0.7400,0.7200,0.7348,0.6900,2789.00,188376.00
2026-02-12 08:13:00,0.7100,0.7000,0.7600,0.7600,0.7224,0.7200,2839.00,189710.00
2026-02-12 08:14:00,0.7700,0.7100,0.7700,0.7500,0.7313,0.7600,2933.00,190712.00
2026-02-12 08:15:00,0.7300,0.7100,0.7700,0.7500,0.7391,0.7500,3344.00,193209.00
2026-02-12 08:16:00,0.8000,0.7200,0.8000,0.7500,0.7344,0.7500,6928.00,195778.00
2026-02-12 08:17:00,0.6900,0.6900,0.7200,0.7200,0.7194,0.7500,761.00,196539.00
2026-02-12 08:18:00,0.7400,0.7400,0.8300,0.8300,0.8072,0.7200,3759.00,197764.00
2026-02-12 08:19:00,0.8300,0.8100,0.8400,0.8200,0.8216,0.8300,11373.00,209033.00
2026-02-12 08:20:00,0.8300,0.7900,0.8300,0.7900,0.8184,0.8200,13925.00,222958.00
2026-02-12 08:21:00,0.7900,0.7700,0.8100,0.7800,0.7832,0.7900,14094.00,237052.00
2026-02-12 08:22:00,0.7800,0.7100,0.7900,0.7100,0.7382,0.7800,4405.00,241357.00
2026-02-12 08:23:00,0.7100,0.7000,0.7200,0.7100,0.7107,0.7100,11592.00,252949.00
2026-02-12 08:24:00,0.7100,0.6900,0.7200,0.7200,0.7065,0.7100,2327.00,255241.00
2026-02-12 08:25:00,0.6900,0.6600,0.7100,0.6800,0.6730,0.7200,1750.00,256991.00
2026-02-12 08:26:00,0.6700,0.6400,0.6800,0.6400,0.6494,0.6800,3922.00,259525.00
2026-02-12 08:27:00,0.6500,0.6300,0.6800,0.6300,0.6341,0.6400,12861.00,270856.00
2026-02-12 08:28:00,0.6300,0.6300,0.6500,0.6500,0.6327,0.6300,2860.00,273665.00
2026-02-12 08:29:00,0.6600,0.6300,0.6700,0.6300,0.6621,0.6500,4625.00,278289.00
