end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 15:02:00,,,,,,0.7000,0.00,156409.00
2026-02-17 15:03:00,,,,,,0.7000,0.00,156409.00
2026-02-17 15:04:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,4.00,156413.00
2026-02-17 15:05:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,138.00,156551.00
2026-02-17 15:06:00,,,,,,0.7000,0.00,156551.00
2026-02-17 15:07:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,10.00,156561.00
2026-02-17 15:08:00,,,,,,0.7000,0.00,156561.00
2026-02-17 15:09:00,,,,,,0.7000,0.00,156561.00
2026-02-17 15:10:00,,,,,,0.7000,0.00,156561.00
2026-02-17 15:11:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,11249.00,167760.00
2026-02-17 15:12:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,64.00,167824.00
2026-02-17 15:13:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,479.00,168303.00
2026-02-17 15:14:00,,,,,,0.7000,0.00,168303.00
2026-02-17 15:15:00,,,,,,0.7000,0.00,168303.00
2026-02-17 15:16:00,,,,,,0.7000,0.00,168303.00
2026-02-17 15:17:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,27.00,168330.00
2026-02-17 15:18:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,14.00,168344.00
2026-02-17 15:19:00,,,,,,0.7000,0.00,168344.00
2026-02-17 15:20:00,,,,,,0.7000,0.00,168344.00
2026-02-17 15:21:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,2243.00,170587.00
2026-02-17 15:22:00,,,,,,0.7000,0.00,170587.00
2026-02-17 15:23:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7000,31.00,170618.00
2026-02-17 15:24:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1579.00,172197.00
2026-02-17 15:25:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,54.00,172251.00
2026-02-17 15:26:00,,,,,,0.7100,0.00,172251.00
2026-02-17 15:27:00,,,,,,0.7100,0.00,172251.00
2026-02-17 15:28:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,172278.00
2026-02-17 15:29:00,,,,,,0.7100,0.00,172278.00
2026-02-17 15:30:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,81.00,172359.00
2026-02-17 15:31:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,178.00,172537.00
2026-02-17 15:32:00,,,,,,0.7100,0.00,172537.00
2026-02-17 15:33:00,,,,,,0.7100,0.00,172537.00
