end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 17:12:00,,,,,,0.4200,0.00,3113.00
2026-02-17 17:14:00,,,,,,0.4200,0.00,3113.00
2026-02-17 17:18:00,0.4200,0.4200,0.4300,0.4300,0.4249,0.4200,3609.00,6722.00
2026-02-17 17:19:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,11.00,6733.00
2026-02-17 17:20:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,180.00,6913.00
2026-02-17 17:21:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,444.00,7357.00
2026-02-17 17:22:00,,,,,,0.4300,0.00,7357.00
2026-02-17 17:23:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,244.00,7601.00
2026-02-17 17:25:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,222.00,7823.00
2026-02-17 17:26:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,45.00,7868.00
2026-02-17 17:27:00,,,,,,0.4300,0.00,7868.00
2026-02-17 17:28:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,28.00,7896.00
2026-02-17 17:29:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,3119.00,11015.00
2026-02-17 17:30:00,0.4300,0.4300,0.4400,0.4400,0.4344,0.4300,4977.00,15992.00
2026-02-17 17:31:00,,,,,,0.4400,0.00,15992.00
2026-02-17 17:33:00,,,,,,0.4400,0.00,15992.00
2026-02-17 17:34:00,,,,,,0.4400,0.00,15992.00
2026-02-17 17:35:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,21.00,16013.00
2026-02-17 17:37:00,,,,,,0.4300,0.00,16013.00
2026-02-17 17:40:00,0.4300,0.4300,0.4400,0.4400,0.4363,0.4300,2400.00,18413.00
2026-02-17 17:41:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,4.00,18409.00
2026-02-17 17:43:00,,,,,,0.4200,0.00,18409.00
2026-02-17 17:45:00,,,,,,0.4200,0.00,18409.00
2026-02-17 17:48:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,25.00,18434.00
2026-02-17 17:49:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1006.00,19440.00
2026-02-17 17:50:00,,,,,,0.4300,0.00,19440.00
2026-02-17 17:51:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,43.00,19483.00
2026-02-17 17:52:00,,,,,,0.4300,0.00,19483.00
2026-02-17 17:53:00,,,,,,0.4300,0.00,19483.00
2026-02-17 17:54:00,,,,,,0.4300,0.00,19483.00
2026-02-17 17:55:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4300,85.00,19568.00
2026-02-17 17:56:00,,,,,,0.4400,0.00,19568.00
2026-02-17 17:57:00,,,,,,0.4400,0.00,19568.00
2026-02-17 17:58:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,223.00,19791.00
2026-02-17 18:01:00,,,,,,0.4400,0.00,19791.00
2026-02-17 18:03:00,,,,,,0.4400,0.00,19791.00
2026-02-17 18:04:00,,,,,,0.4400,0.00,19791.00
2026-02-17 18:05:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,107.00,19898.00
2026-02-17 18:06:00,,,,,,0.4400,0.00,19898.00
2026-02-17 18:07:00,,,,,,0.4400,0.00,19898.00
2026-02-17 18:08:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4400,107.00,19791.00
2026-02-17 18:09:00,,,,,,0.4200,0.00,19791.00
2026-02-17 18:10:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4200,109.00,19900.00
2026-02-17 18:11:00,,,,,,0.4400,0.00,19900.00
2026-02-17 18:13:00,,,,,,0.4400,0.00,19900.00
