end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 17:12:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,9271.00
2026-02-17 17:15:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,57.00,9328.00
2026-02-17 17:16:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,33.00,9361.00
2026-02-17 17:18:00,,,,,,0.5800,0.00,9361.00
2026-02-17 17:19:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,251.00,9612.00
2026-02-17 17:20:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,124.00,9736.00
2026-02-17 17:21:00,,,,,,0.5800,0.00,9736.00
2026-02-17 17:22:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,245.00,9981.00
2026-02-17 17:23:00,,,,,,0.5800,0.00,9981.00
2026-02-17 17:25:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,80.00,10061.00
2026-02-17 17:27:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,15.00,10076.00
2026-02-17 17:28:00,,,,,,0.5800,0.00,10076.00
2026-02-17 17:29:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,122.00,10198.00
2026-02-17 17:30:00,,,,,,0.5800,0.00,10198.00
2026-02-17 17:31:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,124.00,10198.00
2026-02-17 17:33:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,35.00,10198.00
2026-02-17 17:34:00,0.5700,0.5700,0.5800,0.5800,0.5721,0.5800,202.00,10198.00
2026-02-17 17:35:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,167.00,10198.00
2026-02-17 17:36:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,2.00,10198.00
2026-02-17 17:37:00,,,,,,0.5800,0.00,10198.00
2026-02-17 17:38:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,39.00,10198.00
2026-02-17 17:40:00,,,,,,0.5800,0.00,10198.00
2026-02-17 17:41:00,,,,,,0.5800,0.00,10198.00
2026-02-17 17:42:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,24.00,10198.00
2026-02-17 17:43:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,89.00,10198.00
2026-02-17 17:44:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,3.00,10198.00
2026-02-17 17:45:00,0.5800,0.5800,0.5900,0.5900,0.5872,0.5800,3426.00,12660.00
2026-02-17 17:46:00,,,,,,0.5900,0.00,12660.00
2026-02-17 17:48:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,418.00,12660.00
2026-02-17 17:49:00,,,,,,0.5800,0.00,12660.00
2026-02-17 17:50:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,167.00,12661.00
2026-02-17 17:51:00,,,,,,0.5800,0.00,12661.00
2026-02-17 17:52:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5800,8.00,12669.00
2026-02-17 17:53:00,0.5700,0.5700,0.5900,0.5900,0.5772,0.5700,3229.00,15898.00
2026-02-17 17:54:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,406.00,16304.00
2026-02-17 17:55:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,19.00,16323.00
2026-02-17 17:56:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,89.00,16412.00
2026-02-17 17:57:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,16420.00
2026-02-17 17:58:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,101.00,16521.00
2026-02-17 18:00:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,3.00,16524.00
2026-02-17 18:01:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,25.00,16549.00
2026-02-17 18:03:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,334.00,16883.00
2026-02-17 18:04:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,40.00,16923.00
2026-02-17 18:05:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,42.00,16965.00
2026-02-17 18:06:00,,,,,,0.5800,0.00,16965.00
2026-02-17 18:07:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,144.00,17109.00
2026-02-17 18:08:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,84.00,17193.00
2026-02-17 18:09:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,98.00,17291.00
2026-02-17 18:10:00,0.5800,0.5600,0.5800,0.5600,0.5771,0.5800,293.00,17498.00
2026-02-17 18:11:00,,,,,,0.5600,0.00,17498.00
2026-02-17 18:12:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5600,1.00,17499.00
2026-02-17 18:13:00,,,,,,0.5800,0.00,17499.00
2026-02-17 18:14:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,820.00,18319.00
2026-02-17 18:15:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,1.00,18320.00
2026-02-17 18:16:00,,,,,,0.5800,0.00,18320.00
2026-02-17 18:18:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,13.00,18333.00
2026-02-17 18:19:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,50.00,18383.00
2026-02-17 18:20:00,,,,,,0.5800,0.00,18383.00
2026-02-17 18:22:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,16.00,18399.00
2026-02-17 18:23:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,817.00,19216.00
2026-02-17 18:24:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,219.00,19435.00
2026-02-17 18:25:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,238.00,19673.00
2026-02-17 18:26:00,0.5800,0.5800,0.6500,0.6500,0.6224,0.5800,5079.00,24752.00
2026-02-17 18:27:00,0.6300,0.6300,0.7500,0.6800,0.7254,0.6500,697.00,25351.00
2026-02-17 18:28:00,0.7300,0.7000,0.7300,0.7000,0.7008,0.6800,71.00,25353.00
2026-02-17 18:29:00,0.7000,0.7000,0.7100,0.7100,0.7027,0.7000,383.00,25632.00
2026-02-17 18:30:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7100,10.00,25622.00
2026-02-17 18:31:00,0.7200,0.7200,0.7300,0.7300,0.7255,0.6900,60.00,25622.00
2026-02-17 18:32:00,0.7000,0.7000,0.7400,0.7300,0.7337,0.7300,35.00,25638.00
2026-02-17 18:33:00,0.7700,0.6900,0.7700,0.6900,0.7200,0.7300,168.00,25806.00
2026-02-17 18:34:00,0.6500,0.6500,0.6800,0.6800,0.6663,0.6900,112.00,25795.00
2026-02-17 18:35:00,,,,,,0.6800,0.00,25795.00
2026-02-17 18:36:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.6800,26.00,25795.00
2026-02-17 18:37:00,0.7600,0.7400,0.7600,0.7400,0.7586,0.7400,1773.00,27445.00
2026-02-17 18:38:00,0.7400,0.7400,0.8000,0.8000,0.7540,0.7400,279.00,27525.00
2026-02-17 18:39:00,0.8000,0.8000,0.8200,0.8200,0.8074,0.8000,140.00,27527.00
2026-02-17 18:40:00,0.8200,0.8100,0.8200,0.8100,0.8199,0.8200,1900.00,28251.00
2026-02-17 18:41:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,25.00,28274.00
2026-02-17 18:42:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,53.00,28273.00
2026-02-17 18:43:00,0.8600,0.8100,0.8600,0.8100,0.8196,0.8200,968.00,28831.00
2026-02-17 18:44:00,0.8000,0.8000,0.8300,0.8300,0.8040,0.8100,146.00,28739.00
2026-02-17 18:45:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8300,1.00,28740.00
2026-02-17 18:46:00,0.8300,0.7800,0.8700,0.8500,0.8385,0.8500,86.00,28774.00
