end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 12:47:00,,,,,,0.5300,0.00,80307.00
2026-02-16 12:48:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,22.00,80329.00
2026-02-16 12:50:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,62.00,80391.00
2026-02-16 12:52:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,200.00,80591.00
2026-02-16 12:53:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,9.00,80600.00
2026-02-16 12:54:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,258.00,80858.00
2026-02-16 12:56:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,54.00,80912.00
2026-02-16 12:57:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,91.00,81003.00
2026-02-16 12:58:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,45.00,81048.00
2026-02-16 12:59:00,,,,,,0.5300,0.00,81048.00
2026-02-16 13:00:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,18.00,81066.00
2026-02-16 13:01:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,247.00,81313.00
2026-02-16 13:02:00,,,,,,0.5300,0.00,81313.00
2026-02-16 13:03:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,60.00,81373.00
2026-02-16 13:04:00,,,,,,0.5300,0.00,81373.00
2026-02-16 13:05:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,9.00,81382.00
2026-02-16 13:10:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,36.00,81418.00
2026-02-16 13:11:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,28.00,81446.00
2026-02-16 13:13:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,14.00,81460.00
2026-02-16 13:15:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,14.00,81474.00
2026-02-16 13:16:00,,,,,,0.5300,0.00,81474.00
2026-02-16 13:17:00,,,,,,0.5300,0.00,81474.00
2026-02-16 13:19:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,179.00,81653.00
2026-02-16 13:20:00,0.5300,0.5000,0.5300,0.5000,0.5121,0.5300,3342.00,82715.00
2026-02-16 13:21:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5000,92.00,82807.00
2026-02-16 13:22:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,147.00,82954.00
2026-02-16 13:23:00,,,,,,0.5200,0.00,82954.00
2026-02-16 13:24:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,10.00,82964.00
2026-02-16 13:25:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1000.00,83964.00
2026-02-16 13:27:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,5.00,83969.00
2026-02-16 13:28:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,23.00,83992.00
2026-02-16 13:29:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1.00,83993.00
2026-02-16 13:30:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,71.00,84064.00
2026-02-16 13:31:00,,,,,,0.5200,0.00,84064.00
2026-02-16 13:32:00,0.5100,0.5100,0.5200,0.5200,0.5104,0.5200,131.00,83943.00
2026-02-16 13:33:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,944.00,84887.00
2026-02-16 13:34:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,185.00,85072.00
2026-02-16 13:35:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,169.00,85241.00
2026-02-16 13:36:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,46.00,85287.00
2026-02-16 13:37:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,18.00,85305.00
2026-02-16 13:38:00,,,,,,0.5200,0.00,85305.00
2026-02-16 13:39:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,185.00,85490.00
2026-02-16 13:40:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1480.00,86970.00
2026-02-16 13:41:00,,,,,,0.5200,0.00,86970.00
2026-02-16 13:42:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,9.00,86979.00
2026-02-16 13:43:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,175.00,87154.00
2026-02-16 13:45:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,5.00,87159.00
2026-02-16 13:46:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,242.00,87401.00
2026-02-16 13:47:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,770.00,88171.00
2026-02-16 13:48:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,58.00,88229.00
2026-02-16 13:49:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,9.00,88220.00
2026-02-16 13:50:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,186.00,88406.00
2026-02-16 13:51:00,0.5100,0.5100,0.5200,0.5200,0.5184,0.5200,129.00,88515.00
2026-02-16 13:52:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,370.00,88885.00
2026-02-16 13:53:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,50.00,88935.00
2026-02-16 13:56:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,18.00,88953.00
2026-02-16 13:57:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,100.00,89053.00
2026-02-16 13:58:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,2465.00,91518.00
2026-02-16 13:59:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,189.00,91707.00
2026-02-16 14:00:00,,,,,,0.5200,0.00,91707.00
2026-02-16 14:01:00,0.5200,0.5200,0.5300,0.5300,0.5237,0.5200,5342.00,97049.00
2026-02-16 14:02:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,18.00,97067.00
2026-02-16 14:03:00,,,,,,0.5200,0.00,97067.00
2026-02-16 14:04:00,0.5200,0.5100,0.5200,0.5200,0.5190,0.5200,524.00,97491.00
2026-02-16 14:05:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,241.00,97732.00
2026-02-16 14:06:00,,,,,,0.5300,0.00,97732.00
2026-02-16 14:07:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5300,20.00,97732.00
2026-02-16 14:08:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5100,34.00,97766.00
2026-02-16 14:09:00,,,,,,0.5300,0.00,97766.00
2026-02-16 14:10:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,74.00,97840.00
2026-02-16 14:11:00,,,,,,0.5200,0.00,97840.00
2026-02-16 14:12:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,171.00,98011.00
2026-02-16 14:13:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,474.00,98485.00
2026-02-16 14:14:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,9.00,98494.00
2026-02-16 14:15:00,0.5200,0.5200,0.5300,0.5300,0.5229,0.5300,757.00,99251.00
2026-02-16 14:16:00,0.5300,0.5200,0.5300,0.5200,0.5208,0.5300,1128.00,100379.00
2026-02-16 14:17:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,58.00,100437.00
2026-02-16 14:18:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1122.00,101559.00
2026-02-16 14:19:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1933.00,103492.00
2026-02-16 14:20:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,20.00,103512.00
2026-02-16 14:21:00,,,,,,0.5200,0.00,103512.00
2026-02-16 14:23:00,0.5200,0.5100,0.5200,0.5100,0.5166,0.5200,548.00,104060.00
2026-02-16 14:24:00,0.5100,0.5000,0.5100,0.5000,0.5084,0.5100,313.00,104324.00
2026-02-16 14:25:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,37.00,104361.00
2026-02-16 14:26:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5100,28.00,104361.00
2026-02-16 14:27:00,0.5000,0.5000,0.5100,0.5100,0.5096,0.5000,274.00,104635.00
2026-02-16 14:28:00,,,,,,0.5100,0.00,104635.00
2026-02-16 14:29:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,38.00,104673.00
2026-02-16 14:30:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,51.00,104724.00
2026-02-16 14:31:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,284.00,105008.00
2026-02-16 14:32:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,21341.00,126349.00
2026-02-16 14:33:00,0.5100,0.5100,0.5200,0.5100,0.5151,0.5100,1524.00,127873.00
2026-02-16 14:34:00,0.5100,0.5100,0.5200,0.5200,0.5184,0.5100,2084.00,129957.00
2026-02-16 14:35:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,76.00,130033.00
2026-02-16 14:36:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,882.00,130915.00
2026-02-16 14:37:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1880.00,132795.00
2026-02-16 14:38:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5200,116.00,132911.00
2026-02-16 14:39:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,75.00,132986.00
2026-02-16 14:40:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,20.00,133006.00
2026-02-16 14:41:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,337.00,133343.00
2026-02-16 14:42:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,364.00,133707.00
2026-02-16 14:43:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,385.00,134092.00
2026-02-16 14:44:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,500.00,134592.00
2026-02-16 14:45:00,0.5100,0.5100,0.5200,0.5200,0.5145,0.5100,202.00,134794.00
2026-02-16 14:46:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,56.00,134850.00
2026-02-16 14:47:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,45.00,134895.00
2026-02-16 14:48:00,,,,,,0.5200,0.00,134895.00
2026-02-16 14:49:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,37.00,134932.00
2026-02-16 14:51:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,80.00,135012.00
2026-02-16 14:52:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,3.00,135015.00
2026-02-16 14:53:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,59.00,135074.00
2026-02-16 14:54:00,0.5100,0.5100,0.5200,0.5200,0.5184,0.5100,237.00,135311.00
2026-02-16 14:55:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,9.00,135320.00
2026-02-16 14:56:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,90.00,135410.00
2026-02-16 14:57:00,0.5200,0.5100,0.5200,0.5100,0.5180,0.5200,1874.00,137284.00
2026-02-16 14:58:00,0.5100,0.5100,0.5200,0.5200,0.5180,0.5100,233.00,137517.00
2026-02-16 14:59:00,0.5100,0.5100,0.5200,0.5200,0.5102,0.5200,184.00,137701.00
2026-02-16 15:00:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,1780.00,139481.00
2026-02-16 15:01:00,0.5300,0.5200,0.5300,0.5200,0.5296,0.5200,11500.00,150981.00
2026-02-16 15:02:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,2161.00,153142.00
2026-02-16 15:03:00,0.5200,0.5200,0.5300,0.5200,0.5268,0.5200,8790.00,161932.00
2026-02-16 15:04:00,0.5200,0.5100,0.5200,0.5100,0.5198,0.5200,1211.00,163143.00
2026-02-16 15:05:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,268.00,163411.00
2026-02-16 15:06:00,0.5200,0.5100,0.5200,0.5200,0.5197,0.5200,2348.00,165677.00
2026-02-16 15:07:00,0.5200,0.5100,0.5200,0.5200,0.5196,0.5200,1704.00,167368.00
2026-02-16 15:08:00,0.5200,0.5200,0.5300,0.5300,0.5266,0.5200,2300.00,169668.00
2026-02-16 15:09:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,424.00,170092.00
2026-02-16 15:10:00,0.5200,0.5200,0.5300,0.5300,0.5296,0.5200,4811.00,174903.00
2026-02-16 15:11:00,0.5200,0.5200,0.5300,0.5300,0.5275,0.5300,1664.00,176567.00
2026-02-16 15:12:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,3626.00,180193.00
2026-02-16 15:13:00,0.5300,0.5300,0.5400,0.5300,0.5368,0.5300,14743.00,194936.00
2026-02-16 15:14:00,0.5300,0.5100,0.5300,0.5300,0.5299,0.5300,2161.00,197082.00
2026-02-16 15:15:00,0.5100,0.5100,0.5400,0.5400,0.5333,0.5300,3226.00,200290.00
2026-02-16 15:16:00,0.5400,0.5100,0.5400,0.5400,0.5334,0.5400,2424.00,202245.00
2026-02-16 15:17:00,0.5100,0.4500,0.5100,0.4700,0.4873,0.5400,2315.00,204560.00
