end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 09:32:00,,,,,,0.9600,0.00,65486.00
2026-02-17 09:33:00,,,,,,0.9600,0.00,65486.00
2026-02-17 09:34:00,,,,,,0.9600,0.00,65486.00
2026-02-17 09:38:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,986.00,66472.00
2026-02-17 09:39:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,183.00,66655.00
2026-02-17 09:40:00,,,,,,0.9600,0.00,66655.00
2026-02-17 09:41:00,,,,,,0.9600,0.00,66655.00
2026-02-17 09:44:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,11.00,66666.00
2026-02-17 09:45:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,385.00,67051.00
2026-02-17 09:47:00,,,,,,0.9600,0.00,67051.00
2026-02-17 09:52:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,3.00,67054.00
2026-02-17 09:54:00,0.9600,0.9600,0.9600,0.9600,0.9600,0.9600,6068.00,73122.00
2026-02-17 09:55:00,,,,,,0.9600,0.00,73122.00
2026-02-17 09:56:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9600,451.00,73573.00
2026-02-17 10:00:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,6.00,73579.00
2026-02-17 10:01:00,,,,,,0.9700,0.00,73579.00
2026-02-17 10:02:00,,,,,,0.9700,0.00,73579.00
2026-02-17 10:08:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,5.00,73584.00
2026-02-17 10:09:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,169.00,73753.00
2026-02-17 10:10:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,1.00,73754.00
2026-02-17 10:11:00,,,,,,0.9700,0.00,73754.00
2026-02-17 10:12:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,36.00,73790.00
2026-02-17 10:16:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,15.00,73805.00
2026-02-17 10:18:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,73.00,73878.00
2026-02-17 10:27:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,5992.00,79870.00
2026-02-17 10:29:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,8.00,79878.00
2026-02-17 10:30:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,80.00,79958.00
2026-02-17 10:33:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,303.00,80261.00
2026-02-17 10:35:00,,,,,,0.9700,0.00,80261.00
2026-02-17 10:38:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,154.00,80415.00
2026-02-17 10:39:00,0.9700,0.9700,0.9700,0.9700,0.9700,0.9700,6881.00,87284.00
