end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 14:12:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,37643.00
2026-02-16 14:14:00,,,,,,0.5600,0.00,37643.00
2026-02-16 14:15:00,,,,,,0.5600,0.00,37643.00
2026-02-16 14:16:00,,,,,,0.5600,0.00,37643.00
2026-02-16 14:18:00,,,,,,0.5600,0.00,37643.00
2026-02-16 14:20:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,6.00,37649.00
2026-02-16 14:21:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,37650.00
2026-02-16 14:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,51.00,37701.00
2026-02-16 14:24:00,,,,,,0.5600,0.00,37701.00
2026-02-16 14:26:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5600,44.00,37657.00
2026-02-16 14:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5400,23.00,37680.00
2026-02-16 14:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,52.00,37732.00
2026-02-16 14:30:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,37733.00
2026-02-16 14:31:00,,,,,,0.5600,0.00,37733.00
2026-02-16 14:36:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,260.00,37993.00
2026-02-16 14:37:00,,,,,,0.5600,0.00,37993.00
2026-02-16 14:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,4.00,37997.00
2026-02-16 14:39:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,43.00,38040.00
2026-02-16 14:40:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,150.00,38190.00
2026-02-16 14:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10.00,38200.00
2026-02-16 14:42:00,,,,,,0.5600,0.00,38200.00
2026-02-16 14:43:00,,,,,,0.5600,0.00,38200.00
2026-02-16 14:44:00,,,,,,0.5600,0.00,38200.00
2026-02-16 14:45:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,163.00,38363.00
2026-02-16 14:46:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,16.00,38379.00
2026-02-16 14:48:00,,,,,,0.5600,0.00,38379.00
2026-02-16 14:49:00,,,,,,0.5600,0.00,38379.00
2026-02-16 14:51:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,58.00,38437.00
2026-02-16 14:52:00,,,,,,0.5600,0.00,38437.00
2026-02-16 14:53:00,,,,,,0.5600,0.00,38437.00
2026-02-16 14:54:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,38454.00
2026-02-16 14:55:00,,,,,,0.5600,0.00,38454.00
2026-02-16 14:57:00,,,,,,0.5600,0.00,38454.00
2026-02-16 14:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,15.00,38469.00
2026-02-16 14:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,30.00,38499.00
2026-02-16 15:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,75.00,38574.00
2026-02-16 15:01:00,,,,,,0.5600,0.00,38574.00
2026-02-16 15:02:00,,,,,,0.5600,0.00,38574.00
2026-02-16 15:03:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,224.00,38798.00
2026-02-16 15:04:00,,,,,,0.5600,0.00,38798.00
2026-02-16 15:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,26.00,38824.00
2026-02-16 15:06:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,179.00,39003.00
2026-02-16 15:08:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,198.00,39201.00
2026-02-16 15:09:00,,,,,,0.5600,0.00,39201.00
2026-02-16 15:10:00,,,,,,0.5600,0.00,39201.00
2026-02-16 15:12:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,891.00,40092.00
2026-02-16 15:13:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,290.00,40382.00
2026-02-16 15:16:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,40390.00
2026-02-16 15:17:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10.00,40400.00
2026-02-16 15:18:00,,,,,,0.5600,0.00,40400.00
2026-02-16 15:19:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,40450.00
2026-02-16 15:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,362.00,40812.00
2026-02-16 15:24:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,89.00,40901.00
2026-02-16 15:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,22.00,40923.00
2026-02-16 15:26:00,,,,,,0.5600,0.00,40923.00
2026-02-16 15:27:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,275.00,41198.00
2026-02-16 15:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,59.00,41257.00
2026-02-16 15:30:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,119.00,41376.00
2026-02-16 15:31:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,721.00,42097.00
2026-02-16 15:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,356.00,42453.00
2026-02-16 15:33:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,13.00,42466.00
2026-02-16 15:34:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,26.00,42492.00
2026-02-16 15:35:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,11.00,42503.00
2026-02-16 15:36:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1660.00,44163.00
2026-02-16 15:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,729.00,44892.00
2026-02-16 15:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,423.00,45315.00
2026-02-16 15:39:00,0.5600,0.5600,0.5900,0.5700,0.5738,0.5600,5096.00,50411.00
2026-02-16 15:40:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1703.00,52114.00
2026-02-16 15:41:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,45.00,52159.00
2026-02-16 15:42:00,,,,,,0.5700,0.00,52159.00
2026-02-16 15:43:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,100.00,52259.00
2026-02-16 15:44:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,133.00,52392.00
2026-02-16 15:45:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,882.00,53274.00
2026-02-16 15:46:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,338.00,53612.00
2026-02-16 15:47:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,33.00,53645.00
2026-02-16 15:48:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,33.00,53678.00
2026-02-16 15:49:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,53681.00
2026-02-16 15:50:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,254.00,53935.00
2026-02-16 15:51:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,100.00,54035.00
2026-02-16 15:52:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,12.00,54047.00
2026-02-16 15:53:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,425.00,54472.00
2026-02-16 15:54:00,,,,,,0.5700,0.00,54472.00
2026-02-16 15:55:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,86.00,54558.00
2026-02-16 15:56:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,8.00,54566.00
2026-02-16 15:57:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,97.00,54663.00
2026-02-16 15:58:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,143.00,54806.00
2026-02-16 15:59:00,0.5800,0.5700,0.8200,0.8200,0.6433,0.5800,12509.00,67290.00
2026-02-16 16:00:00,0.5800,0.5700,0.5900,0.5800,0.5800,0.8200,3461.00,70707.00
2026-02-16 16:01:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,864.00,71571.00
2026-02-16 16:02:00,,,,,,0.5800,0.00,71571.00
2026-02-16 16:03:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,2211.00,73782.00
2026-02-16 16:04:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,9.00,73791.00
2026-02-16 16:05:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,3326.00,77117.00
2026-02-16 16:06:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1528.00,78645.00
2026-02-16 16:07:00,0.5900,0.5800,0.6000,0.5800,0.5894,0.5900,1151.00,79796.00
2026-02-16 16:08:00,0.6100,0.5900,0.7000,0.5900,0.6580,0.5800,3934.00,83680.00
2026-02-16 16:09:00,0.6000,0.6000,0.6200,0.6000,0.6091,0.5900,3200.00,86880.00
2026-02-16 16:10:00,0.6000,0.5400,0.6200,0.5400,0.5984,0.6000,10278.00,96435.00
2026-02-16 16:11:00,0.5600,0.5200,0.5600,0.5200,0.5307,0.5400,260.00,96645.00
2026-02-16 16:12:00,0.5600,0.5600,0.6000,0.6000,0.5953,0.5200,2487.00,99132.00
2026-02-16 16:13:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,143.00,99275.00
2026-02-16 16:14:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6000,917.00,100192.00
2026-02-16 16:15:00,0.6800,0.6400,0.7000,0.6400,0.6731,0.6700,3011.00,103203.00
