end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 10:57:00,,,,,,0.4500,0.00,13434.00
2026-02-18 10:58:00,,,,,,0.4500,0.00,13434.00
2026-02-18 10:59:00,,,,,,0.4500,0.00,13434.00
2026-02-18 11:00:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,6.00,13440.00
2026-02-18 11:02:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,565.00,13440.00
2026-02-18 11:03:00,,,,,,0.4500,0.00,13440.00
2026-02-18 11:06:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,500.00,13940.00
2026-02-18 11:11:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,25.00,13965.00
2026-02-18 11:14:00,,,,,,0.4600,0.00,13965.00
2026-02-18 11:16:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,47.00,14012.00
2026-02-18 11:18:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,14022.00
2026-02-18 11:21:00,,,,,,0.4600,0.00,14022.00
2026-02-18 11:22:00,,,,,,0.4600,0.00,14022.00
2026-02-18 11:23:00,,,,,,0.4600,0.00,14022.00
2026-02-18 11:24:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1.00,14023.00
2026-02-18 11:25:00,,,,,,0.4600,0.00,14023.00
2026-02-18 11:26:00,,,,,,0.4600,0.00,14023.00
2026-02-18 11:27:00,,,,,,0.4600,0.00,14023.00
2026-02-18 11:28:00,0.4600,0.4600,0.4700,0.4700,0.4688,0.4600,204.00,14227.00
2026-02-18 11:29:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,100.00,14327.00
2026-02-18 11:30:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4700,53.00,14274.00
2026-02-18 11:32:00,,,,,,0.4500,0.00,14274.00
2026-02-18 11:33:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4500,122.00,14396.00
2026-02-18 11:35:00,,,,,,0.4700,0.00,14396.00
2026-02-18 11:36:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,13.00,14399.00
2026-02-18 11:37:00,,,,,,0.4700,0.00,14399.00
2026-02-18 11:38:00,,,,,,0.4700,0.00,14399.00
2026-02-18 11:39:00,0.4500,0.4400,0.4500,0.4400,0.4464,0.4700,638.00,13989.00
2026-02-18 11:40:00,,,,,,0.4400,0.00,13989.00
2026-02-18 11:41:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4400,369.00,13989.00
2026-02-18 11:42:00,,,,,,0.4700,0.00,13989.00
2026-02-18 11:43:00,,,,,,0.4700,0.00,13989.00
2026-02-18 11:45:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,102.00,13989.00
2026-02-18 11:47:00,,,,,,0.4700,0.00,13989.00
2026-02-18 11:49:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,13989.00
2026-02-18 11:50:00,,,,,,0.4700,0.00,13989.00
2026-02-18 11:51:00,,,,,,0.4700,0.00,13989.00
2026-02-18 11:52:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,205.00,14147.00
