end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 10:56:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,575.00,18230.00
2026-02-18 10:57:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,18280.00
2026-02-18 10:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,92.00,18372.00
2026-02-18 10:59:00,,,,,,0.5600,0.00,18372.00
2026-02-18 11:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,25.00,18397.00
2026-02-18 11:01:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,253.00,18650.00
2026-02-18 11:02:00,,,,,,0.5600,0.00,18650.00
2026-02-18 11:03:00,0.5500,0.5400,0.5500,0.5400,0.5436,0.5600,1055.00,19384.00
2026-02-18 11:04:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,1.00,19385.00
2026-02-18 11:06:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,8.00,19393.00
2026-02-18 11:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,32.00,19425.00
2026-02-18 11:09:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,176.00,19601.00
2026-02-18 11:10:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,13.00,19614.00
2026-02-18 11:11:00,,,,,,0.5500,0.00,19614.00
2026-02-18 11:12:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,26.00,19640.00
2026-02-18 11:14:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,9.00,19649.00
2026-02-18 11:15:00,,,,,,0.5500,0.00,19649.00
2026-02-18 11:16:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,59.00,19708.00
2026-02-18 11:17:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,25.00,19733.00
2026-02-18 11:18:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,3.00,19736.00
2026-02-18 11:20:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,100.00,19836.00
2026-02-18 11:21:00,,,,,,0.5500,0.00,19836.00
2026-02-18 11:22:00,,,,,,0.5500,0.00,19836.00
2026-02-18 11:23:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,187.00,20023.00
2026-02-18 11:24:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,176.00,20199.00
2026-02-18 11:25:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,10.00,20209.00
2026-02-18 11:27:00,,,,,,0.5500,0.00,20209.00
