end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 09:11:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,31.00,54379.00
2026-02-18 09:12:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0300,591.00,54970.00
2026-02-18 09:13:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,40.00,55010.00
2026-02-18 09:14:00,0.0300,0.0300,0.0400,0.0400,0.0307,0.0300,151.00,55161.00
2026-02-18 09:17:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,60.00,55221.00
2026-02-18 09:19:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,150.00,55371.00
2026-02-18 09:21:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,17.00,55388.00
2026-02-18 09:22:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,187.00,55575.00
2026-02-18 09:23:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,11.00,55586.00
2026-02-18 09:24:00,,,,,,0.0300,0.00,55586.00
2026-02-18 09:25:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0300,32.00,55618.00
2026-02-18 09:26:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,206.00,55824.00
2026-02-18 09:27:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,800.00,56324.00
2026-02-18 09:28:00,,,,,,0.0300,0.00,56324.00
2026-02-18 09:29:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0300,472.00,56796.00
2026-02-18 09:30:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,16.00,56812.00
2026-02-18 09:31:00,,,,,,0.0400,0.00,56812.00
2026-02-18 09:32:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,33.00,56845.00
2026-02-18 09:33:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,2004.00,58849.00
2026-02-18 09:34:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,122.00,58971.00
2026-02-18 09:35:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,405.00,58971.00
2026-02-18 09:36:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0300,937.00,59908.00
2026-02-18 09:37:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,5500.00,65408.00
2026-02-18 09:38:00,,,,,,0.0400,0.00,65408.00
2026-02-18 09:39:00,,,,,,0.0400,0.00,65408.00
2026-02-18 09:40:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,319.00,65727.00
2026-02-18 09:41:00,,,,,,0.0400,0.00,65727.00
2026-02-18 09:42:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,125.00,65852.00
2026-02-18 09:43:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,68.00,65920.00
2026-02-18 09:46:00,,,,,,0.0400,0.00,65920.00
2026-02-18 09:47:00,0.0300,0.0300,0.0300,0.0300,0.0300,0.0400,1281.00,67180.00
2026-02-18 09:48:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0300,23.00,67203.00
2026-02-18 09:49:00,,,,,,0.0400,0.00,67203.00
2026-02-18 09:50:00,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,608.00,67811.00
