end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-19 11:26:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,110.00,17486.00
2026-02-19 11:27:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,90.00,17576.00
2026-02-19 11:28:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,30.00,17606.00
2026-02-19 11:29:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,70.00,17676.00
2026-02-19 11:30:00,0.3400,0.3400,0.3500,0.3400,0.3490,0.3400,303.00,17979.00
2026-02-19 11:31:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,40.00,18019.00
2026-02-19 11:32:00,0.3500,0.3400,0.3500,0.3400,0.3475,0.3400,40.00,18059.00
2026-02-19 11:33:00,0.3400,0.3400,0.3500,0.3400,0.3425,0.3400,53.00,18112.00
2026-02-19 11:35:00,,,,,,0.3400,0.00,18112.00
2026-02-19 11:37:00,0.3500,0.3400,0.3500,0.3400,0.3460,0.3400,363.00,18475.00
2026-02-19 11:38:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,147.00,18622.00
2026-02-19 11:39:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,13.00,18635.00
2026-02-19 11:40:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,570.00,19205.00
2026-02-19 11:41:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,50.00,19255.00
2026-02-19 11:42:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,10.00,19265.00
2026-02-19 11:43:00,,,,,,0.3400,0.00,19265.00
2026-02-19 11:44:00,,,,,,0.3400,0.00,19265.00
2026-02-19 11:45:00,,,,,,0.3400,0.00,19265.00
2026-02-19 11:46:00,,,,,,0.3400,0.00,19265.00
2026-02-19 11:47:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,19.00,19284.00
2026-02-19 11:48:00,,,,,,0.3500,0.00,19284.00
2026-02-19 11:49:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,370.00,19294.00
2026-02-19 11:50:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,386.00,19320.00
2026-02-19 11:51:00,,,,,,0.3400,0.00,19320.00
2026-02-19 11:52:00,,,,,,0.3400,0.00,19320.00
2026-02-19 11:53:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,19.00,19320.00
2026-02-19 11:54:00,,,,,,0.3400,0.00,19320.00
2026-02-19 11:55:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,309.00,19330.00
2026-02-19 11:56:00,,,,,,0.3400,0.00,19330.00
2026-02-19 11:59:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,10.00,19340.00
2026-02-19 12:00:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,533.00,19873.00
2026-02-19 12:01:00,,,,,,0.3500,0.00,19873.00
2026-02-19 12:06:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,25.00,19883.00
2026-02-19 12:07:00,,,,,,0.3400,0.00,19883.00
2026-02-19 12:08:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,54.00,19937.00
2026-02-19 12:09:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,50.00,19987.00
2026-02-19 12:11:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,572.00,20559.00
2026-02-19 12:13:00,,,,,,0.3500,0.00,20559.00
2026-02-19 12:14:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,27.00,20586.00
2026-02-19 12:15:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,26.00,20612.00
2026-02-19 12:16:00,,,,,,0.3500,0.00,20612.00
2026-02-19 12:17:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,28.00,20640.00
2026-02-19 12:18:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,40.00,20680.00
