end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 17:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,59897.00
2026-02-20 17:04:00,0.6300,0.6300,0.6400,0.6400,0.6302,0.6400,777.00,59250.00
2026-02-20 17:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,192.00,59442.00
2026-02-20 17:08:00,,,,,,0.6400,0.00,59442.00
2026-02-20 17:09:00,,,,,,0.6400,0.00,59442.00
2026-02-20 17:10:00,,,,,,0.6400,0.00,59442.00
2026-02-20 17:11:00,,,,,,0.6400,0.00,59442.00
2026-02-20 17:12:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,81.00,59523.00
2026-02-20 17:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,53.00,59576.00
2026-02-20 17:14:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2301.00,61877.00
2026-02-20 17:15:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,27.00,61904.00
2026-02-20 17:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,4907.00,66811.00
2026-02-20 17:17:00,0.6400,0.6300,0.6400,0.6300,0.6400,0.6400,1526.00,68335.00
2026-02-20 17:18:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,35.00,68370.00
2026-02-20 17:19:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,160.00,68530.00
2026-02-20 17:20:00,,,,,,0.6400,0.00,68530.00
2026-02-20 17:21:00,,,,,,0.6400,0.00,68530.00
2026-02-20 17:22:00,,,,,,0.6400,0.00,68530.00
2026-02-20 17:23:00,,,,,,0.6400,0.00,68530.00
2026-02-20 17:24:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1.00,68531.00
2026-02-20 17:25:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,323.00,68854.00
2026-02-20 17:26:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,22.00,68876.00
2026-02-20 17:27:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,417.00,69293.00
2026-02-20 17:28:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,20.00,69313.00
2026-02-20 17:29:00,,,,,,0.6400,0.00,69313.00
2026-02-20 17:30:00,,,,,,0.6400,0.00,69313.00
2026-02-20 17:31:00,,,,,,0.6400,0.00,69313.00
2026-02-20 17:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,164.00,69477.00
2026-02-20 17:33:00,,,,,,0.6400,0.00,69477.00
2026-02-20 17:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,69492.00
2026-02-20 17:35:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,21.00,69513.00
2026-02-20 17:36:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,194.00,69707.00
2026-02-20 17:37:00,,,,,,0.6400,0.00,69707.00
2026-02-20 17:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,14.00,69721.00
2026-02-20 17:39:00,,,,,,0.6400,0.00,69721.00
2026-02-20 17:40:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,959.00,70680.00
2026-02-20 17:41:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,332.00,71012.00
2026-02-20 17:42:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,100.00,71112.00
2026-02-20 17:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15464.00,86576.00
2026-02-20 17:44:00,0.6300,0.6300,0.6400,0.6400,0.6390,0.6400,1804.00,88041.00
2026-02-20 17:45:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,652.00,88693.00
2026-02-20 17:46:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,866.00,89559.00
2026-02-20 17:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,90.00,89649.00
2026-02-20 17:48:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,6860.00,96509.00
2026-02-20 17:49:00,,,,,,0.6400,0.00,96509.00
2026-02-20 17:50:00,0.6500,0.6400,0.6500,0.6500,0.6485,0.6400,188.00,96669.00
2026-02-20 17:51:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,308.00,96977.00
2026-02-20 17:52:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,313.00,97290.00
2026-02-20 17:53:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1295.00,98585.00
2026-02-20 17:54:00,0.6500,0.6400,0.6500,0.6400,0.6453,0.6500,358.00,98774.00
2026-02-20 17:55:00,0.6400,0.6400,0.6500,0.6500,0.6401,0.6400,1136.00,99910.00
