end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-23 08:08:00,,,,,,0.8300,0.00,71797.00
2026-02-23 08:11:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,300.00,72097.00
2026-02-23 08:13:00,,,,,,0.8300,0.00,72097.00
2026-02-23 08:14:00,,,,,,0.8300,0.00,72097.00
2026-02-23 08:15:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,10.00,72107.00
2026-02-23 08:16:00,,,,,,0.8300,0.00,72107.00
2026-02-23 08:19:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1062.00,73169.00
2026-02-23 08:20:00,,,,,,0.8300,0.00,73169.00
2026-02-23 08:21:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,9.00,73178.00
2026-02-23 08:24:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,238.00,73416.00
2026-02-23 08:26:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,15.00,73431.00
2026-02-23 08:31:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1666.00,75097.00
2026-02-23 08:32:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,2440.00,77537.00
2026-02-23 08:33:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,769.00,78306.00
2026-02-23 08:39:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8300,1.00,78307.00
2026-02-23 08:40:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8200,1183.00,79490.00
2026-02-23 08:41:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,100.00,79590.00
2026-02-23 08:42:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,47.00,79637.00
2026-02-23 08:45:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,35.00,79672.00
2026-02-23 08:48:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,541.00,80213.00
2026-02-23 08:49:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,2.00,80215.00
2026-02-23 08:52:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,11.00,80226.00
2026-02-23 08:54:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,191.00,80417.00
2026-02-23 08:55:00,,,,,,0.8300,0.00,80417.00
2026-02-23 08:56:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,2481.00,82898.00
2026-02-23 08:57:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,252.00,83150.00
2026-02-23 09:00:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,5.00,83155.00
2026-02-23 09:01:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,10130.00,93285.00
2026-02-23 09:02:00,,,,,,0.8300,0.00,93285.00
2026-02-23 09:03:00,,,,,,0.8300,0.00,93285.00
2026-02-23 09:04:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,23.00,93308.00
2026-02-23 09:05:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,296.00,93604.00
2026-02-23 09:06:00,,,,,,0.8300,0.00,93604.00
2026-02-23 09:07:00,,,,,,0.8300,0.00,93604.00
2026-02-23 09:08:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,291.00,93895.00
2026-02-23 09:09:00,,,,,,0.8300,0.00,93895.00
2026-02-23 09:10:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,701.00,94596.00
2026-02-23 09:11:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,7.00,94603.00
2026-02-23 09:12:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,33.00,94636.00
2026-02-23 09:13:00,,,,,,0.8300,0.00,94636.00
2026-02-23 09:14:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,41.00,94677.00
2026-02-23 09:15:00,,,,,,0.8300,0.00,94677.00
2026-02-23 09:16:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,45.00,94722.00
2026-02-23 09:17:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,332.00,95054.00
2026-02-23 09:18:00,,,,,,0.8300,0.00,95054.00
2026-02-23 09:19:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,24.00,95078.00
2026-02-23 09:20:00,,,,,,0.8300,0.00,95078.00
2026-02-23 09:21:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,67.00,95145.00
2026-02-23 09:22:00,,,,,,0.8300,0.00,95145.00
2026-02-23 09:23:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,59.00,95204.00
2026-02-23 09:24:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,7.00,95211.00
2026-02-23 09:25:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,15.00,95226.00
2026-02-23 09:26:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1792.00,97018.00
2026-02-23 09:27:00,,,,,,0.8300,0.00,97018.00
2026-02-23 09:28:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,793.00,97811.00
2026-02-23 09:29:00,,,,,,0.8300,0.00,97811.00
2026-02-23 09:30:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,15.00,97826.00
2026-02-23 09:31:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,6309.00,104135.00
2026-02-23 09:32:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,67.00,104202.00
2026-02-23 09:33:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,58.00,104260.00
2026-02-23 09:34:00,,,,,,0.8300,0.00,104260.00
2026-02-23 09:35:00,,,,,,0.8300,0.00,104260.00
2026-02-23 09:36:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,321.00,104581.00
2026-02-23 09:37:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,310.00,104891.00
2026-02-23 09:38:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,828.00,105719.00
2026-02-23 09:39:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1475.00,107194.00
2026-02-23 09:40:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,2950.00,110144.00
2026-02-23 09:41:00,,,,,,0.8300,0.00,110144.00
2026-02-23 09:42:00,,,,,,0.8300,0.00,110144.00
2026-02-23 09:43:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,2689.00,112833.00
2026-02-23 09:44:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1.00,112834.00
2026-02-23 09:45:00,,,,,,0.8300,0.00,112834.00
2026-02-23 09:46:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,29.00,112863.00
2026-02-23 09:47:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,208.00,113071.00
2026-02-23 09:48:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,325.00,113396.00
2026-02-23 09:49:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1218.00,114614.00
2026-02-23 09:50:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,151.00,114765.00
