end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 21:12:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:14:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:15:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:16:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:17:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:18:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:19:00,,,,,,0.3900,0.00,5895.00
2026-02-24 21:20:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,2570.00,8420.00
2026-02-24 21:21:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:22:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:23:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:24:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:25:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:26:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:27:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:28:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:29:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:31:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:32:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:33:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:34:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:35:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:36:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:37:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:38:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:39:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:40:00,,,,,,0.3900,0.00,8420.00
2026-02-24 21:41:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,47.00,8467.00
2026-02-24 21:42:00,,,,,,0.3900,0.00,8467.00
2026-02-24 21:43:00,,,,,,0.3900,0.00,8467.00
2026-02-24 21:44:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,132.00,8599.00
2026-02-24 21:45:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,9.00,8608.00
2026-02-24 21:46:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:47:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:48:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:49:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:50:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:51:00,,,,,,0.3900,0.00,8608.00
2026-02-24 21:52:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,47.00,8608.00
2026-02-24 21:53:00,0.3800,0.3800,0.3900,0.3900,0.3820,0.3800,25.00,8633.00
2026-02-24 21:54:00,,,,,,0.3900,0.00,8633.00
2026-02-24 21:55:00,,,,,,0.3900,0.00,8633.00
2026-02-24 21:56:00,,,,,,0.3900,0.00,8633.00
2026-02-24 21:57:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,1.00,8634.00
2026-02-24 21:58:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,5.00,8639.00
2026-02-24 21:59:00,,,,,,0.3900,0.00,8639.00
2026-02-24 22:00:00,,,,,,0.3900,0.00,8639.00
2026-02-24 22:01:00,,,,,,0.3900,0.00,8639.00
2026-02-24 22:02:00,,,,,,0.3900,0.00,8639.00
2026-02-24 22:03:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,361.00,9000.00
2026-02-24 22:04:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,130.00,9000.00
2026-02-24 22:06:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,880.00,9880.00
2026-02-24 22:07:00,,,,,,0.3900,0.00,9880.00
2026-02-24 22:08:00,,,,,,0.3900,0.00,9880.00
2026-02-24 22:09:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,61.00,9941.00
2026-02-24 22:10:00,,,,,,0.3900,0.00,9941.00
2026-02-24 22:11:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,8.00,9949.00
2026-02-24 22:12:00,,,,,,0.3800,0.00,9949.00
2026-02-24 22:13:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,20.00,9949.00
2026-02-24 22:14:00,,,,,,0.3900,0.00,9949.00
2026-02-24 22:15:00,,,,,,0.3900,0.00,9949.00
2026-02-24 22:16:00,,,,,,0.3900,0.00,9949.00
2026-02-24 22:17:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,48.00,9997.00
2026-02-24 22:18:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,243.00,10240.00
2026-02-24 22:19:00,,,,,,0.3900,0.00,10240.00
2026-02-24 22:20:00,,,,,,0.3900,0.00,10240.00
2026-02-24 22:21:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,12.00,10252.00
2026-02-24 22:22:00,,,,,,0.3900,0.00,10252.00
2026-02-24 22:23:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,6.00,10258.00
2026-02-24 22:24:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,8.00,10266.00
2026-02-24 22:25:00,,,,,,0.3900,0.00,10266.00
2026-02-24 22:26:00,,,,,,0.3900,0.00,10266.00
2026-02-24 22:27:00,,,,,,0.3900,0.00,10266.00
2026-02-24 22:28:00,,,,,,0.3900,0.00,10266.00
2026-02-24 22:29:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,3.00,10269.00
2026-02-24 22:30:00,,,,,,0.3800,0.00,10269.00
2026-02-24 22:31:00,,,,,,0.3800,0.00,10269.00
2026-02-24 22:32:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,50.00,10319.00
2026-02-24 22:33:00,,,,,,0.3900,0.00,10319.00
2026-02-24 22:34:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,3.00,10322.00
