end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 16:57:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,76.00,2407.00
2026-02-22 17:02:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,20.00,2427.00
2026-02-22 17:03:00,,,,,,0.3000,0.00,2427.00
2026-02-22 17:05:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,25.00,2452.00
2026-02-22 17:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,127.00,2579.00
2026-02-22 17:14:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,140.00,2719.00
2026-02-22 17:25:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,500.00,3219.00
2026-02-22 17:35:00,,,,,,0.3000,0.00,3219.00
2026-02-22 17:47:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,25.00,3244.00
2026-02-22 17:48:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,238.00,3482.00
2026-02-22 17:50:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,318.00,3800.00
2026-02-22 17:58:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3000,25.00,3800.00
2026-02-22 18:02:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,3800.00
2026-02-22 18:07:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,27.00,3800.00
2026-02-22 18:08:00,,,,,,0.3100,0.00,3800.00
2026-02-22 18:09:00,,,,,,0.3100,0.00,3800.00
2026-02-22 18:10:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,3800.00
2026-02-22 18:11:00,,,,,,0.3100,0.00,3800.00
2026-02-22 18:12:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,132.00,3800.00
2026-02-22 18:13:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,1573.00,5031.00
2026-02-22 18:14:00,0.3100,0.3100,0.3300,0.3300,0.3205,0.3100,1404.00,6435.00
2026-02-22 18:15:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,75.00,6510.00
2026-02-22 18:16:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,519.00,7029.00
2026-02-22 18:17:00,0.3300,0.3200,0.3300,0.3200,0.3237,0.3300,195.00,7224.00
2026-02-22 18:18:00,0.3200,0.3100,0.3200,0.3100,0.3125,0.3200,1348.00,8572.00
2026-02-22 18:19:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,8587.00
2026-02-22 18:20:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,509.00,9096.00
2026-02-22 18:21:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,273.00,9369.00
2026-02-22 18:22:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,221.00,9590.00
2026-02-22 18:23:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,62.00,9652.00
2026-02-22 18:24:00,0.3100,0.3100,0.3200,0.3200,0.3102,0.3100,689.00,10341.00
2026-02-22 18:25:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,83.00,10424.00
2026-02-22 18:26:00,0.3100,0.3100,0.3200,0.3200,0.3200,0.3200,300.00,10724.00
2026-02-22 18:27:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,60.00,10784.00
2026-02-22 18:28:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,518.00,11302.00
2026-02-22 18:29:00,,,,,,0.3200,0.00,11302.00
2026-02-22 18:30:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3200,298.00,11004.00
2026-02-22 18:31:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3000,17.00,11021.00
2026-02-22 18:32:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,59.00,11080.00
2026-02-22 18:33:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,35.00,11115.00
2026-02-22 18:34:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,147.00,11262.00
2026-02-22 18:35:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,147.00,11409.00
2026-02-22 18:36:00,,,,,,0.3200,0.00,11409.00
2026-02-22 18:37:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,39.00,11448.00
2026-02-22 18:38:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,61.00,11509.00
2026-02-22 18:39:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,48.00,11557.00
2026-02-22 18:40:00,,,,,,0.3100,0.00,11557.00
2026-02-22 18:41:00,,,,,,0.3100,0.00,11557.00
2026-02-22 18:42:00,0.3100,0.3000,0.3100,0.3000,0.3050,0.3100,30.00,11557.00
2026-02-22 18:43:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,50.00,11607.00
2026-02-22 18:44:00,0.3000,0.3000,0.3100,0.3100,0.3011,0.3000,112.00,11719.00
2026-02-22 18:45:00,0.3100,0.3000,0.3100,0.3100,0.3047,0.3100,115.00,11834.00
2026-02-22 18:46:00,,,,,,0.3100,0.00,11834.00
2026-02-22 18:47:00,,,,,,0.3100,0.00,11834.00
2026-02-22 18:48:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,917.00,12751.00
2026-02-22 18:49:00,0.3000,0.3000,0.3100,0.3100,0.3079,0.3000,135.00,12886.00
2026-02-22 18:50:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,515.00,13401.00
2026-02-22 18:51:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,307.00,13708.00
2026-02-22 18:52:00,0.3100,0.3100,0.3200,0.3200,0.3120,0.3100,631.00,14339.00
2026-02-22 18:53:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,370.00,14709.00
2026-02-22 18:54:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3200,11.00,14720.00
2026-02-22 18:55:00,0.3300,0.3300,0.3400,0.3300,0.3370,0.3300,566.00,15245.00
2026-02-22 18:56:00,,,,,,0.3300,0.00,15245.00
2026-02-22 18:57:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,116.00,15361.00
2026-02-22 18:58:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,104.00,15465.00
2026-02-22 19:00:00,,,,,,0.3300,0.00,15465.00
2026-02-22 19:01:00,0.3200,0.3200,0.3400,0.3400,0.3201,0.3300,152.00,15617.00
2026-02-22 19:02:00,0.3400,0.3100,0.3400,0.3100,0.3203,0.3400,569.00,16186.00
2026-02-22 19:03:00,0.3300,0.3300,0.3400,0.3400,0.3347,0.3100,554.00,16729.00
2026-02-22 19:04:00,0.3400,0.3300,0.3500,0.3500,0.3424,0.3400,447.00,17176.00
2026-02-22 19:05:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,22.00,17198.00
2026-02-22 19:06:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,33.00,17231.00
2026-02-22 19:07:00,0.3000,0.2800,0.3000,0.2900,0.2840,0.3400,82.00,17303.00
2026-02-22 19:08:00,0.3000,0.2900,0.3100,0.3100,0.2971,0.2900,2034.00,19337.00
2026-02-22 19:09:00,0.3100,0.2600,0.3200,0.2700,0.2991,0.3100,2281.00,21605.00
2026-02-22 19:10:00,0.2700,0.2700,0.3300,0.3200,0.2878,0.2700,4011.00,25606.00
2026-02-22 19:11:00,0.2900,0.2600,0.2900,0.2700,0.2764,0.3200,1002.00,26549.00
2026-02-22 19:12:00,0.2700,0.2400,0.2700,0.2400,0.2621,0.2700,1057.00,27605.00
2026-02-22 19:13:00,0.2400,0.1500,0.2400,0.2000,0.2101,0.2400,1807.00,29371.00
2026-02-22 19:14:00,0.2000,0.1500,0.2000,0.1600,0.1727,0.2000,720.00,29935.00
2026-02-22 19:15:00,0.1700,0.1300,0.1700,0.1300,0.1662,0.1600,434.00,30339.00
2026-02-22 19:16:00,0.1300,0.1300,0.1600,0.1600,0.1518,0.1300,866.00,31093.00
2026-02-22 19:17:00,0.2100,0.1500,0.2100,0.1500,0.1595,0.1600,1569.00,32662.00
2026-02-22 19:18:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,1617.00,34279.00
2026-02-22 19:19:00,0.1900,0.1100,0.1900,0.1300,0.1294,0.1500,268.00,34486.00
2026-02-22 19:20:00,0.1300,0.1200,0.1800,0.1400,0.1327,0.1300,3447.00,37924.00
2026-02-22 19:21:00,0.1400,0.1200,0.1500,0.1400,0.1369,0.1400,519.00,38443.00
2026-02-22 19:22:00,0.1200,0.1000,0.1200,0.1000,0.1070,0.1400,2385.00,40394.00
2026-02-22 19:23:00,0.1000,0.0600,0.1000,0.0900,0.0884,0.1000,5165.00,44266.00
2026-02-22 19:24:00,0.0900,0.0900,0.1000,0.1000,0.0903,0.0900,6176.00,50442.00
2026-02-22 19:25:00,0.1000,0.0800,0.1000,0.0800,0.0901,0.1000,6068.00,56433.00
2026-02-22 19:26:00,0.0900,0.0800,0.0900,0.0900,0.0899,0.0800,6425.00,62762.00
2026-02-22 19:27:00,0.0900,0.0900,0.1000,0.1000,0.0988,0.0900,4032.00,66794.00
2026-02-22 19:28:00,0.1000,0.0900,0.1100,0.1100,0.1003,0.1000,6120.00,72654.00
2026-02-22 19:29:00,0.0900,0.0800,0.1100,0.1000,0.0967,0.1100,3974.00,76263.00
2026-02-22 19:30:00,0.1000,0.0700,0.1600,0.1600,0.1120,0.1000,19595.00,94540.00
2026-02-22 19:31:00,0.0900,0.0700,0.1600,0.1100,0.0934,0.1600,5371.00,99416.00
2026-02-22 19:32:00,0.1000,0.0900,0.1100,0.1100,0.0998,0.1100,3498.00,102914.00
2026-02-22 19:33:00,0.1100,0.0800,0.1200,0.1100,0.1130,0.1100,5950.00,107289.00
2026-02-22 19:34:00,0.1100,0.0800,0.2100,0.0900,0.1177,0.1100,7495.00,114477.00
2026-02-22 19:35:00,0.0900,0.0800,0.1100,0.0900,0.1006,0.0900,3074.00,116232.00
2026-02-22 19:36:00,0.0900,0.0800,0.1100,0.1100,0.1082,0.0900,2487.00,118650.00
2026-02-22 19:37:00,0.1100,0.0800,0.1700,0.1100,0.1104,0.1100,8651.00,127122.00
2026-02-22 19:38:00,0.1100,0.0800,0.1700,0.0900,0.1181,0.1100,3240.00,130052.00
2026-02-22 19:39:00,0.1100,0.1100,0.1500,0.1300,0.1329,0.0900,3602.00,133654.00
2026-02-22 19:40:00,0.1300,0.1000,0.1400,0.1000,0.1351,0.1300,3787.00,137344.00
2026-02-22 19:41:00,0.1200,0.1200,0.1700,0.1700,0.1406,0.1000,4003.00,138604.00
2026-02-22 19:42:00,0.1700,0.1600,0.3700,0.1800,0.2321,0.1700,12226.00,147838.00
2026-02-22 19:43:00,0.1800,0.1600,0.3200,0.2800,0.2428,0.1800,7513.00,154864.00
2026-02-22 19:44:00,0.2100,0.1600,0.2800,0.2100,0.2027,0.2800,7819.00,162462.00
2026-02-22 19:45:00,0.2100,0.1800,0.3900,0.2500,0.2468,0.2100,12979.00,171008.00
2026-02-22 19:46:00,0.2500,0.2200,0.4200,0.2900,0.3157,0.2500,11412.00,180968.00
2026-02-22 19:47:00,0.2800,0.2600,0.3500,0.3200,0.2999,0.2900,6924.00,187015.00
2026-02-22 19:48:00,0.2600,0.2600,0.3200,0.3000,0.3003,0.3200,6342.00,193023.00
2026-02-22 19:49:00,0.3000,0.2800,0.4000,0.3800,0.3230,0.3000,7518.00,200164.00
2026-02-22 19:50:00,0.3300,0.3200,0.5000,0.3900,0.4073,0.3800,14697.00,212676.00
2026-02-22 19:51:00,0.4800,0.3500,0.5000,0.3500,0.4196,0.3900,10549.00,222366.00
2026-02-22 19:52:00,0.4000,0.3800,0.5100,0.4500,0.4410,0.3500,15266.00,234630.00
2026-02-22 19:53:00,0.4500,0.4000,0.5900,0.4700,0.5052,0.4500,17363.00,250500.00
2026-02-22 19:54:00,0.4700,0.4000,0.5800,0.4100,0.4301,0.4700,14045.00,259273.00
2026-02-22 19:55:00,0.4000,0.4000,0.5300,0.4300,0.4211,0.4100,18715.00,272908.00
2026-02-22 19:56:00,0.4200,0.3200,0.4700,0.4600,0.4097,0.4300,7180.00,277413.00
2026-02-22 19:57:00,0.4200,0.3500,0.4400,0.4100,0.3902,0.4600,4027.00,281262.00
2026-02-22 19:58:00,0.4100,0.3900,0.5100,0.4700,0.4490,0.4100,8354.00,289068.00
2026-02-22 19:59:00,0.4800,0.4000,0.4800,0.4500,0.4432,0.4700,8398.00,296210.00
2026-02-22 20:00:00,0.4600,0.3900,0.5300,0.4300,0.4790,0.4500,14162.00,302718.00
2026-02-22 20:01:00,0.4200,0.3800,0.4600,0.4400,0.4157,0.4300,2563.00,304012.00
2026-02-22 20:02:00,0.4400,0.4100,0.4800,0.4700,0.4507,0.4400,3102.00,306373.00
2026-02-22 20:03:00,0.4100,0.4000,0.5200,0.4900,0.4814,0.4700,4366.00,310115.00
2026-02-22 20:04:00,0.4700,0.3800,0.5300,0.4700,0.5013,0.4900,11179.00,317670.00
2026-02-22 20:05:00,0.4700,0.4000,0.4900,0.4600,0.4443,0.4700,3171.00,319455.00
2026-02-22 20:06:00,0.4000,0.3500,0.4500,0.3900,0.3958,0.4600,3833.00,321145.00
2026-02-22 20:07:00,0.3600,0.3100,0.4300,0.3800,0.3654,0.3900,9236.00,323710.00
2026-02-22 20:08:00,0.3800,0.3000,0.3800,0.3000,0.3441,0.3800,4939.00,326311.00
2026-02-22 20:09:00,0.3400,0.2700,0.3500,0.3200,0.3237,0.3000,7162.00,327268.00
2026-02-22 20:10:00,0.3300,0.3300,0.3800,0.3500,0.3464,0.3200,6560.00,333283.00
2026-02-22 20:11:00,0.3500,0.3000,0.3900,0.3200,0.3622,0.3500,3987.00,336388.00
2026-02-22 20:12:00,0.3600,0.3400,0.3900,0.3900,0.3681,0.3200,2511.00,338749.00
2026-02-22 20:13:00,0.3800,0.2300,0.4100,0.2800,0.3382,0.3900,8307.00,338657.00
2026-02-22 20:14:00,0.2800,0.1400,0.2900,0.1600,0.1900,0.2800,7105.00,337565.00
2026-02-22 20:15:00,0.1600,0.1500,0.2400,0.2000,0.1852,0.1600,9134.00,341225.00
2026-02-22 20:16:00,0.1900,0.1500,0.2600,0.1800,0.1953,0.2000,15629.00,353494.00
2026-02-22 20:17:00,0.2300,0.1000,0.2300,0.1500,0.1539,0.1800,11827.00,354467.00
2026-02-22 20:18:00,0.1200,0.0800,0.1500,0.1100,0.1264,0.1500,11626.00,361462.00
2026-02-22 20:19:00,0.1100,0.1000,0.1900,0.1400,0.1352,0.1100,14454.00,371267.00
2026-02-22 20:20:00,0.1400,0.0900,0.1700,0.1300,0.1113,0.1400,12029.00,373302.00
2026-02-22 20:21:00,0.1400,0.1300,0.1700,0.1700,0.1519,0.1300,26247.00,394428.00
2026-02-22 20:22:00,0.1700,0.1500,0.1800,0.1800,0.1719,0.1700,6711.00,398748.00
2026-02-22 20:23:00,0.1800,0.1700,0.2000,0.1700,0.1913,0.1800,6619.00,400429.00
2026-02-22 20:24:00,0.1700,0.1300,0.1900,0.1700,0.1621,0.1700,9404.00,409541.00
2026-02-22 20:25:00,0.1700,0.1000,0.1700,0.1300,0.1221,0.1700,17770.00,425223.00
2026-02-22 20:26:00,0.1300,0.1100,0.1700,0.1300,0.1372,0.1300,12923.00,435781.00
2026-02-22 20:27:00,0.1400,0.1400,0.2100,0.2100,0.1692,0.1300,20551.00,444115.00
2026-02-22 20:28:00,0.1900,0.1900,0.3900,0.2600,0.2629,0.2100,15585.00,449882.00
2026-02-22 20:29:00,0.2600,0.2100,0.3300,0.2200,0.2507,0.2600,15921.00,462409.00
2026-02-22 20:30:00,0.2300,0.1500,0.2500,0.1800,0.1778,0.2200,5542.00,464730.00
2026-02-22 20:31:00,0.2200,0.1100,0.2200,0.1400,0.1341,0.1800,21322.00,459359.00
2026-02-22 20:32:00,0.1400,0.0300,0.1900,0.0900,0.1087,0.1400,15579.00,462882.00
2026-02-22 20:33:00,0.0400,0.0100,0.0800,0.0200,0.0304,0.0900,21945.00,459852.00
2026-02-22 20:34:00,0.0100,0.0100,0.0200,0.0100,0.0130,0.0200,3477.00,462452.00
2026-02-22 20:35:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,174.00,462626.00
2026-02-22 20:38:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,666.00,463292.00
2026-02-22 20:39:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,187.00,463479.00
2026-02-22 20:40:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,667.00,464146.00
2026-02-22 20:41:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,166.00,464312.00
