end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 07:43:00,,,,,,0.4700,0.00,25551.00
2026-02-24 07:45:00,,,,,,0.4700,0.00,25551.00
2026-02-24 07:47:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,48.00,25599.00
2026-02-24 07:48:00,,,,,,0.4700,0.00,25599.00
2026-02-24 07:49:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,231.00,25830.00
2026-02-24 07:50:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,102.00,25932.00
2026-02-24 07:51:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,42.00,25974.00
2026-02-24 07:52:00,,,,,,0.4700,0.00,25974.00
2026-02-24 07:55:00,,,,,,0.4700,0.00,25974.00
2026-02-24 07:56:00,,,,,,0.4700,0.00,25974.00
2026-02-24 07:57:00,,,,,,0.4700,0.00,25974.00
2026-02-24 07:58:00,,,,,,0.4700,0.00,25974.00
2026-02-24 07:59:00,,,,,,0.4700,0.00,25974.00
2026-02-24 08:00:00,,,,,,0.4700,0.00,25974.00
2026-02-24 08:01:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,203.00,26177.00
2026-02-24 08:02:00,,,,,,0.4700,0.00,26177.00
2026-02-24 08:03:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,10.00,26187.00
2026-02-24 08:07:00,,,,,,0.4800,0.00,26187.00
2026-02-24 08:08:00,,,,,,0.4800,0.00,26187.00
2026-02-24 08:09:00,,,,,,0.4800,0.00,26187.00
2026-02-24 08:12:00,,,,,,0.4800,0.00,26187.00
2026-02-24 08:15:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,10.00,26197.00
2026-02-24 08:21:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,201.00,26398.00
2026-02-24 08:23:00,,,,,,0.4800,0.00,26398.00
2026-02-24 08:25:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,40.00,26438.00
2026-02-24 08:26:00,,,,,,0.4800,0.00,26438.00
2026-02-24 08:27:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,19.00,26457.00
2026-02-24 08:29:00,0.4800,0.4600,0.4800,0.4600,0.4756,0.4800,258.00,26601.00
2026-02-24 08:32:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4600,31.00,26632.00
2026-02-24 08:41:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,20.00,26652.00
2026-02-24 08:50:00,,,,,,0.4800,0.00,26652.00
2026-02-24 08:53:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,402.00,27054.00
2026-02-24 08:54:00,,,,,,0.4800,0.00,27054.00
2026-02-24 08:57:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,150.00,27204.00
2026-02-24 08:58:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,266.00,27470.00
2026-02-24 08:59:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,586.00,28056.00
