end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 18:04:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,70.00,3324.00
2026-02-22 18:05:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,30.00,3354.00
2026-02-22 18:06:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6500,45.00,3399.00
2026-02-22 18:07:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,22.00,3421.00
2026-02-22 18:08:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,30.00,3451.00
2026-02-22 18:09:00,,,,,,0.6600,0.00,3451.00
2026-02-22 18:11:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6600,10.00,3461.00
2026-02-22 18:14:00,0.6000,0.6000,0.6400,0.6400,0.6186,0.6000,748.00,4209.00
2026-02-22 18:15:00,0.6200,0.6200,0.6300,0.6300,0.6219,0.6400,67.00,4276.00
2026-02-22 18:16:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,65.00,4341.00
2026-02-22 18:17:00,0.6300,0.6100,0.6400,0.6100,0.6335,0.6300,171.00,4512.00
2026-02-22 18:18:00,0.6100,0.6100,0.6200,0.6100,0.6119,0.6100,83.00,4595.00
2026-02-22 18:20:00,,,,,,0.6100,0.00,4595.00
2026-02-22 18:21:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,55.00,4650.00
2026-02-22 18:22:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,415.00,5065.00
2026-02-22 18:23:00,0.6100,0.6100,0.6200,0.6200,0.6191,0.6100,172.00,5237.00
2026-02-22 18:24:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,117.00,5354.00
2026-02-22 18:25:00,,,,,,0.6200,0.00,5354.00
2026-02-22 18:26:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,6.00,5360.00
2026-02-22 18:27:00,0.6200,0.6100,0.6200,0.6100,0.6188,0.6200,129.00,5489.00
2026-02-22 18:28:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,16.00,5505.00
2026-02-22 18:29:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,78.00,5583.00
2026-02-22 18:30:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,54.00,5637.00
2026-02-22 18:31:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,217.00,5854.00
2026-02-22 18:32:00,,,,,,0.6200,0.00,5854.00
2026-02-22 18:33:00,,,,,,0.6200,0.00,5854.00
2026-02-22 18:34:00,0.6200,0.6100,0.6300,0.6100,0.6261,0.6200,637.00,6491.00
2026-02-22 18:35:00,,,,,,0.6100,0.00,6491.00
2026-02-22 18:36:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,33.00,6524.00
2026-02-22 18:37:00,0.6100,0.6000,0.6100,0.6000,0.6064,0.6100,73.00,6545.00
2026-02-22 18:38:00,0.6300,0.6100,0.6300,0.6100,0.6291,0.6000,258.00,6803.00
2026-02-22 18:39:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6100,15.00,6818.00
2026-02-22 18:40:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6300,15.00,6833.00
2026-02-22 18:41:00,0.6100,0.6100,0.6300,0.6300,0.6142,0.6100,19.00,6852.00
2026-02-22 18:42:00,0.6200,0.6100,0.6200,0.6100,0.6101,0.6300,80.00,6932.00
2026-02-22 18:43:00,,,,,,0.6100,0.00,6932.00
2026-02-22 18:44:00,0.6300,0.5900,0.6300,0.5900,0.6236,0.6100,119.00,7013.00
2026-02-22 18:45:00,,,,,,0.5900,0.00,7013.00
2026-02-22 18:46:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.5900,50.00,7063.00
2026-02-22 18:47:00,,,,,,0.6100,0.00,7063.00
2026-02-22 18:48:00,0.6100,0.5900,0.6200,0.5900,0.6143,0.6100,460.00,7506.00
2026-02-22 18:49:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:50:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:51:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:52:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:53:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:54:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:55:00,,,,,,0.5900,0.00,7506.00
2026-02-22 18:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.5900,17.00,7523.00
2026-02-22 18:57:00,0.6200,0.5900,0.6200,0.5900,0.6093,0.6300,151.00,7566.00
2026-02-22 18:58:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.5900,31.00,7597.00
2026-02-22 18:59:00,,,,,,0.6200,0.00,7597.00
2026-02-22 19:00:00,0.6200,0.6200,0.6300,0.6300,0.6256,0.6200,778.00,8375.00
2026-02-22 19:01:00,,,,,,0.6300,0.00,8375.00
2026-02-22 19:02:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,300.00,8675.00
2026-02-22 19:03:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:04:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:05:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:06:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:07:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:08:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:09:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:10:00,,,,,,0.6200,0.00,8675.00
2026-02-22 19:11:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,5.00,8680.00
2026-02-22 19:12:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,214.00,8894.00
2026-02-22 19:13:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,580.00,9474.00
2026-02-22 19:14:00,,,,,,0.6200,0.00,9474.00
2026-02-22 19:15:00,,,,,,0.6200,0.00,9474.00
2026-02-22 19:16:00,,,,,,0.6200,0.00,9474.00
2026-02-22 19:17:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,105.00,9579.00
2026-02-22 19:18:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,3.00,9582.00
2026-02-22 19:19:00,,,,,,0.6200,0.00,9582.00
2026-02-22 19:20:00,,,,,,0.6200,0.00,9582.00
2026-02-22 19:21:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,7.00,9589.00
2026-02-22 19:22:00,,,,,,0.6200,0.00,9589.00
2026-02-22 19:23:00,0.6000,0.6000,0.6100,0.6100,0.6050,0.6200,113.00,9702.00
2026-02-22 19:24:00,0.6100,0.6100,0.6200,0.6200,0.6189,0.6100,310.00,10012.00
2026-02-22 19:25:00,0.6100,0.6100,0.6200,0.6200,0.6200,0.6200,391.00,10403.00
2026-02-22 19:26:00,,,,,,0.6200,0.00,10403.00
2026-02-22 19:27:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,437.00,10840.00
2026-02-22 19:28:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,7.00,10847.00
2026-02-22 19:29:00,0.6200,0.6200,0.6300,0.6300,0.6275,0.6200,133.00,10980.00
2026-02-22 19:30:00,,,,,,0.6300,0.00,10980.00
2026-02-22 19:31:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6300,62.00,11042.00
2026-02-22 19:32:00,0.6100,0.6000,0.6100,0.6000,0.6019,0.6100,164.00,11073.00
2026-02-22 19:33:00,,,,,,0.6000,0.00,11073.00
2026-02-22 19:34:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,87.00,11160.00
2026-02-22 19:36:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,407.00,11567.00
2026-02-22 19:37:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,108.00,11675.00
2026-02-22 19:38:00,0.6200,0.6200,0.6300,0.6300,0.6298,0.6200,583.00,12258.00
2026-02-22 19:39:00,,,,,,0.6300,0.00,12258.00
2026-02-22 19:40:00,0.6200,0.6200,0.6300,0.6300,0.6208,0.6300,85.00,12343.00
2026-02-22 19:41:00,0.6200,0.6200,0.6300,0.6300,0.6200,0.6300,401.00,12744.00
2026-02-22 19:42:00,,,,,,0.6300,0.00,12744.00
2026-02-22 19:43:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,31.00,12775.00
2026-02-22 19:44:00,,,,,,0.6200,0.00,12775.00
2026-02-22 19:46:00,0.6100,0.6100,0.6200,0.6200,0.6109,0.6200,67.00,12842.00
2026-02-22 19:49:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,12.00,12854.00
2026-02-22 19:51:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,24.00,12878.00
2026-02-22 19:52:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,79.00,12957.00
2026-02-22 19:55:00,,,,,,0.6100,0.00,12957.00
2026-02-22 19:56:00,0.6100,0.6100,0.6200,0.6200,0.6143,0.6100,2603.00,15560.00
2026-02-22 19:57:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,10.00,15570.00
2026-02-22 19:58:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,39.00,15609.00
2026-02-22 19:59:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,80.00,15609.00
2026-02-22 20:00:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,29.00,15638.00
2026-02-22 20:01:00,0.6000,0.5800,0.6000,0.5800,0.5806,0.6100,64.00,15656.00
2026-02-22 20:02:00,0.5800,0.5800,0.6100,0.6100,0.5810,0.5800,31.00,15657.00
2026-02-22 20:03:00,0.6100,0.6100,0.6200,0.6200,0.6196,0.6100,911.00,16568.00
2026-02-22 20:04:00,,,,,,0.6200,0.00,16568.00
2026-02-22 20:05:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6200,73.00,16495.00
2026-02-22 20:06:00,,,,,,0.5800,0.00,16495.00
2026-02-22 20:07:00,,,,,,0.5800,0.00,16495.00
2026-02-22 20:08:00,,,,,,0.5800,0.00,16495.00
2026-02-22 20:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5800,40.00,16535.00
2026-02-22 20:10:00,,,,,,0.6000,0.00,16535.00
2026-02-22 20:11:00,,,,,,0.6000,0.00,16535.00
2026-02-22 20:12:00,0.5900,0.5900,0.6000,0.6000,0.5967,0.6000,3.00,16538.00
2026-02-22 20:13:00,0.5900,0.5900,0.6000,0.6000,0.5975,0.6000,4.00,16542.00
2026-02-22 20:14:00,,,,,,0.6000,0.00,16542.00
2026-02-22 20:15:00,0.5900,0.5900,0.6000,0.6000,0.5909,0.6000,58.00,16600.00
2026-02-22 20:16:00,0.5900,0.5900,0.6000,0.6000,0.5990,0.6000,283.00,16883.00
