end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 13:43:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,36.00,144466.00
2026-02-22 13:44:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,428.00,144894.00
2026-02-22 13:45:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,104.00,144998.00
2026-02-22 13:46:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,202.00,145200.00
2026-02-22 13:47:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,3719.00,148919.00
2026-02-22 13:48:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,5451.00,154370.00
2026-02-22 13:49:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,53.00,154423.00
2026-02-22 13:50:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,44.00,154467.00
2026-02-22 13:51:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,2451.00,156918.00
2026-02-22 13:52:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,60.00,156978.00
2026-02-22 13:53:00,0.5500,0.5500,0.5600,0.5500,0.5502,0.5500,1410.00,158388.00
2026-02-22 13:54:00,0.5500,0.5500,0.5600,0.5500,0.5598,0.5500,5066.00,163354.00
2026-02-22 13:55:00,0.5400,0.5400,0.5500,0.5500,0.5478,0.5500,3668.00,166230.00
2026-02-22 13:56:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,5.00,166235.00
2026-02-22 13:57:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,119.00,166354.00
2026-02-22 13:58:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1679.00,168033.00
2026-02-22 13:59:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,629.00,168662.00
2026-02-22 14:00:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,176.00,168838.00
2026-02-22 14:01:00,0.5500,0.5400,0.5500,0.5400,0.5434,0.5500,789.00,169627.00
2026-02-22 14:02:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,265.00,169892.00
2026-02-22 14:03:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,158.00,170050.00
2026-02-22 14:04:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,314.00,170364.00
2026-02-22 14:05:00,0.5500,0.5400,0.5500,0.5400,0.5489,0.5500,794.00,171069.00
2026-02-22 14:06:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,615.00,171684.00
2026-02-22 14:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,40.00,171724.00
2026-02-22 14:08:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,143.00,171867.00
2026-02-22 14:09:00,,,,,,0.5500,0.00,171867.00
2026-02-22 14:10:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,171902.00
2026-02-22 14:11:00,0.5500,0.5400,0.5500,0.5400,0.5499,0.5500,1145.00,173047.00
2026-02-22 14:12:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,27.00,173074.00
2026-02-22 14:13:00,,,,,,0.5500,0.00,173074.00
2026-02-22 14:14:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,173091.00
2026-02-22 14:15:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,24.00,173115.00
2026-02-22 14:16:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,924.00,174039.00
2026-02-22 14:17:00,,,,,,0.5500,0.00,174039.00
2026-02-22 14:18:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1188.00,175227.00
2026-02-22 14:19:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,175262.00
2026-02-22 14:20:00,,,,,,0.5500,0.00,175262.00
2026-02-22 14:21:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,51.00,175313.00
2026-02-22 14:22:00,0.5500,0.5400,0.5500,0.5400,0.5482,0.5500,1412.00,176675.00
2026-02-22 14:23:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,898.00,177573.00
2026-02-22 14:24:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,2.00,177575.00
2026-02-22 14:25:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,7.00,177582.00
2026-02-22 14:26:00,0.5400,0.5400,0.5500,0.5500,0.5439,0.5500,998.00,177502.00
2026-02-22 14:27:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,287.00,177789.00
2026-02-22 14:28:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,380.00,178169.00
2026-02-22 14:29:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,5.00,178174.00
2026-02-22 14:31:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,20.00,178194.00
2026-02-22 14:32:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,2.00,178196.00
2026-02-22 14:33:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,369.00,178565.00
2026-02-22 14:34:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,4396.00,182961.00
2026-02-22 14:35:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,683.00,183644.00
2026-02-22 14:36:00,,,,,,0.5500,0.00,183644.00
2026-02-22 14:37:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1754.00,185398.00
2026-02-22 14:38:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,50.00,185448.00
