end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 05:12:00,,,,,,0.8000,0.00,15091.00
2026-02-24 05:13:00,,,,,,0.8000,0.00,15091.00
2026-02-24 05:17:00,,,,,,0.8000,0.00,15091.00
2026-02-24 05:27:00,,,,,,0.8000,0.00,15091.00
2026-02-24 05:33:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,92.00,15183.00
2026-02-24 05:37:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:38:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:39:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:40:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:41:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:42:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:43:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:44:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:46:00,,,,,,0.8000,0.00,15183.00
2026-02-24 05:47:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,61.00,15244.00
2026-02-24 05:48:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:49:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:50:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:51:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:52:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:54:00,,,,,,0.8000,0.00,15244.00
2026-02-24 05:56:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,50.00,15294.00
2026-02-24 05:57:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,10.00,15304.00
2026-02-24 05:58:00,,,,,,0.8000,0.00,15304.00
2026-02-24 05:59:00,,,,,,0.8000,0.00,15304.00
2026-02-24 06:01:00,,,,,,0.8000,0.00,15304.00
2026-02-24 06:02:00,,,,,,0.8000,0.00,15304.00
2026-02-24 06:03:00,,,,,,0.8000,0.00,15304.00
2026-02-24 06:04:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,6.00,15310.00
2026-02-24 06:05:00,,,,,,0.8000,0.00,15310.00
2026-02-24 06:06:00,,,,,,0.8000,0.00,15310.00
2026-02-24 06:08:00,,,,,,0.8000,0.00,15310.00
2026-02-24 06:09:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,4.00,15314.00
2026-02-24 06:11:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,122.00,15436.00
2026-02-24 06:12:00,,,,,,0.8000,0.00,15436.00
2026-02-24 06:13:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8000,12.00,15448.00
2026-02-24 06:14:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,18.00,15466.00
2026-02-24 06:16:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7900,30.00,15496.00
2026-02-24 06:17:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,60.00,15556.00
2026-02-24 06:18:00,,,,,,0.8000,0.00,15556.00
